
[00:00:00.000 --> 00:00:03.000]  再一次禮頭禱告
[00:00:03.000 --> 00:00:06.000]  天父祈求您帶領我們
[00:00:06.000 --> 00:00:09.000]  我們知道您是榮耀無比的神
[00:00:09.000 --> 00:00:11.000]  但是您也是三而一的神
[00:00:11.000 --> 00:00:13.000]  讓我們認識您
[00:00:13.000 --> 00:00:18.000]  看著您自己是否是真正的自己
[00:00:18.000 --> 00:00:19.000]  讓我們認識
[00:00:19.000 --> 00:00:27.000]  不要讓我們留於自己出於偶像的頭上
[00:00:27.000 --> 00:00:28.000]  求您的幫助
[00:00:28.000 --> 00:00:30.000]  我們願您今天帶領我們
[00:00:30.000 --> 00:00:32.000]  讓我們更深的認識您
[00:00:32.000 --> 00:00:33.000]  讓我們更深的愛您
[00:00:33.000 --> 00:00:37.000]  讓我們更深的認識您
[00:00:37.000 --> 00:00:40.000]  今天說的這個題目就是
[00:00:40.000 --> 00:00:42.000]  三一神的真諦
[00:00:42.000 --> 00:00:44.000]  其實想這個題目
[00:00:44.000 --> 00:00:50.000]  本身的命名也有些考慮
[00:00:50.000 --> 00:00:52.000]  因為其實就不想用
[00:00:52.000 --> 00:00:54.000]  三為一體的真諦
[00:00:54.000 --> 00:00:56.000]  但是因為這個名字
[00:00:56.000 --> 00:01:00.000]  可能大家說三一神就比較少說
[00:01:00.000 --> 00:01:01.000]  多說三為一體
[00:01:01.000 --> 00:01:05.000]  例如說九一輩的真諦
[00:01:05.000 --> 00:01:07.000]  所以就用這個
[00:01:07.000 --> 00:01:09.000]  但是其實這個名詞
[00:01:09.000 --> 00:01:11.000]  本身已經是一個問題
[00:01:11.000 --> 00:01:14.000]  因為神也有身體
[00:01:14.000 --> 00:01:15.000]  三為一體
[00:01:15.000 --> 00:01:17.000]  我們經常想起小時候看
[00:01:17.000 --> 00:01:19.000]  《卡通變三一萬民行》那些
[00:01:19.000 --> 00:01:23.000]  其實當然是錯的
[00:01:23.000 --> 00:01:26.000]  不過大家知道說什麼
[00:01:26.000 --> 00:01:28.000]  三一神是一個
[00:01:28.000 --> 00:01:35.000]  挺多需要去解釋的題目
[00:01:35.000 --> 00:01:37.000]  坦白說
[00:01:37.000 --> 00:01:41.000]  我自己做了基督徒都三十幾年了
[00:01:41.000 --> 00:01:46.000]  除了我自己講道之外
[00:01:46.000 --> 00:01:49.000]  我都沒聽過有人在講道
[00:01:49.000 --> 00:01:54.000]  說三一三一體
[00:01:54.000 --> 00:01:55.000]  我不知道你
[00:01:55.000 --> 00:01:58.000]  我自己都沒聽過
[00:01:58.000 --> 00:02:03.000]  其實能說是有一個原因的
[00:02:03.000 --> 00:02:05.000]  其中一個原因
[00:02:05.000 --> 00:02:06.000]  真的有很多原因
[00:02:06.000 --> 00:02:08.000]  其中一個原因
[00:02:08.000 --> 00:02:10.000]  不是這麼容易講得明白
[00:02:10.000 --> 00:02:15.000]  講到這麼短的時間之內
[00:02:15.000 --> 00:02:20.000]  通常講到的都不多
[00:02:20.000 --> 00:02:23.000]  沒有時間去講
[00:02:23.000 --> 00:02:25.000]  這麼複雜的東西
[00:02:25.000 --> 00:02:27.000]  不講是原因
[00:02:27.000 --> 00:02:28.000]  因為時間太短
[00:02:28.000 --> 00:02:29.000]  你短講
[00:02:29.000 --> 00:02:32.000]  你沒辦法解釋清楚
[00:02:32.000 --> 00:02:34.000]  就會比較難解
[00:02:34.000 --> 00:02:40.000]  希望今天大家都可以
[00:02:40.000 --> 00:02:44.000]  靠神幫助的去解釋清楚
[00:02:44.000 --> 00:02:46.000]  為什麼講這個題目
[00:02:46.000 --> 00:02:52.000]  本身已經是非常重要的
[00:02:52.000 --> 00:02:57.000]  因為這是我們信仰的核心
[00:02:57.000 --> 00:02:59.000]  我們作為基督徒
[00:02:59.000 --> 00:03:01.000]  我們信哪一位神
[00:03:01.000 --> 00:03:04.000]  是非常重要的
[00:03:04.000 --> 00:03:06.000]  因為我們的信仰
[00:03:06.000 --> 00:03:08.000]  和其他信仰之所以有分別
[00:03:08.000 --> 00:03:10.000]  當然我們信的對象是三一神
[00:03:10.000 --> 00:03:14.000]  趙世家那一套的宗教信仰
[00:03:14.000 --> 00:03:15.000]  是信三一神的
[00:03:15.000 --> 00:03:17.000]  你說一位神
[00:03:17.000 --> 00:03:20.000]  很多人都可以明白
[00:03:20.000 --> 00:03:22.000]  教徒又說信一位神
[00:03:22.000 --> 00:03:26.000]  猶太教又信一位神
[00:03:26.000 --> 00:03:28.000]  可以理解的
[00:03:28.000 --> 00:03:31.000]  但是唯獨是基督教信三一神
