
[00:00:00.000 --> 00:00:05.340]  今天講的跟愛好有關 講到愛神
[00:00:05.340 --> 00:00:10.000]  我今早起床的時候 默想一段聖經
[00:00:10.000 --> 00:00:12.800]  就是其中一句這樣講的
[00:00:12.800 --> 00:00:17.240]  神是默然的愛我們 默默的愛我們
[00:00:17.240 --> 00:00:18.540]  我立刻有個圖畫
[00:00:18.540 --> 00:00:22.920]  就好像那些父母 剛剛有小朋友
[00:00:22.920 --> 00:00:26.080]  小朋友在睡覺的時候
[00:00:26.080 --> 00:00:32.160]  那些父母兩個在看著 全身打量祂一下
[00:00:32.160 --> 00:00:36.240]  帶著很大的愛看著祂
[00:00:36.240 --> 00:00:39.860]  我覺得神有時的愛就是這麼溫柔
[00:00:39.860 --> 00:00:41.360]  在我們不知道的時候
[00:00:41.360 --> 00:00:45.500]  我想想我們睡覺的時候 起床的時候
[00:00:45.500 --> 00:00:46.700]  其實我們不知道的時候
[00:00:46.700 --> 00:00:49.580]  可能神就是這樣專注我們 看著我們
[00:00:49.580 --> 00:00:52.640]  祂極其的珍惜我們 寶貴我們
[00:00:52.640 --> 00:00:53.480]  多謝主
[00:00:53.480 --> 00:00:56.280]  所以現在想想主 現在專注在我們心裡
[00:00:56.280 --> 00:01:01.260]  神有跟我們說話 祂愛我們 多謝主
[00:01:01.260 --> 00:01:04.660]  今天的經文我們要分享的
[00:01:04.660 --> 00:01:08.000]  就是《新命紀》六章4.9節
[00:01:08.000 --> 00:01:11.060]  講到愛 我們要愛神
[00:01:11.060 --> 00:01:15.100]  而且我們要傳遞這種愛
[00:01:15.100 --> 00:01:18.400]  我們先讀一下 我們請
[00:01:18.400 --> 00:01:25.680]  以色列人 袁耀廷
[00:01:25.680 --> 00:01:50.380]  俊姓 俊業 開傳華 歷歷長長
[00:01:50.380 --> 00:01:56.280]  大耀社在你們的宿舍城門上
[00:01:56.280 --> 00:01:58.480]  好 這段經文《新命紀》
[00:01:58.480 --> 00:02:00.680]  就是再一次重申
[00:02:00.680 --> 00:02:04.420]  《土耳其聖文》講回初一級紀之後
[00:02:04.420 --> 00:02:08.360]  初一級之後 摩西班布的律法再講
[00:02:08.360 --> 00:02:11.560]  而且這段經文是其中一個很重要的經文
[00:02:11.560 --> 00:02:15.000]  在新約的時候 律法師都問過耶穌
[00:02:15.000 --> 00:02:17.940]  在舊約裡面 最重要的
[00:02:17.940 --> 00:02:20.200]  耶穌講最重要的一個大誡命
[00:02:20.200 --> 00:02:24.840]  就是盡心 盡性 盡力 愛主祢的神
[00:02:24.840 --> 00:02:27.540]  在新約還多一條大使命
[00:02:27.540 --> 00:02:30.040]  就是要使萬民作主的門徒
[00:02:30.040 --> 00:02:33.780]  所以基本上聖經裡面有個大誡命和大使命
[00:02:33.780 --> 00:02:35.460]  我們一生愛神
[00:02:35.460 --> 00:02:37.820]  要盡心 盡性 盡義 盡力愛神
[00:02:37.820 --> 00:02:39.400]  盡我所能去愛神
[00:02:39.400 --> 00:02:42.500]  而且我們要去宣揚主的名
[00:02:42.500 --> 00:02:45.200]  叫萬民都認識神
[00:02:45.200 --> 00:02:49.900]  這六節的聖經 大家如果有留意
[00:02:49.900 --> 00:02:52.400]  它出現了七次的要
[00:02:52.400 --> 00:02:55.040]  你們看這句聖經有多重要
[00:02:55.040 --> 00:02:57.040]  它意思是你要什麼?
[00:02:57.040 --> 00:02:59.580]  要聽 要你的耳朵聽
[00:02:59.580 --> 00:03:01.120]  要聽道一個主
[00:03:01.120 --> 00:03:03.680]  你要盡心 盡性 盡義 盡什麼?
