
[00:00:00.000 --> 00:00:02.600]  今日和大家思想的是
[00:00:02.600 --> 00:00:04.800]  葛國他山上
[00:00:04.800 --> 00:00:07.600]  迦勒山上的六個神跡
[00:00:07.600 --> 00:00:11.400]  耶穌基督二千多年前死在迦勒山上
[00:00:11.400 --> 00:00:16.600]  神就用六個神跡來回應
[00:00:16.600 --> 00:00:18.800]  耶穌基督的死
[00:00:18.800 --> 00:00:23.000]  亦都讓我們看到耶穌基督十字架的死的意義
[00:00:23.000 --> 00:00:26.600]  在聖經的舊因歷史裏面
[00:00:26.600 --> 00:00:29.000]  有兩個非常重要的山
[00:00:29.000 --> 00:00:31.600]  一個是舊約的西乃山
[00:00:31.600 --> 00:00:37.000]  一個是新約的葛國他山 迦勒山
[00:00:37.000 --> 00:00:39.200]  在舊約的西乃山那裏
[00:00:39.200 --> 00:00:43.600]  神頒佈祂的律例、祂的誡命
[00:00:43.600 --> 00:00:45.200]  給過祂的子民
[00:00:45.200 --> 00:00:47.200]  亦都給過全世界的人
[00:00:47.200 --> 00:00:49.200]  讓人類知道
[00:00:49.200 --> 00:00:58.200]  我們要完全守住神所頒佈的律例、典章、誡命
[00:00:58.200 --> 00:01:00.200]  然後我們能夠得救
[00:01:00.200 --> 00:01:04.600]  但我們都知道在舊約裏面
[00:01:04.600 --> 00:01:08.600]  沒有人能夠因為他有能力
[00:01:08.600 --> 00:01:13.400]  去完全守住神的律法而得救
[00:01:13.400 --> 00:01:17.800]  所以神其實是藉著西乃山來告訴人
[00:01:17.800 --> 00:01:20.400]  我們沒有人可以靠著自己
[00:01:20.400 --> 00:01:23.200]  能夠完全遵守神的律法
[00:01:23.200 --> 00:01:25.000]  可以得救的
[00:01:25.000 --> 00:01:29.000]  所以在新約的時候 神差派祂的兒子耶穌基督
[00:01:29.000 --> 00:01:32.800]  來為我們死在十字架上
[00:01:32.800 --> 00:01:36.400]  拜給我們一條新的出路
[00:01:36.400 --> 00:01:38.600]  叫我們可以真正的得救
[00:01:38.600 --> 00:01:41.800]  所以舊約的西乃山
[00:01:41.800 --> 00:01:46.600]  是一個定罪和滅亡的
[00:01:46.600 --> 00:01:48.800]  一個意義在那裏
[00:01:48.800 --> 00:01:51.200]  但是葛國他山、迦勒山
[00:01:51.200 --> 00:01:54.400]  是恩典和神慈愛的彰顯
