
[00:00:00.000 --> 00:00:06.000]  今天這篇稿子應該叫做是顯淺的稿子
[00:00:06.000 --> 00:00:08.000]  因為牧師有個心意
[00:00:08.000 --> 00:00:12.000]  很想特別是你未受洗
[00:00:12.000 --> 00:00:17.000]  加入教會的朋友去學習去聆聽
[00:00:17.000 --> 00:00:21.000]  自然就不可以太複雜
[00:00:21.000 --> 00:00:23.000]  但同時亦都是很深的
[00:00:23.000 --> 00:00:25.000]  我記得我讀神學的時候
[00:00:25.000 --> 00:00:27.000]  見到羅馬書我就拗頭
[00:00:27.000 --> 00:00:31.000]  因為它是很複雜的
[00:00:31.000 --> 00:00:35.000]  很多我們今天看為理所當然的
[00:00:35.000 --> 00:00:38.000]  新約的行為
[00:00:38.000 --> 00:00:40.000]  以及宗教禮儀的理解
[00:00:40.000 --> 00:00:45.000]  和我們德教四律裏面最基本的東西
[00:00:45.000 --> 00:00:51.000]  羅馬書裏面是一個很啟創性的開始
[00:00:51.000 --> 00:00:57.000]  再加上真是博學於心的保羅
[00:00:57.000 --> 00:01:06.000]  幾乎是頂尖的哲學寫法來寫羅馬書
[00:01:06.000 --> 00:01:07.000]  簡單地說
[00:01:07.000 --> 00:01:12.000]  其實這裏是想提到究竟什麼是受洗
[00:01:12.000 --> 00:01:13.000]  過入基督
[00:01:13.000 --> 00:01:14.000]  所以你讀的經文
[00:01:14.000 --> 00:01:19.000]  為什麼要透過一個這麼出色的朗誦
[00:01:19.000 --> 00:01:21.000]  電子系統
[00:01:21.000 --> 00:01:22.000]  來去朗誦呢
[00:01:22.000 --> 00:01:24.000]  因為就這樣讀
[00:01:24.000 --> 00:01:26.000]  咳咳蛇道生生死死
[00:01:26.000 --> 00:01:28.000]  又活又耶穌又基督
[00:01:28.000 --> 00:01:29.000]  總之炒埋一碟
[00:01:29.000 --> 00:01:31.000]  現代我們最容易理解
[00:01:31.000 --> 00:01:33.000]  總之就是這樣
[00:01:33.000 --> 00:01:34.000]  我都跟你說
[00:01:34.000 --> 00:01:35.000]  總之就是其實這裏提到
[00:01:35.000 --> 00:01:38.000]  一個受洗的信徒是怎樣
[00:01:38.000 --> 00:01:43.000]  所以這篇同樣對我們已經受洗的弟兄姊妹提醒
[00:01:43.000 --> 00:01:44.000]  你受洗了多少年
[00:01:44.000 --> 00:01:48.000]  你幾時受洗加入教會
[00:01:48.000 --> 00:01:51.000]  你受洗的時候做過什麼
[00:01:51.000 --> 00:01:54.000]  當日受洗做過什麼不受洗
[00:01:54.000 --> 00:01:55.000]  你吃飯做過什麼
[00:01:55.000 --> 00:01:56.000]  當然是吃飯
[00:01:56.000 --> 00:01:57.000]  難道噴飯嗎
[00:01:57.000 --> 00:01:59.000]  但你還有沒有印象
[00:01:59.000 --> 00:02:01.000]  你洗禮的時候
[00:02:01.000 --> 00:02:04.000]  那些片段
[00:02:04.000 --> 00:02:07.000]  最難記可能就是
[00:02:07.000 --> 00:02:09.000]  當日牧仔講道講什麼
[00:02:09.000 --> 00:02:13.000]  不要說洗禮
[00:02:13.000 --> 00:02:15.000]  我結婚的時候
[00:02:15.000 --> 00:02:17.000]  我院長講什麼我都不記得
[00:02:17.000 --> 00:02:21.000]  那時候的狀況已經
[00:02:21.000 --> 00:02:23.000]  可以了嗎
[00:02:23.000 --> 00:02:28.000]  院長我秉承了他講道的傳統話部分
[00:02:28.000 --> 00:02:30.000]  好東西學不到
[00:02:30.000 --> 00:02:32.000]  更好的東西學到
[00:02:32.000 --> 00:02:33.000]  就是長氣
[00:02:33.000 --> 00:02:36.000]  你可想而知婚禮的時候多緊張
[00:02:36.000 --> 00:02:38.000]  我洗禮的時候
[00:02:38.000 --> 00:02:41.000]  當時是一位姓翁的牧師
[00:02:41.000 --> 00:02:44.000]  我小時候就回慈雲山教會
[00:02:44.000 --> 00:02:45.000]  我在黃大仙讀書
[00:02:45.000 --> 00:02:47.000]  那些人跟我說
[00:02:47.000 --> 00:02:48.000]  在黃大仙讀書
[00:02:48.000 --> 00:02:51.000]  怎可以不上慈雲山去走個圈
[00:02:51.000 --> 00:02:53.000]  江湖地
[00:02:53.000 --> 00:02:55.000]  一走就走進教會
[00:02:55.000 --> 00:03:00.000]  於是就在那裡受洗加入教會
[00:03:00.000 --> 00:03:02.000]  我記得我牧師跟我說
[00:03:02.000 --> 00:03:04.000]  你是不是真的想受洗加入教會
[00:03:04.000 --> 00:03:06.000]  在洗禮班之前
[00:03:06.000 --> 00:03:08.000]  我說是呀是呀
[00:03:08.000 --> 00:03:09.000]  你清楚我的信仰嗎
[00:03:09.000 --> 00:03:11.000]  那你會答什麼
[00:03:11.000 --> 00:03:13.000]  當然清楚
[00:03:13.000 --> 00:03:16.000]  以前沒有那麼挑剔
[00:03:16.000 --> 00:03:18.000]  你清楚些什麼
[00:03:18.000 --> 00:03:19.000]  你講來聽聽
[00:03:19.000 --> 00:03:20.000]  不會的
[00:03:20.000 --> 00:03:22.000]  我們牧師很有厚度
[00:03:22.000 --> 00:03:23.000]  你清楚
[00:03:23.000 --> 00:03:24.000]  那你再來上課
[00:03:24.000 --> 00:03:25.000]  好呀好呀
[00:03:25.000 --> 00:03:28.000]  睡了四堂之後就可以受洗
[00:03:28.000 --> 00:03:31.000]  睡了四堂
[00:03:31.000 --> 00:03:34.000]  到受洗的時候
[00:03:34.000 --> 00:03:36.000]  我記得的是什麼
[00:03:36.000 --> 00:03:37.000]  我想了很久
[00:03:37.000 --> 00:03:40.000]  我究竟怎樣打條胎
[00:03:40.000 --> 00:03:42.000]  打哪條胎
[00:03:42.000 --> 00:03:45.000]  剛才的領胎要幼身
[00:03:45.000 --> 00:03:47.000]  我的年代是很多年前
[00:03:47.000 --> 00:03:49.000]  那時候的潮流
[00:03:49.000 --> 00:03:51.000]  要很幼很幼很幼一條
[00:03:51.000 --> 00:03:54.000]  胎結有那麼細粒不那麼細粒
[00:03:54.000 --> 00:03:56.000]  所以基本上是打死裂
[00:03:56.000 --> 00:03:58.000]  差點要拿出來搓一下才勾上去
[00:03:58.000 --> 00:04:03.000]  然後就聯絡誰幫我拍照
[00:04:03.000 --> 00:04:06.000]  最重要是當時我還不懂得師母
[00:04:06.000 --> 00:04:08.000]  她都不知道
[00:04:08.000 --> 00:04:09.000]  就是究竟
[00:04:09.000 --> 00:04:10.000]  頭髮當然有
[00:04:10.000 --> 00:04:14.000]  就是我們的團契
[00:04:14.000 --> 00:04:16.000]  有多少個姊妹來
[00:04:16.000 --> 00:04:18.000]  有沒有機會和我覺得
[00:04:18.000 --> 00:04:20.000]  可以和我拍照的人
