
[00:00:00.000 --> 00:00:04.400]  首先很多謝牧師有機會跟大家分享關於這個題目
[00:00:04.400 --> 00:00:05.800]  但其實是很慘的
[00:00:05.800 --> 00:00:08.000]  如果吃午餐的時候你講這些題目的時候
[00:00:08.000 --> 00:00:13.100]  我就怕對你們的食慾不會有影響
[00:00:13.100 --> 00:00:16.900]  但是因為我們今天的題目叫「擁抱希望」
[00:00:16.900 --> 00:00:23.100]  就是說其實這個「擁抱希望」是有故事的
[00:00:23.100 --> 00:00:24.700]  故事是怎樣呢
[00:00:24.700 --> 00:00:27.000]  請問大家未聽人家在吃東西
[00:00:27.000 --> 00:00:30.100]  但是都可以看一下這四個這麼漂亮的字
[00:00:30.100 --> 00:00:33.900]  就是英偉人的字跡
[00:00:33.900 --> 00:00:39.600]  因為我們想著如果我們的中心一沒錢的時候
[00:00:39.600 --> 00:00:43.600]  就可以去變賣或者去拍賣
[00:00:43.600 --> 00:00:46.300]  這四個字還沒猜到
[00:00:46.300 --> 00:00:47.400]  姚中賢
[00:00:47.400 --> 00:00:51.800]  沒錯就是姚中賢先生在我們十周年的時候
[00:00:51.800 --> 00:00:53.800]  就寫給我們
[00:00:53.800 --> 00:00:55.800]  但是我們寫給這個字的時候
[00:00:55.800 --> 00:00:57.800]  是有一個很小的故事的
[00:00:57.800 --> 00:01:01.800]  我們給他的時候就叫「懷抱希望」
[00:01:01.800 --> 00:01:04.800]  但是他看完之後就說不行
[00:01:04.800 --> 00:01:07.800]  「懷抱」就太過被動了
[00:01:07.800 --> 00:01:09.300]  我們要「擁抱」
[00:01:09.300 --> 00:01:13.100]  所以這四個字是由他那個來的
[00:01:13.100 --> 00:01:15.100]  但是我們不會變賣這四個字的
[00:01:15.100 --> 00:01:18.100]  就是如果你有興趣你來看一下我們中心的時候
[00:01:18.100 --> 00:01:19.800]  我們就要
[00:01:19.800 --> 00:01:22.800]  但是這個就是我今天所希望跟大家分享
