
[00:00:00.000 --> 00:00:07.000]  真是希望我們感謝祢的恩典,使我們有美好的地方,一同來到聚集敬拜祢。
[00:00:07.000 --> 00:00:13.000]  我們求聖靈在我們中間幫助我們明白祢的說話,實踐在我們的生活當中。
[00:00:13.000 --> 00:00:16.000]  奉耶穌基督的名祈禱,阿門。
[00:00:20.000 --> 00:00:33.000]  主持人:我們已經講了兩個主題,就是言語和金錢,讓我們一起溫習一下上星期的金句。
[00:00:45.000 --> 00:00:52.000]  主持人:敬畏上主,全心謙卑的成果,就是富足光榮長壽。
[00:01:15.000 --> 00:01:25.000]  主持人:只有一個形象,就是人,人就是上帝的形象,所以耶穌也用了人的樣式來到世界。
[00:01:25.000 --> 00:01:35.000]  主持人:不過現代人雖然不做雕刻的偶像,但在很多人的心中,他是奉錢財做偶像。
[00:01:35.000 --> 00:01:54.000]  主持人:提醒大家要小心,當你收到大筆的大數額的錢時,大數額的金錢時,譬如退休金,賣了一些物業,包括房屋或者股票之類,賺到一大筆錢,就很開心,忘記了十一奉獻,將全數存入自己的戶口。
[00:01:54.000 --> 00:02:05.000]  主持人:你就應該檢討一下,錢財是不是已經成為了你的偶像呢?以致你不敬畏上主,違反聖經的教導,不肯奉獻呢?
[00:02:05.000 --> 00:02:17.000]  主持人:在這一節的真言二十二章四節,好像帶有一個應許,敬畏上主,全心謙卑的成果,就是富足光榮長壽。
[00:02:17.000 --> 00:02:30.000]  主持人:求主幫助我們,相信上帝的應許,不是要擁有錢財去享受生命,而是有上帝所賜的生命,去享受錢財所帶來的用處。
[00:02:30.000 --> 00:02:41.000]  主持人:今天我們要和大家思想另一個真言,事事提到的主題就是家庭,智慧人為什麼要建立家庭呢?
[00:02:41.000 --> 00:02:54.000]  主持人:家庭其實是上帝的設計,在創世紀第一章記載了上帝創造宇宙的過程,是一步一步的。
[00:02:54.000 --> 00:03:15.000]  主持人:他做完每一件事之後,聖經也說,上帝看著說,很好。但是在第二章補充記載了上帝做了男人和女人的過程,原來上帝做了男人之後,就不是說很好,
[00:03:15.000 --> 00:03:25.000]  主持人:而是說,那人單獨生活不好,我要為他做一個合適的伴侶來幫助他。
[00:03:25.000 --> 00:03:45.000]  主持人:可能有人會問,上帝既然是全知全能,為什麼他做了男人之後,才發覺那個人獨居不好呢?
[00:03:45.000 --> 00:03:59.000]  主持人:上帝當然不是後知後覺,等他做了男人之後,才知道那個人單獨生活不好。其實聖經的記載是要讓我們讀聖經的時候,知道兩件事。
[00:03:59.000 --> 00:04:11.000]  主持人:第一件事,就是知道什麼是好,什麼是不好。何為善,何為惡,是要由上帝去定,不是由人自己定。
[00:04:11.000 --> 00:04:21.000]  主持人:亞當和夏娃要吃分別善惡樹的果子,就是要否定上帝定善惡的權利。
[00:04:21.000 --> 00:04:33.000]  主持人:第二點,既然人單獨生活不好,就是說一夫一妻組成的家庭,就是上帝認為好的事。
[00:04:33.000 --> 00:04:47.000]  主持人:現代社會離婚率越來越高,無論男女都普遍以自我為中心,而不是以家庭為中心,結果一遇到困難就離婚。
[00:04:47.000 --> 00:05:03.000]  主持人:不過話說回來,當亞當和夏娃犯了罪之後,他們就成為罪人,要兩個罪人一起生活,確實是不容易。
[00:05:03.000 --> 00:05:15.000]  主持人:在《創世紀》三章十六節,上帝就審判夏娃,對夏娃的懲罰裡面,就有一句話,你對丈夫仍然有慾望,而他要管轄你。
[00:05:15.000 --> 00:05:22.000]  主持人:妻子對丈夫有慾望,而丈夫要管轄妻子,就造成了權力鬥爭。
[00:05:22.000 --> 00:05:27.000]  主持人:我們應該怎樣去建立家庭呢?
[00:05:27.000 --> 00:05:44.000]  主持人:假如我們要建立一個美好的家庭,合乎上帝旨意的家庭,我們就要學習順從聖經的教導,不是以丈夫為中心,也不是以妻子為中心,而是以上帝為中心。
[00:05:44.000 --> 00:05:53.000]  主持人:正如《針研》九章十節說,敬畏上主是智慧的開端,認識至聖者就是明智。
[00:05:53.000 --> 00:05:59.000]  主持人:我們從《針研》來學習,建立美好的家庭的智慧。
[00:05:59.000 --> 00:06:05.000]  主持人:今天我會講夫妻關係,下個星期會講兒女的問題。
[00:06:05.000 --> 00:06:13.000]  主持人:今天的金句是《針研》二十四章三節,家庭建立在智慧和諒解的基礎上。
[00:06:13.000 --> 00:06:30.000]  主持人:這裡提出了建立家庭的兩個重點,首先是智慧,智慧包括了敬畏上帝,進行聖經的教導,去行事為人的智慧,和一些生活上的智慧。
[00:06:30.000 --> 00:06:43.000]  主持人:其次就是諒解,包括男女被造的不同,不單在身體方面,在心理方面更加重要。
[00:06:43.000 --> 00:06:55.000]  主持人:有一位美國的心理輔導學家寫過一本書,書名叫《Men are from Mars, Women are from Venus》,男人來自火星,女人來自金星。
[00:06:55.000 --> 00:07:11.000]  主持人:單單從這本書的書名,我們就知道男女的性格是有先天性的不同,再加上後天的際遇,使每一個人都會形成不一樣的性格、喜好和習慣。
[00:07:11.000 --> 00:07:25.000]  主持人:夫妻兩個人如果不去學習彼此諒解,最好就不要結婚,因為婚後一定會有很多的矛盾和痛苦,不能夠建立一個好的家庭。
[00:07:25.000 --> 00:07:42.000]  主持人:在未繼續講如何應用智慧和諒解去建立之前,讓我先解釋一下現中版和和合本的翻譯,似乎有很大的差異問題。
[00:07:42.000 --> 00:08:02.000]  主持人:和合本翻譯這本聖經為「房屋因智慧建造,又因聰明立穩」,好像是教導人建造房屋要運用聰明和智慧,但是現中版就把房屋翻譯為家庭,為什麼呢?
[00:08:02.000 --> 00:08:17.000]  主持人:因為在希伯來文沒有家庭家室這些字眼,所以用同一個字,房屋,希伯來文是buy it,可以指家庭或者房屋。
[00:08:17.000 --> 00:08:39.000]  主持人:讓我舉一個聖經的例子,如果你是參加了101讀舊約或者一些熟悉舊約的弟兄姊妹記得的話,在撒姆爾記下第七章,當大衛想為上帝建聖殿的時候,聖殿那個字其實就是buy,一間房屋,就是那個字。
[00:08:39.000 --> 00:08:56.000]  主持人:而上帝就藉著拿丹仙之告訴大衛,上帝不用他去建造聖殿,相反上帝就對大衛說,你永遠有後代,你的國永遠建立,你的王朝永遠存續。
[00:08:56.000 --> 00:09:24.000]  第一句話,那裡說你永遠有後代,在和合本就很簡單地譯作你的家,其實原文那個字就是buy,房屋的意思。如果我意譯一下上帝和大衛說的話,其實上帝是很幽默地告訴大衛,你為我建屋,不用了,讓你的兒子給我建吧,不過我會為你建屋。
[00:09:24.000 --> 00:09:38.000]  當然在那裡的屋字是有不同的涵義,事實上上帝心目中那位大衛的兒子,是會永遠掌權的兒子,就是我們的主耶穌基督。
