
[00:00:00.000 --> 00:00:08.000]  今天的講題叫做「為神擺上的子民」
[00:00:08.000 --> 00:00:11.000]  經文是講到尼西米第七章
[00:00:11.000 --> 00:00:16.000]  留意在程序表中寫著一到七十三節
[00:00:16.000 --> 00:00:19.000]  我不會讀完
[00:00:19.000 --> 00:00:26.000]  我們先讀七章的一到八節
[00:00:26.000 --> 00:00:32.000]  由第九節到第六十節就另外分開
[00:00:32.000 --> 00:00:34.000]  那裡我就沒有再讀
[00:00:34.000 --> 00:00:38.000]  因為是一系列人名的名單
[00:00:38.000 --> 00:00:43.000]  如果你將尼西米的一到七十三節第七章
[00:00:43.000 --> 00:00:47.000]  全章你可以分到大概四至五個部分
[00:00:47.000 --> 00:00:51.000]  第一部分是一到七節
[00:00:51.000 --> 00:00:59.000]  講到城牆完工之後有什麼最基本的東西要完成
[00:00:59.000 --> 00:01:03.000]  然後在第八到六十節就講到回歸
[00:01:03.000 --> 00:01:05.000]  是第一次回歸
[00:01:05.000 --> 00:01:12.000]  就是九十幾年前的名單和總數
[00:01:12.000 --> 00:01:15.000]  去到六十一到六十五節
[00:01:15.000 --> 00:01:19.000]  就是講到那些很樂意回歸回來的
[00:01:19.000 --> 00:01:24.000]  但在族譜查不到那些人的處理
[00:01:24.000 --> 00:01:26.000]  然後到了最後
[00:01:26.000 --> 00:01:33.000]  第六十六節就是總數
[00:01:33.000 --> 00:01:37.000]  六十六到七十三節
[00:01:37.000 --> 00:01:43.000]  就是回歸所預備的各樣的物資和財產
[00:01:43.000 --> 00:01:45.000]  可以分成四個段落
[00:01:45.000 --> 00:01:51.000]  我請阿師姊妹幫我先讀七章的一到七節
[00:01:51.000 --> 00:01:54.000]  城牆修完,我安了門扇
[00:01:54.000 --> 00:02:00.000]  門口的守衛,歌唱的和利美人都已派定
[00:02:00.000 --> 00:02:09.000]  我吩咐我的兄弟哈拿尼和城堡的班長哈拿尼亞管理耶路撒冷
[00:02:09.000 --> 00:02:12.000]  因為哈拿尼亞是一個忠信的人
