
[00:00:00.000 --> 00:00:01.480]  我想問問弟姐妹
[00:00:01.480 --> 00:00:06.640]  有沒有人在以往曾經做過陶瓷的製作?
[00:00:06.640 --> 00:00:09.600]  嘩,也不少
[00:00:09.600 --> 00:00:11.800]  可能我們當中有些高手也不一定
[00:00:11.800 --> 00:00:13.480]  我是不認識的
[00:00:13.480 --> 00:00:16.640]  我問過一些專家
[00:00:16.640 --> 00:00:18.480]  那些專家說
[00:00:18.480 --> 00:00:21.600]  每一個製作陶瓷的人
[00:00:21.600 --> 00:00:23.880]  都很想製作一個好的陶瓷
[00:00:23.880 --> 00:00:25.560]  我想大家都明白了
[00:00:25.560 --> 00:00:26.520]  但問題是
[00:00:26.520 --> 00:00:28.560]  你製作一個好的陶瓷
[00:00:28.560 --> 00:00:30.520]  是一點也不簡單的
[00:00:30.520 --> 00:00:31.480]  甚至有人說
[00:00:31.480 --> 00:00:35.520]  陶瓷的製作是一種遺憾的藝術
[00:00:35.520 --> 00:00:36.760]  為什麼呢?
[00:00:36.760 --> 00:00:38.400]  因為原來製作過程
[00:00:38.400 --> 00:00:42.120]  每一個步驟都會出現問題
[00:00:42.120 --> 00:00:44.120]  例如你做成一個陶瓷
[00:00:44.120 --> 00:00:48.840]  你還未把它放進火爐燒之前
[00:00:48.840 --> 00:00:51.960]  如果你的乾濕溫度控制得不好
[00:00:51.960 --> 00:00:53.200]  它就會裂開
[00:00:53.200 --> 00:00:54.640]  又或者你上色的時候
[00:00:54.640 --> 00:00:55.800]  油彩油得不好
[00:00:55.800 --> 00:00:57.080]  又會裂開
[00:00:57.080 --> 00:00:59.080]  甚至你做成一個作品
[00:00:59.080 --> 00:01:00.600]  你移動它的時候
[00:01:00.600 --> 00:01:03.320]  那些力度不均勻又會裂開
[00:01:03.320 --> 00:01:05.360]  所以其實每一個步驟
[00:01:05.360 --> 00:01:06.920]  每一個細節
[00:01:06.920 --> 00:01:09.480]  其實都是在考驗你的耐性
[00:01:09.480 --> 00:01:11.800]  考驗你的細心
[00:01:11.800 --> 00:01:12.760]  我一邊說的時候
[00:01:12.760 --> 00:01:13.520]  可能有些人會說
[00:01:13.520 --> 00:01:16.640]  跟我們的俗稱生命成長有什麼關係?
[00:01:16.640 --> 00:01:17.480]  是有關係的
[00:01:17.480 --> 00:01:19.040]  我們一起看看二刷書
[00:01:19.040 --> 00:01:20.880]  六十四章八節
[00:01:20.880 --> 00:01:21.680]  我們一起讀吧
[00:01:21.680 --> 00:01:22.920]  一二三
[00:01:22.920 --> 00:01:23.880]  耶穌說
[00:01:23.880 --> 00:01:26.800]  現在你仍是我們的父
[00:01:26.800 --> 00:01:28.240]  我們是泥
[00:01:28.240 --> 00:01:29.920]  你是窯象
[00:01:29.920 --> 00:01:33.400]  我們都是你手的工作
[00:01:33.400 --> 00:01:37.320]  原來天父塑造我們每一位的時候
[00:01:37.320 --> 00:01:38.720]  就好像這個窯象
[00:01:38.720 --> 00:01:40.520]  就是製作陶瓷的師傅
[00:01:40.520 --> 00:01:43.760]  你的工匠在製造陶瓷一樣
[00:01:43.760 --> 00:01:45.880]  他們要付出什麼呢?
[00:01:45.880 --> 00:01:48.280]  那種的心血
[00:01:48.280 --> 00:01:49.840]  那種的心力
[00:01:49.840 --> 00:01:51.440]  那種的耐性
[00:01:51.440 --> 00:01:53.200]  那種的心機
[00:01:53.200 --> 00:01:54.480]  所以大家可以想像
[00:01:54.480 --> 00:01:56.440]  天父塑造我們每一位的時候
[00:01:56.440 --> 00:01:57.360]  他付出什麼
[00:01:57.360 --> 00:01:58.360]  他的心情
