
[00:00:00.000 --> 00:00:03.720]  這段經文的十一節到二十二節
[00:00:03.720 --> 00:00:07.880]  其實是處理猶太人和外邦人之間
[00:00:07.880 --> 00:00:12.040]  長期敵對、隔閡的原因
[00:00:12.040 --> 00:00:14.040]  我選擇的第十四節
[00:00:14.040 --> 00:00:16.680]  我沒可能十一節到二十二節說
[00:00:16.680 --> 00:00:19.720]  我猜大家應該要留很久了
[00:00:19.720 --> 00:00:22.480]  所以我只是按照我的習慣
[00:00:22.480 --> 00:00:24.480]  只選擇一節的經文
[00:00:24.480 --> 00:00:25.760]  這一節的經文
[00:00:25.760 --> 00:00:28.600]  其實是這段經文裡面的靈魂中樞
[00:00:28.600 --> 00:00:31.720]  如果我們說這所書的核心主題
[00:00:31.720 --> 00:00:34.960]  是萬物在基督裡面同歸於一
[00:00:34.960 --> 00:00:37.440]  那麼二章第十四節
[00:00:37.440 --> 00:00:41.920]  其實它就不只是一個歷史記錄
[00:00:41.920 --> 00:00:45.120]  它是一個很關鍵的切入點
[00:00:45.120 --> 00:00:47.920]  所以我將它的題目定在
[00:00:47.920 --> 00:00:50.360]  拆毀與重塑
[00:00:50.360 --> 00:00:52.360]  這一段的經文
[00:00:52.360 --> 00:00:56.240]  它刻畫、勾畫出一個偉大的藍圖
[00:00:56.240 --> 00:00:58.240]  在基督的國度裡面
[00:00:58.240 --> 00:01:02.400]  人與人之間不再需要彼此防備
[00:01:02.400 --> 00:01:06.120]  不同民族之間無需劃分敵我
[00:01:06.120 --> 00:01:07.600]  教會的意義
[00:01:07.600 --> 00:01:11.480]  就是讓這份合一真正的實現
[00:01:11.480 --> 00:01:13.280]  福音的影響力
[00:01:13.280 --> 00:01:19.320]  不只是打破了、消離了神與人之間的鴻溝
[00:01:19.320 --> 00:01:21.680]  讓人個人得救
[00:01:21.680 --> 00:01:23.400]  救恩的延伸
[00:01:23.400 --> 00:01:27.360]  是能夠延伸人際關係的重建
[00:01:27.360 --> 00:01:31.440]  讓我們這群本來被牆所隔開的人
[00:01:31.440 --> 00:01:33.000]  能夠在基督裡面
[00:01:33.000 --> 00:01:35.480]  因著愛、因著基督的大能
