
[00:00:00.000 --> 00:00:06.000]  大過年的把面當我頭上還有王法嗎
[00:00:06.000 --> 00:00:10.000]  他只是個孩子
[00:00:10.000 --> 00:00:13.000]  再被吳七公破功
[00:00:13.000 --> 00:00:16.000]  是當今 是你逼我的
[00:00:16.000 --> 00:00:26.000]  周孝聿 你無法無天
[00:00:28.000 --> 00:00:34.000]  他還只是個孩子
[00:00:34.000 --> 00:00:40.000]  他還只是個孩子
[00:00:40.000 --> 00:00:45.000]  他還只是個孩子
[00:00:45.000 --> 00:00:47.000]  他只是個孩子
[00:00:47.000 --> 00:00:49.000]  他只是個孩子
[00:00:49.000 --> 00:00:51.000]  他只是個孩子
[00:00:51.000 --> 00:00:54.000]  他不是孩子
[00:00:54.000 --> 00:00:56.000]  孩子們好
[00:00:56.000 --> 00:00:58.000]  弟兄姊妹平安
[00:00:58.000 --> 00:00:59.000]  剛纔是不是很好笑
[00:00:59.000 --> 00:01:00.000]  他做得很成功
[00:01:00.000 --> 00:01:04.000]  其實剛纔那條片不單止是要引你笑
[00:01:04.000 --> 00:01:06.000]  還有一個諷刺的意味就是
[00:01:06.000 --> 00:01:09.000]  我們不要活出一些沒有道理的愛
[00:01:09.000 --> 00:01:11.000]  不要有偏愛 不要有例外
[00:01:11.000 --> 00:01:13.000]  要不然我們下一代將會很麻煩
[00:01:13.000 --> 00:01:14.000]  而他是很成功的
[00:01:14.000 --> 00:01:16.000]  因爲如果你看下一個留言
[00:01:16.000 --> 00:01:18.000]  他說 有沒有搞錯 很無恥
[00:01:18.000 --> 00:01:20.000]  這個行爲我們不要做了
[00:01:20.000 --> 00:01:22.000]  真的很好笑 笑死我了
[00:01:22.000 --> 00:01:24.000]  不要讓壞人成長
[00:01:24.000 --> 00:01:27.000]  弟兄姊妹 我希望大家可以記得
[00:01:27.000 --> 00:01:28.000]  作爲一個基督徒
[00:01:28.000 --> 00:01:32.000]  我們要知道什麼叫做愛
[00:01:32.000 --> 00:01:33.000]  我們剛纔看到VBS
[00:01:33.000 --> 00:01:35.000]  那些小朋友是不是很我愛
[00:01:35.000 --> 00:01:36.000]  是不是很有趣
[00:01:36.000 --> 00:01:38.000]  我們今天怎麼愛
[00:01:38.000 --> 00:01:40.000]  明天他們就怎麼愛
[00:01:40.000 --> 00:01:42.000]  我們今天怎麼去活出真理
[00:01:42.000 --> 00:01:47.000]  明天他們就怎麼去活出真理
[00:01:47.000 --> 00:01:50.000]  究竟什麼叫做神月立的愛呢
[00:01:50.000 --> 00:01:52.000]  今天我想帶給大家一起讀
[00:01:52.000 --> 00:01:55.000]  一二三 不能震動的愛
[00:01:55.000 --> 00:01:58.000]  我們不單止要活出有道理的愛
[00:01:58.000 --> 00:02:02.000]  我們更加需要活出有真理的愛
[00:02:02.000 --> 00:02:04.000]  Amen 我們一起
[00:02:04.000 --> 00:02:06.000]  繼續講道之先
[00:02:06.000 --> 00:02:07.000]  我們準備好我們的心
[00:02:07.000 --> 00:02:10.000]  我們一起用我們傳人去祈禱 好嗎
[00:02:10.000 --> 00:02:11.000]  我們一起祈禱
[00:02:11.000 --> 00:02:12.000]  天父上帶感謝你
[00:02:12.000 --> 00:02:16.000]  感謝你真的活出一個不能震動的愛
[00:02:16.000 --> 00:02:17.000]  令我們今天
[00:02:17.000 --> 00:02:19.000]  雖然我們很多時候不識
