
[00:00:00.000 --> 00:00:03.000]  今生的榮耀
[00:00:03.000 --> 00:00:06.000]  那世界的人看重的是今生的榮耀
[00:00:06.000 --> 00:00:09.000]  要人讚賞
[00:00:09.000 --> 00:00:12.000]  有時候我們也很容易
[00:00:12.000 --> 00:00:15.000]  我們福斯主幫助人的時候也希望別人看到稱讚一下
[00:00:15.000 --> 00:00:18.000]  那有時我們福斯人幫助人的時候
[00:00:18.000 --> 00:00:21.000]  也都希望別人看到對我們有所稱讚
[00:00:21.000 --> 00:00:24.000]  那耶穌的價值觀跟私人就很不同
[00:00:24.000 --> 00:00:27.000]  那但是耶穌的價值觀
[00:00:27.000 --> 00:00:30.000]  跟世人是不同的
[00:00:30.000 --> 00:00:33.000]  祂看重的是父神的榮耀
[00:00:33.000 --> 00:00:36.000]  祂看重的是父神的榮耀
[00:00:36.000 --> 00:00:39.000]  不是為自己求榮耀
[00:00:39.000 --> 00:00:42.000]  耶穌來到這個世界說到榮耀的時刻
[00:00:42.000 --> 00:00:45.000]  就是要成全父神的旨意
[00:00:45.000 --> 00:00:48.000]  耶穌來到這個世界
[00:00:48.000 --> 00:00:51.000]  為了榮耀神這個時刻就是要成全父神
[00:00:51.000 --> 00:00:54.000]  所以耶穌
[00:00:54.000 --> 00:00:57.000]  從榮耀神的角度來看榮耀的生命
[00:00:57.000 --> 00:01:00.000]  耶穌是從榮耀父神的角度來看生命
[00:01:00.000 --> 00:01:03.000]  耶穌知道祂上十字架的路
[00:01:03.000 --> 00:01:06.000]  就是要為外邦人打開一個門
[00:01:06.000 --> 00:01:09.000]  可以領受救恩
[00:01:09.000 --> 00:01:12.000]  耶穌知道祂上十字架
[00:01:12.000 --> 00:01:15.000]  是要為外邦人打開一條生的路
[00:01:15.000 --> 00:01:18.000]  也就是說神的救恩
[00:01:18.000 --> 00:01:21.000]  不單單給猶太人
[00:01:21.000 --> 00:01:24.000]  也就是說神的救恩
[00:01:24.000 --> 00:01:27.000]  不單單給猶太人
[00:01:27.000 --> 00:01:30.000]  更要臨到希臘人
[00:01:30.000 --> 00:01:33.000]  全世界的人
[00:01:33.000 --> 00:01:36.000]  這個救恩更要臨到希臘人以及全世界的人
[00:01:36.000 --> 00:01:39.000]  所以天國的門是敞開給所有的人
[00:01:39.000 --> 00:01:42.000]  所以天國的門是向所有人都敞開的
[00:01:42.000 --> 00:01:45.000]  所以希臘人來見耶穌
[00:01:45.000 --> 00:01:48.000]  耶穌就知道榮耀已經來了
[00:01:48.000 --> 00:01:51.000]  當希臘人要見耶穌的時候
[00:01:51.000 --> 00:01:54.000]  他知道這個救恩來到是要向外邦人傳去
[00:01:54.000 --> 00:01:57.000]  所以耶穌怎樣看榮耀呢
[00:01:57.000 --> 00:02:00.000]  所以耶穌是怎樣看榮耀的呢
[00:02:00.000 --> 00:02:03.000]  他是從榮耀神的角度來看的
[00:02:03.000 --> 00:02:06.000]  他是從榮耀神的角度來看的
[00:02:06.000 --> 00:02:09.000]  不是榮耀自己
[00:02:09.000 --> 00:02:12.000]  並不是要榮耀自己
[00:02:12.000 --> 00:02:15.000]  是從榮耀神來看生命
[00:02:15.000 --> 00:02:18.000]  是從榮耀神來看生命
[00:02:18.000 --> 00:02:21.000]  我們看二十四節
[00:02:21.000 --> 00:02:24.000]  我們看二十四節
[00:02:24.000 --> 00:02:27.000]  耶穌說一粒麥子不落在地裡死了
[00:02:27.000 --> 00:02:30.000]  人就是一粒 若是死了就解出許多子粒來
[00:02:30.000 --> 00:02:33.000]  耶穌說一粒麥子不落在地裡死了
[00:02:33.000 --> 00:02:36.000]  人就是一粒 若是死了就結出許多子粒來
[00:02:36.000 --> 00:02:39.000]  耶穌說一粒麥子不落在地裡死了
[00:02:39.000 --> 00:02:42.000]  人就是一粒 若是死了就結出許多子粒來
[00:02:42.000 --> 00:02:45.000]  這是一個大自然的現象
[00:02:45.000 --> 00:02:48.000]  這是一個大自然的現象
[00:02:48.000 --> 00:02:51.000]  種菜種什麼都一粒麥子
[00:02:51.000 --> 00:02:54.000]  一粒種子就落在地上了
[00:02:54.000 --> 00:02:57.000]  這是大自然的規律
[00:02:57.000 --> 00:03:00.000]  一粒種子掉落土裡
[00:03:00.000 --> 00:03:03.000]  它會破谷而出來
