
[00:00:00.000 --> 00:00:05.020]  我們仍然繼續看羅馬書第十一章
[00:00:05.020 --> 00:00:09.900]  第十一章跟第九章、第十章是一樣的
[00:00:09.900 --> 00:00:13.060]  仍然講到神的主權的問題
[00:00:13.060 --> 00:00:18.560]  就是有一個英文字叫做 Sovereignty
[00:00:18.560 --> 00:00:20.860]  我們藉著聖經的啟示
[00:00:20.860 --> 00:00:26.640]  我們知道神祂做每一件事情都是絕對的自由
[00:00:26.640 --> 00:00:29.300]  沒有任何其他的因素影響祂
[00:00:29.300 --> 00:00:34.340]  那麼也是按照祂自己的美善
[00:00:34.340 --> 00:00:39.800]  然後祂的完全、祂的神性而行事
[00:00:39.800 --> 00:00:42.800]  我們過去在看第九章、第十章的時候
[00:00:42.800 --> 00:00:45.340]  我們特別是到第十章
[00:00:45.340 --> 00:00:48.540]  我們發現以色列這個民族或者是這個國家
[00:00:48.540 --> 00:00:51.100]  到現在為止都不信
[00:00:51.100 --> 00:00:54.060]  那麼如果你了解他們那邊的情形的話
[00:00:54.060 --> 00:00:57.960]  那麼他們這個國家裡面有許多各式各樣不同的
[00:00:57.960 --> 00:01:01.300]  不同的這個信仰
[00:01:01.300 --> 00:01:03.860]  那麼我不在這裡多提了
[00:01:03.860 --> 00:01:06.760]  但是我們仍然繼續問同樣的一個問題
[00:01:06.760 --> 00:01:10.760]  就是說以色列人他們既然是神的選民
[00:01:10.760 --> 00:01:13.260]  那神為什麼沒有辦法保守他們
[00:01:13.260 --> 00:01:15.500]  那到現在為止他們都不信
[00:01:15.500 --> 00:01:20.800]  那麼第十章就講到以色列和猶太
[00:01:20.800 --> 00:01:23.140]  這個民族或者是這個國家
[00:01:23.140 --> 00:01:26.560]  那麼有今天的屬靈光景仍然是
[00:01:26.560 --> 00:01:28.500]  或者是說沒有得救
[00:01:28.500 --> 00:01:31.360]  是因為不信耶穌是基督
[00:01:31.360 --> 00:01:33.900]  那麼我們從第九章的時候我們就看見
[00:01:33.900 --> 00:01:38.100]  保羅他的禱告就是要以色列人得救
[00:01:38.100 --> 00:01:39.600]  他甚至到一個地步
[00:01:39.600 --> 00:01:44.360]  他甚至講他說即使他自己失去了
[00:01:44.360 --> 00:01:45.460]  他這個恩典
[00:01:45.460 --> 00:01:47.340]  他自己被神咒詛
[00:01:47.340 --> 00:01:49.500]  他也要以色列人得救
[00:01:49.500 --> 00:01:51.800]  或者是他的同胞得救
[00:01:51.800 --> 00:01:55.100]  那麼所以我們從第九章、第十章
[00:01:55.100 --> 00:01:58.400]  我們可以看見保羅他的禱告
[00:01:58.400 --> 00:02:00.900]  不是在那裡空想
[00:02:00.900 --> 00:02:02.660]  或者是我們用英文講叫做
[00:02:02.660 --> 00:02:05.540]  wishful thinking
[00:02:05.540 --> 00:02:07.960]  那麼第十章、第九章、第十章
[00:02:07.960 --> 00:02:09.000]  真的是告訴我們
[00:02:09.000 --> 00:02:12.500]  我們看見保羅他的禱告是有憑有據的
[00:02:12.500 --> 00:02:16.660]  完全都是按照神的本性
[00:02:16.660 --> 00:02:19.100]  我相信我們中間也有很多人
