
[00:00:00.000 --> 00:00:03.480]  好 不過我們就回到今天的講道
[00:00:03.480 --> 00:00:08.200]  就是復和的使者是來自哥倫多後書的
[00:00:08.200 --> 00:00:11.520]  本來我是講哥倫多後書的
[00:00:11.520 --> 00:00:13.680]  不過有一段日子好像都沒有講了
[00:00:13.680 --> 00:00:15.360]  不過今天就繼續講
[00:00:15.360 --> 00:00:18.760]  不過其實今天就大結局了
[00:00:18.760 --> 00:00:22.000]  因為明年教育團隊決定
[00:00:22.000 --> 00:00:23.500]  講道有另一個方向
[00:00:23.500 --> 00:00:25.400]  會跟隨大隊的方向
[00:00:25.400 --> 00:00:30.200]  所以今天就用復和來總結一下
[00:00:30.200 --> 00:00:30.900]  可以這麼說
[00:00:30.900 --> 00:00:33.960]  總結哥倫多後書的一些信息
[00:00:33.960 --> 00:00:38.320]  好 我們因為有一段日子沒有講哥倫多前書
[00:00:38.320 --> 00:00:40.600]  後書了 講回一點背景
[00:00:40.600 --> 00:00:44.240]  哥倫多教會就是保羅設立的
[00:00:44.240 --> 00:00:46.240]  保羅設立了哥倫多教會之後
[00:00:46.240 --> 00:00:48.960]  他就離開去其它城市傳福音了
[00:00:48.960 --> 00:00:52.880]  不過他走了之後就有其它的人來到
[00:00:52.880 --> 00:00:56.400]  這些其它的人 保羅在哥倫多後書裏面
[00:00:56.400 --> 00:00:58.880]  形容這些人為超級使徒
[00:00:58.880 --> 00:01:01.520]  不知道是不是這些人自己這樣叫自己
[00:01:01.520 --> 00:01:03.400]  還是哥倫多人叫他這樣
[00:01:03.400 --> 00:01:05.880]  無論如何總之有些所謂超級使徒
[00:01:05.880 --> 00:01:08.320]  就來到這個哥倫多教會
[00:01:08.320 --> 00:01:10.040]  那些超級使徒來到之後
[00:01:10.040 --> 00:01:13.040]  他們就帶給保羅很多的麻煩
[00:01:13.040 --> 00:01:15.280]  他們就跟那些哥倫多人講
[00:01:15.280 --> 00:01:19.160]  他說保羅其實他傳的那些福音
[00:01:19.160 --> 00:01:21.880]  就是一些基本福音
[00:01:21.880 --> 00:01:24.240]  可以這樣講 講得難聽一點
[00:01:24.240 --> 00:01:27.400]  是一些幼稚的福音 起步來的
[00:01:27.400 --> 00:01:31.560]  保羅不懂得那些真正深奧的道理
[00:01:31.560 --> 00:01:34.960]  我這個超級使徒 我們來到了
[00:01:34.960 --> 00:01:39.960]  我現在就跟你們哥倫多人講深層的道理
[00:01:39.960 --> 00:01:43.200]  所以你可以不用你保羅講的那些東西了
[00:01:43.200 --> 00:01:44.840]  那些很膚淺的
[00:01:44.840 --> 00:01:47.680]  我這些才是精妙的道理
