
[00:00:00.000 --> 00:00:04.640]  好 多謝施班剛才的師哥
[00:00:04.640 --> 00:00:07.840]  「Here I am」讓我們能夠知道
[00:00:07.840 --> 00:00:10.200]  當這位主耶穌基督
[00:00:10.200 --> 00:00:16.760]  祂願意提供很多人生命的滿足的時候
[00:00:16.760 --> 00:00:21.640]  正是祂呼召我們效法祂 跟從祂
[00:00:21.640 --> 00:00:24.720]  所以在這個月 當我們來到十月尾
[00:00:24.720 --> 00:00:27.920]  仍然是猜拳月的最後一個主日
[00:00:27.920 --> 00:00:30.720]  我們思想到很多的師哥
[00:00:30.720 --> 00:00:33.240]  剛才的施班的獻師
[00:00:33.240 --> 00:00:34.840]  正是要提醒我們
[00:00:34.840 --> 00:00:37.560]  今天我們成為何等樣的人
[00:00:37.560 --> 00:00:39.080]  因為有主的恩
[00:00:39.080 --> 00:00:44.480]  所以我們願意接受主的呼籲 呼召
[00:00:44.480 --> 00:00:47.520]  不單在近處 在遠處
[00:00:47.520 --> 00:00:49.440]  我們都去傳揚祂
[00:00:49.440 --> 00:00:54.360]  求主親自的施恩幫助我們
[00:00:54.360 --> 00:00:57.360]  這次早上想和大家思想到
[00:00:57.360 --> 00:00:59.840]  生命記三十章一至二十節
[00:00:59.840 --> 00:01:02.320]  我會選用新譯本
[00:01:02.320 --> 00:01:06.960]  講到回歸上帝選擇生命
[00:01:06.960 --> 00:01:09.840]  讓我們一同讀出
[00:01:09.840 --> 00:01:13.720]  我會先讀頭三版第一至第十節
[00:01:13.720 --> 00:01:17.800]  然後請大家由第十一節讀到第二十節
[00:01:17.800 --> 00:01:20.720]  我們用新譯本一起讀
[00:01:20.720 --> 00:01:23.480]  我先讀頭三版
[00:01:23.480 --> 00:01:24.880]  「當這一切事
[00:01:24.880 --> 00:01:29.880]  就是我擺在祢面前的祝福和奏坐
[00:01:29.880 --> 00:01:32.960]  都臨到祢身上的時候
[00:01:32.960 --> 00:01:34.840]  祢在耶和華祢的神
[00:01:34.840 --> 00:01:37.640]  趕逐祢去的萬國中
[00:01:37.640 --> 00:01:40.680]  祢心裡必回想這些話
[00:01:40.680 --> 00:01:42.280]  祢和祢的子孫
[00:01:42.280 --> 00:01:46.040]  必一心一意歸向耶和華祢的神
[00:01:46.040 --> 00:01:50.360]  照著今日吩咐祢的一切聽從他的話
[00:01:50.360 --> 00:01:52.360]  那時耶和華祢的神
[00:01:52.360 --> 00:01:56.440]  就必使祢這被擄的人回歸
[00:01:56.440 --> 00:01:58.200]  他必憐問祢
[00:01:58.200 --> 00:01:59.120]  耶和華祢的神
[00:01:59.120 --> 00:02:03.000]  必從祢被分散到的萬民中
[00:02:03.000 --> 00:02:05.600]  把祢再召回來
[00:02:05.600 --> 00:02:07.280]  祢被趕逐的人
[00:02:07.280 --> 00:02:09.840]  就是在天涯海角
[00:02:09.840 --> 00:02:11.240]  耶和華祢的神
[00:02:11.240 --> 00:02:14.440]  也必從那裡把祢召集回來
[00:02:14.440 --> 00:02:17.200]  從那裡把祢帶回
[00:02:17.200 --> 00:02:18.320]  耶和華祢的神
[00:02:18.320 --> 00:02:22.560]  必須必令祢進入祢列祖所得之地
[00:02:22.560 --> 00:02:25.000]  使祢可以得著這地
[00:02:25.000 --> 00:02:27.040]  他必善待祢
[00:02:27.040 --> 00:02:29.720]  他也必使祢的人數增多
[00:02:29.720 --> 00:02:32.120]  勝過祢的列祖
[00:02:32.120 --> 00:02:33.120]  耶和華祢的神
[00:02:33.120 --> 00:02:37.880]  必把祢心裡和祢後裔心裡的污穢除掉
[00:02:37.880 --> 00:02:41.520]  要祢一心一意愛耶和華祢的神
[00:02:41.520 --> 00:02:43.680]  使祢可以存活
[00:02:43.680 --> 00:02:45.040]  耶和華祢的神
[00:02:45.040 --> 00:02:47.200]  必把這一切就座
[00:02:47.200 --> 00:02:50.680]  加在祢的囚敵和恨惡祢
[00:02:50.680 --> 00:02:53.400]  逼迫祢的人身上
