
[00:00:00.000 --> 00:00:01.800]  如果我想問你一個問題
[00:00:01.800 --> 00:00:05.780]  你今天早上出門鎖門了嗎?
[00:00:05.780 --> 00:00:09.720]  開始有點懷疑了
[00:00:09.720 --> 00:00:12.820]  很多時候我鎖了門
[00:00:12.820 --> 00:00:14.960]  走到電梯口
[00:00:14.960 --> 00:00:18.060]  很容易會走回頭,查一下鎖了沒有,你試過了嗎?
[00:00:18.060 --> 00:00:20.760]  師母經常說我精神緊張
[00:00:20.760 --> 00:00:23.200]  可能城市人都是這樣
[00:00:23.200 --> 00:00:26.400]  我記得我小時候在新界長大
[00:00:26.400 --> 00:00:32.960]  回家要經過很多屋和鄰居
[00:00:32.960 --> 00:00:35.280]  那時候好像不用怎麼鎖門
[00:00:35.280 --> 00:00:36.880]  因為到處都關上了
[00:00:36.880 --> 00:00:38.760]  我不知道你試過這樣的情況了沒有
[00:00:38.760 --> 00:00:41.080]  師母有一天在新界長大
[00:00:41.080 --> 00:00:43.220]  她告訴我,那時候很爽
[00:00:43.220 --> 00:00:46.160]  去士多,她姓容
[00:00:46.160 --> 00:00:48.040]  阿勇,即是她的爸爸
[00:00:48.040 --> 00:00:51.160]  可以記著帳,拿麵包回家
[00:00:51.160 --> 00:00:52.480]  你試過了沒有?
[00:00:52.480 --> 00:00:53.960]  匪夷所思,是嗎?
[00:00:54.480 --> 00:00:58.400]  是的,今天我們沒有這些事了
[00:00:58.400 --> 00:01:00.360]  我們去飲茶,去吃東西
[00:01:00.360 --> 00:01:02.240]  手袋放在旁邊,我們很緊張
[00:01:02.240 --> 00:01:03.360]  經常看著,是嗎?
[00:01:03.360 --> 00:01:06.360]  怕被人看見,經常有短片被人看見
[00:01:06.360 --> 00:01:09.120]  我們去哪裡都要很小心
[00:01:09.120 --> 00:01:10.360]  我們要鎖好門
[00:01:10.360 --> 00:01:13.360]  最近新聞報告說
[00:01:13.360 --> 00:01:15.160]  自從經濟下滑
[00:01:15.160 --> 00:01:18.240]  偷竊案的數字有上升的趨勢
[00:01:18.240 --> 00:01:21.680]  根據報告,香港的偷竊、爆竊、行騙案
[00:01:21.680 --> 00:01:26.960]  較去年同期,上升了38.6%
[00:01:26.960 --> 00:01:30.440]  你是否其中一個受害者?我不知道
[00:01:30.440 --> 00:01:34.720]  會不會是經濟下滑的時候
[00:01:34.720 --> 00:01:36.440]  人就會鋌而走險
[00:01:36.440 --> 00:01:39.320]  做出一些偷竊、偷渡的行為
[00:01:39.320 --> 00:01:43.040]  令案件的數字上升呢?
[00:01:43.040 --> 00:01:45.920]  抑或其實偷竊
[00:01:45.920 --> 00:01:49.360]  就算不是在不警器之下
[00:01:49.360 --> 00:01:51.120]  都會有發生呢?
[00:01:51.920 --> 00:01:53.800]  馬丁路德曾經這樣說
[00:01:53.800 --> 00:01:57.800]  他說如果將所有曾經犯過偷竊罪的人
[00:01:57.800 --> 00:02:00.360]  拿去問吊,當然這是開玩笑的
[00:02:00.360 --> 00:02:02.200]  拿去問吊,嘩!這麼嚴重
[00:02:02.200 --> 00:02:06.600]  他說世界就變得非常非常的荒涼
[00:02:06.600 --> 00:02:09.080]  連那些負責行刑的人
[00:02:09.080 --> 00:02:11.800]  或者行刑的架都不夠用
[00:02:11.800 --> 00:02:15.640]  意思就是說,其實很嚴重
[00:02:15.640 --> 00:02:20.120]  意思就是說,可能我們或多或少
[00:02:20.120 --> 00:02:22.880]  在我們生命上,在我們生活上
[00:02:22.880 --> 00:02:27.200]  都作出了一些偷竊、偷渡的行為
[00:02:27.200 --> 00:02:28.880]  我不知道你有沒有試過
[00:02:28.880 --> 00:02:31.960]  今天我們來到第十屆裡面的第八屆
