
[00:00:00.000 --> 00:00:06.700]  剛才經過讀到主耶穌在曠野受魔鬼的試探
[00:00:06.700 --> 00:00:07.720]  是嗎?
[00:00:07.720 --> 00:00:11.340]  亦都重溫聚點入到這個世界
[00:00:11.340 --> 00:00:13.340]  在禦苦期裏面
[00:00:13.340 --> 00:00:17.180]  我們會重溫耶穌的一些很重要的片段
[00:00:17.180 --> 00:00:19.680]  去到復活節
[00:00:19.680 --> 00:00:21.680]  就是一個高峰
[00:00:21.680 --> 00:00:24.180]  在耶穌這些重要的片段裏面
[00:00:24.180 --> 00:00:28.620]  主耶穌在曠野四十天受試探之後
[00:00:28.620 --> 00:00:30.620]  出來服侍
[00:00:30.620 --> 00:00:32.620]  一路服侍一路服侍
[00:00:32.620 --> 00:00:34.620]  到了另一個高峰
[00:00:34.620 --> 00:00:37.620]  就是記載在馬太福音的十六章
[00:00:37.620 --> 00:00:41.620]  主耶穌和一班門徒去到哥拉薩尼亞菲勒比
[00:00:41.620 --> 00:00:44.620]  祂問門徒
[00:00:44.620 --> 00:00:46.620]  你認識我這麼久
[00:00:46.620 --> 00:00:50.620]  跟了我差不多三年的時間
[00:00:50.620 --> 00:00:53.620]  你們說我是誰?
[00:00:53.620 --> 00:00:55.620]  我是誰?
[00:00:55.620 --> 00:00:58.620]  那班門徒回答了很多不同的答案
[00:00:58.620 --> 00:01:01.620]  但彼得就明明的說
[00:01:01.620 --> 00:01:03.620]  你就是基督
[00:01:03.620 --> 00:01:05.620]  你就是尼塞亞
[00:01:05.620 --> 00:01:10.620]  這是耶穌基督身份一個很明顯的高峰
[00:01:10.620 --> 00:01:13.620]  祂被那班門徒認出
[00:01:13.620 --> 00:01:18.620]  祂是歷世歷代猶太人所等候的尼塞亞
[00:01:18.620 --> 00:01:21.620]  然後到第十七章
[00:01:21.620 --> 00:01:24.620]  我們今天所說的經文
[00:01:24.620 --> 00:01:27.620]  就是耶穌帶著三個門徒
[00:01:27.620 --> 00:01:30.620]  偷偷摸摸的上山
[00:01:30.620 --> 00:01:35.620]  我們一同看馬太福音十七章第一到第十一節
[00:01:35.620 --> 00:01:41.620]  我們一同讀
