
[00:00:00.000 --> 00:00:02.000]  我再一次同心祈禱
[00:00:02.000 --> 00:00:04.000]  Joshua 我們多謝祢
[00:00:04.000 --> 00:00:06.000]  因為祢就是那位大君王
[00:00:06.000 --> 00:00:08.000]  祢就是那位拯救我們的主
[00:00:08.000 --> 00:00:11.000]  祢就是那位創天造地的神
[00:00:11.000 --> 00:00:13.000]  祢就是那位掌管萬有
[00:00:13.000 --> 00:00:15.000]  掌管生命的神
[00:00:15.000 --> 00:00:17.000]  讓我們去到祢面前的時候
[00:00:17.000 --> 00:00:18.000]  我們屈膝去敬拜祢
[00:00:18.000 --> 00:00:21.000]  讓我們真是在祢裡面
[00:00:21.000 --> 00:00:23.000]  去心意誠服地去敬拜
[00:00:23.000 --> 00:00:25.000]  將整個敬拜獻情給祢
[00:00:25.000 --> 00:00:27.000]  我們多謝祢聽我們禱告
[00:00:27.000 --> 00:00:28.000]  奉Joshua的名求
[00:00:28.000 --> 00:00:30.000]  阿們
[00:00:58.000 --> 00:01:01.000]  在阿拉巴古裡面的一個訊息
[00:01:01.000 --> 00:01:03.000]  剛剛讀過那段經文
[00:01:03.000 --> 00:01:05.000]  其實是一篇講章
[00:01:05.000 --> 00:01:08.000]  由第十六節到第三十四節
[00:01:08.000 --> 00:01:10.000]  其實簡單的一個講章結構
[00:01:10.000 --> 00:01:12.000]  保羅去講這篇訊息
[00:01:12.000 --> 00:01:13.000]  十七至二十一節
[00:01:13.000 --> 00:01:15.000]  就是當時那些聽眾
[00:01:15.000 --> 00:01:17.000]  有的一些反應
[00:01:17.000 --> 00:01:18.000]  二十二至三十一節
[00:01:18.000 --> 00:01:21.000]  就是整個講道訊息的內容
[00:01:21.000 --> 00:01:23.000]  三十二至三十四節
[00:01:23.000 --> 00:01:25.000]  就是那些人對整個訊息的回應
[00:01:25.000 --> 00:01:27.000]  所以可以這麼說
[00:01:27.000 --> 00:01:29.000]  當天我們去看這段經文
[00:01:29.000 --> 00:01:30.000]  道中道
[00:01:30.000 --> 00:01:31.000]  就是我講的
[00:01:31.000 --> 00:01:33.000]  保羅講的那一篇道
[00:01:33.000 --> 00:01:36.000]  所以你見到當時那班人的反應
[00:01:36.000 --> 00:01:38.000]  他聽到的反應是怎樣呢
[00:01:38.000 --> 00:01:41.000]  特別當我們講到宣教
[00:01:41.000 --> 00:01:43.000]  講到猜拳的時候
[00:01:43.000 --> 00:01:44.000]  十六節一開始
[00:01:44.000 --> 00:01:46.000]  保羅在雅典等候他們的時候
[00:01:46.000 --> 00:01:47.000]  其實保羅也等了
[00:01:47.000 --> 00:01:49.000]  譚摩泰和西拉
[00:01:49.000 --> 00:01:51.000]  當他等他們的時候
[00:01:51.000 --> 00:01:53.000]  看見滿城都是偶像
[00:01:53.000 --> 00:01:55.000]  就心裡著急
[00:01:55.000 --> 00:01:57.000]  講到傳方、猜拳
[00:01:57.000 --> 00:01:59.000]  講到不同的訊息的時候
[00:01:59.000 --> 00:02:02.000]  我深信最重要的是甚麼呢
[00:02:02.000 --> 00:02:05.000]  過往有推動不同的報道事工
[00:02:05.000 --> 00:02:06.000]  推動猜拳
[00:02:06.000 --> 00:02:07.000]  講傳福音
[00:02:07.000 --> 00:02:08.000]  扮三福
[00:02:08.000 --> 00:02:11.000]  其實我覺得搞多少聚會都好
