
[00:00:00.000 --> 00:00:04.000]  好,弟兄姊妹,我們先再次低頭祈禱
[00:00:04.000 --> 00:00:14.000]  主耶穌,我們很感謝祢,祢愛我們
[00:00:14.000 --> 00:00:17.000]  祢甘願為我們捨己
[00:00:17.000 --> 00:00:20.000]  以致我們可以一切的
[00:00:20.000 --> 00:00:23.000]  在祢的家裡,我們去敬拜
[00:00:23.000 --> 00:00:25.000]  我們去學習
[00:00:25.000 --> 00:00:29.000]  我們都謙卑在祢的私人寶藏面前
[00:00:29.000 --> 00:00:33.000]  求祢的恩賢去幫助我們
[00:00:33.000 --> 00:00:36.000]  能夠明白祢的心意
[00:00:36.000 --> 00:00:40.000]  祈禱交託奉耶穌基督,得聖名祈求
[00:00:40.000 --> 00:00:41.000]  阿門
[00:00:41.000 --> 00:00:57.000]  今天我們要看的是提摩太前書二章一至七節
[00:00:57.000 --> 00:01:00.000]  在二章的一節一開始的時候
[00:01:00.000 --> 00:01:03.000]  就有「因此」這兩個字
[00:01:03.000 --> 00:01:07.000]  其實就告訴我們,是接續著前面的經文
[00:01:07.000 --> 00:01:10.000]  其實在提摩太前書一章那裡
[00:01:10.000 --> 00:01:14.000]  提到以弗所的教會當時有假教師
[00:01:14.000 --> 00:01:16.000]  去教導一些假的教義
[00:01:16.000 --> 00:01:19.000]  而在一章的十八節
[00:01:19.000 --> 00:01:21.000]  那裡也都告訴我們
[00:01:24.000 --> 00:01:28.000]  保羅他勸勉提摩太要打美好的仗
[00:01:28.000 --> 00:01:33.000]  其實就是鼓勵他要去抵擋當時的異端
[00:01:33.000 --> 00:01:37.000]  可能當時的教會裡面
[00:01:37.000 --> 00:01:42.000]  對禱告是有一些錯誤的教導
[00:01:42.000 --> 00:01:46.000]  所以保羅他要在這方面來矯正他們
[00:01:46.000 --> 00:01:48.000]  今天我們看這段經文
[00:01:48.000 --> 00:01:51.000]  就是保羅提醒提摩太
[00:01:51.000 --> 00:01:54.000]  和教會裡面的弟兄姊妹
[00:01:54.000 --> 00:01:58.000]  他們要為萬人來祈禱
[00:01:58.000 --> 00:02:01.000]  為什麼要為萬人祈禱呢?
[00:02:01.000 --> 00:02:04.000]  保羅提到第一方面
[00:02:04.000 --> 00:02:09.000]  是讓福音能夠在有利的環境當中去傳開
[00:02:09.000 --> 00:02:13.000]  在第一和第二節
[00:02:13.000 --> 00:02:16.000]  保羅說:我勸你們最重要的
[00:02:16.000 --> 00:02:20.000]  要為萬人、君王和一切有權位的
[00:02:20.000 --> 00:02:23.000]  去懇求、禱告、代求和感恩
[00:02:23.000 --> 00:02:26.000]  好讓我們可以敬虔莊重的
[00:02:26.000 --> 00:02:29.000]  過平靜安穩的日子
[00:02:29.000 --> 00:02:33.000]  要為其實是一個現代的時態
[00:02:33.000 --> 00:02:36.000]  就是指一個恆常的習慣
[00:02:36.000 --> 00:02:39.000]  而萬人就是所有的人
[00:02:39.000 --> 00:02:41.000]  或者可以說是所有的種類
[00:02:41.000 --> 00:02:46.000]  包括不同的種族、政權、地位、階層等等
[00:02:46.000 --> 00:02:51.000]  當然就包括這些一切有權位的和君王
[00:02:51.000 --> 00:02:56.000]  保羅說最重要的是要恆常的去做
[00:02:56.000 --> 00:03:00.000]  就是要為這些不同的種族、階層、地位的人
[00:03:00.000 --> 00:03:02.000]  特別是在上的
[00:03:02.000 --> 00:03:05.000]  要為他們去祈禱
[00:03:05.000 --> 00:03:10.000]  保羅用了幾個禱告的字眼
[00:03:10.000 --> 00:03:15.000]  為他們懇求、禱告、代求和感恩
[00:03:15.000 --> 00:03:20.000]  「懇求」就是為一些特別的需要來祈禱
[00:03:20.000 --> 00:03:24.000]  「禱告」是一般的要求
[00:03:24.000 --> 00:03:27.000]  其實是包括對神的敬拜
[00:03:27.000 --> 00:03:29.000]  「代求」很清楚了
[00:03:29.000 --> 00:03:32.000]  就是我們為別人來祈禱
[00:03:32.000 --> 00:03:38.000]  「感恩」是為神在別人身上的作為來感謝神
[00:03:38.000 --> 00:03:39.000]  總括來說
[00:03:39.000 --> 00:03:43.000]  保羅勸勉提摩太和教會裡的弟兄姊妹
[00:03:43.000 --> 00:03:50.000]  要為萬人、為掌權的去祈禱、感恩
[00:03:50.000 --> 00:03:51.000]  為什麼呢?
[00:03:51.000 --> 00:03:55.000]  或者當我們願意這樣做的時候
[00:03:55.000 --> 00:03:57.000]  帶來一個結果
[00:03:57.000 --> 00:04:04.000]  就是讓我們可以敬虔、莊重地過平靜、安穩的日子
[00:04:04.000 --> 00:04:10.000]  「敬虔」就是源自對神的敬畏而有的
[00:04:10.000 --> 00:04:14.000]  信徒美好的和聖潔的生活
[00:04:14.000 --> 00:04:18.000]  而「莊重」就是配得敬重
[00:04:18.000 --> 00:04:19.000]  總括來說
[00:04:19.000 --> 00:04:23.000]  「敬虔、莊重」就是指到信徒有的
[00:04:23.000 --> 00:04:28.000]  屬靈美好的品格和生命的見證
[00:04:28.000 --> 00:04:32.000]  而「平靜、安穩」就是神賜給人的平安
[00:04:32.000 --> 00:04:37.000]  而這種平安是不受到外來的事情干擾
[00:04:37.000 --> 00:04:40.000]  是內心裡的平靜
[00:04:40.000 --> 00:04:45.000]  也包括人與人之間的和諧
[00:04:45.000 --> 00:04:49.000]  其實當時保羅寫這封書信的時候
[00:04:49.000 --> 00:04:59.000]  正正值當時臭名遠播的羅馬尼祿王去掌權
[00:04:59.000 --> 00:05:05.000]  不單止在政治上是一位很惡的王去掌權
[00:05:05.000 --> 00:05:08.000]  而當時教會裡也有異端
[00:05:08.000 --> 00:05:10.000]  有假教師的教導
[00:05:10.000 --> 00:05:12.000]  而在教會裡
[00:05:12.000 --> 00:05:15.000]  猶太的信徒和外族的信徒
[00:05:15.000 --> 00:05:17.000]  他們彼此之間也有衝突
[00:05:17.000 --> 00:05:22.000]  給不信的人有一個非常不好的印象
[00:05:22.000 --> 00:05:24.000]  其實在這樣的政治環境
[00:05:24.000 --> 00:05:27.000]  在教會的撕裂關係下
[00:05:27.000 --> 00:05:30.000]  能夠有平靜、安穩的生活
[00:05:30.000 --> 00:05:34.000]  是非常寶貴的
[00:05:34.000 --> 00:05:37.000]  保羅說我們要為萬人
[00:05:37.000 --> 00:05:43.000]  為一切有權位的君王等等來祈禱
[00:05:43.000 --> 00:05:47.000]  以致我們可以有平靜、安穩的生活
[00:05:47.000 --> 00:05:50.000]  能夠活出美好的屬靈的生命
[00:05:50.000 --> 00:05:58.000]  原來這個在上帝的眼裡捍衛是好的
[00:05:58.000 --> 00:06:03.000]  他是喜悅我們可以有這樣的生活
[00:06:03.000 --> 00:06:06.000]  其實為萬人、為掌權的去祈禱
[00:06:06.000 --> 00:06:12.000]  不單是為了我們可以有平安、安穩的生活
[00:06:12.000 --> 00:06:16.000]  其實更加是為了福音的緣故
[00:06:16.000 --> 00:06:18.000]  因為第四節說
[00:06:18.000 --> 00:06:23.000]  「他願意萬人得救,並且充分認識真理」
[00:06:23.000 --> 00:06:26.000]  我們的神是有憐憫的心腸
[00:06:26.000 --> 00:06:29.000]  他很願意萬人
[00:06:29.000 --> 00:06:32.000]  無論是猶太人、外族人
[00:06:32.000 --> 00:06:35.000]  無論是高位的尼祿王
[00:06:35.000 --> 00:06:37.000]  或者是卑微的奴僕
[00:06:37.000 --> 00:06:39.000]  無論什麼人都好
[00:06:39.000 --> 00:06:43.000]  我們的神都很想他們能夠認識真理
[00:06:43.000 --> 00:06:46.000]  得到救恩
