
[00:00:00.000 --> 00:00:07.200]  請小妹姐早晨,好感謝您能夠在大年初二和大家一起更快地接觸到
[00:00:07.200 --> 00:00:12.200]  農曆新年只為中華民港在過盡快的基督教育
[00:00:12.200 --> 00:00:19.200]  能夠有假期的時間和家人親友相聚,快樂、民安、平平新年
[00:00:19.200 --> 00:00:25.200]  在這裡,我租金代表九龍城深圳會,恭祝各位新年平安、身體健康
[00:00:25.200 --> 00:00:29.700]  祝各位新年上有尚書而來的豐盛和平安
[00:00:29.700 --> 00:00:33.700]  在新年一年我們除了互相縮渴之外
[00:00:33.700 --> 00:00:40.700]  若果能夠立志更順的話,越充滿我們的心就好得無比了
[00:00:40.700 --> 00:00:47.700]  在新年的時候,相信大家的家庭,或者很多商場、店鋪都掛滿了西春
[00:00:47.700 --> 00:00:49.700]  一定會包括福祉的
[00:00:49.700 --> 00:00:53.700]  我都有這張福祉,這張福祉是前向中央
[00:00:53.700 --> 00:00:59.700]  我寫了福祉西春的悟道,由頂智慧所寫的,也很開心地分享
[00:00:59.700 --> 00:01:04.700]  我就選擇了這張福祉,令我非常高興、很欣賞
[00:01:04.700 --> 00:01:11.700]  我也希望在祈禱裡,讓世界的人都能夠認識到這個德路同行的祈福
[00:01:11.700 --> 00:01:18.700]  而我們以基督為主的信徒,也知道新正的新年祈禱是不虔誠的
[00:01:18.700 --> 00:01:24.700]  所以我們需要更加繼續學習,盡心地敬畏上主
[00:01:24.700 --> 00:01:30.700]  而臣也會按照祂的信心,免許祈福祈禱,依靠祈禱
[00:01:30.700 --> 00:01:35.700]  敬畏上主是教會2024到26年的主題
[00:01:35.700 --> 00:01:38.700]  梁牧師與我們職業馬拉基先生
[00:01:38.700 --> 00:01:41.700]  與我們思想組織工作,敬畏上主子民
[00:01:41.700 --> 00:01:48.700]  也會讓我們看到,原來敬畏上主有很多方面,我們需要去進行學習
[00:01:48.700 --> 00:01:50.700]  下星期就是第四講
[00:01:50.700 --> 00:01:54.700]  就好像節日賽一樣,從今天開始,新年到7月底
[00:01:54.700 --> 00:01:59.700]  我們就會有14講關於敬畏上主的主題式講道
[00:01:59.700 --> 00:02:04.700]  同時,我們會在當中所選的課題,去詳細講解
[00:02:04.700 --> 00:02:11.700]  一到五講關於敬畏上主的福分,六到十三講關於敬畏上主的生活
[00:02:11.700 --> 00:02:16.700]  第十四講,七月底,重慶日之前,會有一個小小的總結
[00:02:16.700 --> 00:02:21.700]  希望我們第一次會從多個角度,以此願意
[00:02:21.700 --> 00:02:25.700]  讓我們成為更加合同心意的人
[00:02:25.700 --> 00:02:29.700]  當我們思想敬畏上主課題的時候
[00:02:29.700 --> 00:02:35.700]  在新年兩節的新年開始,讓我們一起讀新年九章十節
[00:02:35.700 --> 00:02:39.700]  以敬畏上主一章一書十節,來慶祝新年
[00:02:39.700 --> 00:02:42.700]  敬畏耶和華,是智慧的開端
[00:02:42.700 --> 00:02:46.700]  正式是正者,正是聰明之天
[00:02:46.700 --> 00:02:49.700]  敬畏耶和華,是智慧的開端
[00:02:49.700 --> 00:02:53.700]  凡遵行他命令,亦可領悟
[00:02:53.700 --> 00:02:56.700]  耶和華,是永遠多賺利息
[00:02:56.700 --> 00:02:59.700]  請大家繼續思想這章,讓我知道我情緒
[00:02:59.700 --> 00:03:04.700]  看到天地萬物的神,我們感謝你
