
[00:00:00.000 --> 00:00:02.000]  各位電影姐妹早晨
[00:00:02.000 --> 00:00:05.000]  繼續《小人物大使命》的系列
[00:00:05.000 --> 00:00:09.000]  罪惡世代中堅持走神道路的羅亞
[00:00:09.000 --> 00:00:12.000]  德國有一位偉大的文學家兼作家
[00:00:12.000 --> 00:00:16.000]  有人說他是哲學家和思想家 叫戈德
[00:00:16.000 --> 00:00:19.000]  生活在十八至十九世紀的年代
[00:00:19.000 --> 00:00:22.000]  當時的社會正值大變革
[00:00:22.000 --> 00:00:25.000]  封建制度日益衰落
[00:00:25.000 --> 00:00:28.000]  革命的力量不斷高漲
[00:00:28.000 --> 00:00:31.000]  他對一個人在這些大時代裏
[00:00:31.000 --> 00:00:34.000]  如何走自己的道路作出一個宣告
[00:00:34.000 --> 00:00:39.000]  他說每個人都應該堅持走他為自己開闢的道路
[00:00:39.000 --> 00:00:41.000]  不被權威所嚇倒
[00:00:41.000 --> 00:00:44.000]  不受時興的觀點所牽制
[00:00:44.000 --> 00:00:47.000]  不被時尚所迷惑
[00:00:47.000 --> 00:00:53.000]  我相信這番說話都會成為我們今天的提醒
[00:00:53.000 --> 00:00:56.000]  一個人要堅持走自己的道路
[00:00:56.000 --> 00:01:00.000]  在過程裏要抵禦三種外在的干擾
[00:01:00.000 --> 00:01:04.000]  一是有權威的力量阻嚇著你
[00:01:04.000 --> 00:01:06.000]  第二是有些人要走的道路
[00:01:06.000 --> 00:01:11.000]  會跟時興的觀點不太符合
[00:01:11.000 --> 00:01:13.000]  所以不要受牽連
[00:01:13.000 --> 00:01:15.000]  第三是一些流行的時尚的東西
[00:01:15.000 --> 00:01:17.000]  會吸引很多人的目光
[00:01:17.000 --> 00:01:19.000]  會叫人的目光轉移
[00:01:19.000 --> 00:01:23.000]  要小心看著自己應該要走的道路
[00:01:23.000 --> 00:01:27.000]  明顯地我們今天的社會都處於一個大變革的時期
[00:01:27.000 --> 00:01:29.000]  仍有很多的動盪
[00:01:29.000 --> 00:01:31.000]  作為基督徒的我們
[00:01:31.000 --> 00:01:35.000]  如何走上帝要我們走的道路呢
[00:01:35.000 --> 00:01:38.000]  哥德的宗告對我們有很大的提醒和啟發
[00:01:38.000 --> 00:01:40.000]  我今天要介紹的羅亞
[00:01:40.000 --> 00:01:46.000]  他不是用說話來忠告他世代的人
[00:01:46.000 --> 00:01:51.000]  而是他自己用他生命來做一個示範
[00:01:51.000 --> 00:01:53.000]  告訴他世代的人
[00:01:53.000 --> 00:01:55.000]  也告訴後世代的人
[00:01:55.000 --> 00:01:59.000]  如何在這個罪惡之中堅持走上帝要他們走的道路
[00:01:59.000 --> 00:02:01.000]  六將九者是很熟悉的
[00:02:01.000 --> 00:02:02.000]  羅亞是一個異人
[00:02:02.000 --> 00:02:04.000]  在當時的世代是一個源泉人
[00:02:04.000 --> 00:02:06.000]  他與上帝同行
[00:02:06.000 --> 00:02:11.000]  我盼望在今天這個時刻
[00:02:11.000 --> 00:02:14.000]  用這個訊息來勉勵弟兄姊妹
[00:02:14.000 --> 00:02:15.000]  我盼望我們的弟兄姊妹
[00:02:15.000 --> 00:02:18.000]  在這個動盪又充滿罪惡的世代裏
[00:02:18.000 --> 00:02:21.000]  我們不單不同流合污
[00:02:21.000 --> 00:02:23.000]  也不灰心不失望
[00:02:23.000 --> 00:02:25.000]  他能夠像羅亞一樣
[00:02:25.000 --> 00:02:28.000]  培養一個異人的生命質素
[00:02:28.000 --> 00:02:30.000]  抵抗洪流
[00:02:30.000 --> 00:02:34.000]  堅持走上帝要我們走的道路
[00:02:34.000 --> 00:02:37.000]  我分兩部分來跟弟兄姊妹分享
[00:02:37.000 --> 00:02:39.000]  第一
[00:02:39.000 --> 00:02:45.000]  羅亞處身在一個充滿罪惡的世代裏
[00:02:45.000 --> 00:02:49.000]  我們明白羅亞處身在一個充滿罪惡的世代裏
[00:02:49.000 --> 00:02:52.000]  頭兩節的經文告訴我們
[00:02:52.000 --> 00:02:55.000]  當人在世上多起來又生女兒的時候
[00:02:55.000 --> 00:02:57.000]  神的兒子們看見人的女子美貌
[00:02:57.000 --> 00:03:00.000]  就隨意挑選取來為妻
[00:03:00.000 --> 00:03:02.000]  讀到這兩節我們就很疑惑
[00:03:02.000 --> 00:03:05.000]  究竟是不是羅亞的時代才生女兒呢?
[00:03:05.000 --> 00:03:07.000]  但你只要揭前一點看聖經
[00:03:07.000 --> 00:03:08.000]  就會知道不是
[00:03:08.000 --> 00:03:10.000]  在羅亞的時代才生女兒
[00:03:10.000 --> 00:03:12.000]  不然他們的後代是怎樣來的呢?
[00:03:12.000 --> 00:03:16.000]  一直都在說生兒養女
[00:03:16.000 --> 00:03:18.000]  而這裏又令人很困惑的
[00:03:18.000 --> 00:03:20.000]  就是神的兒子們和人的女子們
[00:03:20.000 --> 00:03:23.000]  究竟神的兒子們是代表什麼呢?
[00:03:23.000 --> 00:03:24.000]  一般有四個解釋
[00:03:24.000 --> 00:03:26.000]  第一是天使
[00:03:26.000 --> 00:03:27.000]  第二是質特的後裔
[00:03:27.000 --> 00:03:29.000]  第三是皇室貴就
[00:03:29.000 --> 00:03:31.000]  第四是一般的男人
[00:03:31.000 --> 00:03:35.000]  為什麼會選擇天使呢?
[00:03:35.000 --> 00:03:37.000]  如果神的兒子是代表天使的時候
[00:03:37.000 --> 00:03:38.000]  他都會化身成人
[00:03:38.000 --> 00:03:40.000]  然後跟人的女子結合
[00:03:40.000 --> 00:03:42.000]  那就不太正確了
[00:03:42.000 --> 00:03:44.000]  第二是質特的後裔
[00:03:44.000 --> 00:03:47.000]  質特的後裔是代表敬虔的後裔
[00:03:47.000 --> 00:03:51.000]  敬虔的後裔和人的女子是代表什麼呢?
[00:03:51.000 --> 00:03:52.000]  就是該隱的後裔
