
[00:00:00.000 --> 00:00:03.500]  各位弟兄姐妹,早安!
[00:00:03.500 --> 00:00:08.000]  讓我們再一次很高興的說耶穌今天復活了!
[00:00:08.000 --> 00:00:11.500]  Hallelujah!是的!
[00:00:11.500 --> 00:00:18.500]  今天呢,要跟各位來分享復活後的訊息
[00:00:18.500 --> 00:00:22.500]  What's happening after resurrection?
[00:00:22.500 --> 00:00:25.500]  我們知道有許多的事情發生了
[00:00:25.500 --> 00:00:30.500]  今天我就要來跟各位說一下
[00:00:30.500 --> 00:00:36.500]  那麼我會稍微再講一下上禮拜的受難週
[00:00:36.500 --> 00:00:39.000]  一直到昨天
[00:00:39.000 --> 00:00:43.500]  還有我們今天要講耶穌為什麼要復活
[00:00:43.500 --> 00:00:45.500]  有的時候我想
[00:00:45.500 --> 00:00:50.000]  其實祂去到城裡邊就好了
[00:00:50.000 --> 00:00:52.000]  祂為什麼要復活?
[00:00:52.000 --> 00:00:55.000]  祂為什麼還要待在地上呢?
[00:00:55.000 --> 00:00:59.500]  甚至於如吳獻章博士、牧師說的
[00:00:59.500 --> 00:01:04.500]  耶穌你為什麼要來?
[00:01:04.500 --> 00:01:07.500]  另外我要跟各位講就是
[00:01:07.500 --> 00:01:12.500]  耶穌來就是為了救贖傳承祂的宣告
[00:01:12.500 --> 00:01:14.500]  祂交代大使命
[00:01:14.500 --> 00:01:16.500]  祂培訓門徒
[00:01:16.500 --> 00:01:19.500]  祂行了許多神蹟
[00:01:19.500 --> 00:01:25.500]  而耶穌為什麼復活後40天才復活3天?
[00:01:25.500 --> 00:01:30.500]  最後我們要結論講清明節跟復活節
[00:01:30.500 --> 00:01:32.500]  有什麼不一樣?
[00:01:32.500 --> 00:01:33.500]  好不好?
[00:01:33.500 --> 00:01:35.500]  讓我們低頭打個阿爸呼我們感謝你
[00:01:35.500 --> 00:01:37.500]  我們讚美你
[00:01:37.500 --> 00:01:40.500]  你是又真又活的神
[00:01:40.500 --> 00:01:42.500]  我們來了你的面前
[00:01:42.500 --> 00:01:44.500]  我們說謝謝你
[00:01:44.500 --> 00:01:51.500]  真的我們完完全全的不知道我們在做什麼
[00:01:51.500 --> 00:01:55.500]  但是我們知道你在做什麼
[00:01:55.500 --> 00:01:57.500]  哈雷路亞再一次說謝謝你
[00:01:57.500 --> 00:02:00.500]  願你今天在我們中間
[00:02:00.500 --> 00:02:04.500]  得到應得當得佩得的榮耀
[00:02:04.500 --> 00:02:05.500]  哈雷路亞
[00:02:05.500 --> 00:02:08.500]  這樣感謝禱告讚美
[00:02:08.500 --> 00:02:10.500]  是奉主耶穌基督的名
[00:02:10.500 --> 00:02:12.500]  阿們
[00:02:12.500 --> 00:02:15.500]  上個禮拜是壽難週
[00:02:15.500 --> 00:02:19.500]  我帶大家走過了一路
[00:02:19.500 --> 00:02:22.500]  耶穌在最後一個禮拜的情況
[00:02:22.500 --> 00:02:23.500]  當然了
[00:02:23.500 --> 00:02:27.500]  在主後33年的時候
[00:02:27.500 --> 00:02:29.500]  那一年的
[00:02:29.500 --> 00:02:32.500]  整個禮拜的壽難週跟今天
[00:02:32.500 --> 00:02:34.500]  跟今年不一樣
[00:02:34.500 --> 00:02:36.500]  我們今年是
[00:02:36.500 --> 00:02:39.500]  上個禮拜六是一月節
[00:02:39.500 --> 00:02:42.500]  然後禮拜天叫做中宿主日
[00:02:42.500 --> 00:02:44.500]  Palm Sunday
[00:02:44.500 --> 00:02:48.500]  那麼在耶穌那個時候
[00:02:48.500 --> 00:02:52.500]  中宿主日是在Palm Sunday上個禮拜天
[00:02:52.500 --> 00:02:54.500]  沒有錯
[00:02:54.500 --> 00:02:55.500]  各位
[00:02:55.500 --> 00:02:58.500]  百姓手拿什麼
[00:02:58.500 --> 00:03:01.500]  口唱
[00:03:01.500 --> 00:03:03.500]  夾道
[00:03:03.500 --> 00:03:06.500]  哈雷路亞給你自己一個嘉獎
[00:03:06.500 --> 00:03:07.500]  讚美神
[00:03:07.500 --> 00:03:10.500]  那是禮拜天的時候
[00:03:10.500 --> 00:03:12.500]  其實呢
[00:03:12.500 --> 00:03:14.500]  百姓呢
[00:03:14.500 --> 00:03:15.500]  大半不是說
[00:03:15.500 --> 00:03:18.500]  專程來歡迎耶穌的
[00:03:18.500 --> 00:03:21.500]  因為那天正好是Palm Sunday
[00:03:21.500 --> 00:03:25.500]  百姓來到耶路撒冷城呢
[00:03:25.500 --> 00:03:27.500]  來怎麼樣
[00:03:27.500 --> 00:03:30.500]  選購月節的羔羊
[00:03:30.500 --> 00:03:31.500]  另外
[00:03:31.500 --> 00:03:33.500]  說不定有人來訂飯店
[00:03:33.500 --> 00:03:35.500]  訂旅館等
