
[00:00:00.000 --> 00:00:04.800]  今天跟大家看「復活主向人顯現」
[00:00:04.800 --> 00:00:08.400]  我們仍然看《路加福音》的經文
[00:00:08.400 --> 00:00:11.720]  這是《路加福音》最後一章
[00:00:11.720 --> 00:00:14.400]  當然我們先跳到這裏看
[00:00:14.400 --> 00:00:15.440]  因為今天是復活節
[00:00:15.440 --> 00:00:20.960]  所以跟大家看「復活主向人顯現」
[00:00:20.960 --> 00:00:22.960]  耶穌基督復活之後
[00:00:22.960 --> 00:00:26.280]  總共在地上有多少天?
[00:00:26.280 --> 00:00:30.320]  四十天向不同的人顯現
[00:00:30.320 --> 00:00:34.480]  這就是很重要的耶穌的安排
[00:00:34.480 --> 00:00:37.400]  讓祂能夠向不同的人顯現
[00:00:37.400 --> 00:00:44.760]  顯出祂是從死裡得勝復活的主
[00:00:44.760 --> 00:00:46.080]  在《路加福音》的記載
[00:00:46.080 --> 00:00:49.920]  祂亦跟以往的記載一樣
[00:00:49.920 --> 00:00:53.120]  祂記載了很多人物、很多事蹟
[00:00:53.120 --> 00:00:56.200]  帶出了一些重要的目的和真理
[00:00:56.200 --> 00:00:58.160]  所以我們今天在復活節的早上
[00:00:58.160 --> 00:00:59.680]  我們一起思想一下
[00:00:59.680 --> 00:01:03.280]  主耶穌基督在復活之後
[00:01:03.280 --> 00:01:06.480]  向不同的人、門徒顯現
[00:01:06.480 --> 00:01:09.280]  特別帶出一些原因
[00:01:09.280 --> 00:01:13.400]  似乎交代了幾個很重要的
[00:01:13.400 --> 00:01:15.560]  祂復活的意義和真理
[00:01:15.560 --> 00:01:18.520]  還有幫助我們去明白這位復活主
[00:01:18.520 --> 00:01:20.200]  向我們期望
[00:01:20.200 --> 00:01:21.640]  所以我們今天來看看
[00:01:21.640 --> 00:01:25.280]  首先是天使所交代的原因
[00:01:25.280 --> 00:01:27.800]  為何主耶穌復活
[00:01:27.800 --> 00:01:31.200]  我們看看《路加福音》的二十四章
[00:01:31.200 --> 00:01:33.120]  由一到十二節
[00:01:33.120 --> 00:01:36.360]  好嗎?我們用啟英的方式
[00:01:36.360 --> 00:01:37.360]  我讀一句
[00:01:37.360 --> 00:01:38.160]  我讀一節
[00:01:38.160 --> 00:01:39.880]  弟兄姊妹讀一節
[00:01:39.880 --> 00:01:41.960]  我們讀完十二節的經文
[00:01:41.960 --> 00:01:43.920]  第一節,請聽我讀
[00:01:43.920 --> 00:01:45.480]  七日的頭一日
[00:01:45.480 --> 00:01:46.480]  黎明的時候
[00:01:46.480 --> 00:01:49.280]  那些婦女帶著所預備的香料
[00:01:49.280 --> 00:01:51.120]  來到墳墓前
[00:01:51.120 --> 00:01:55.400]  看見石頭已經從墳墓滾開了
[00:01:55.400 --> 00:01:56.760]  第二節,請你讀
[00:01:56.760 --> 00:02:01.440]  看見石頭已經從墳墓滾開了
[00:02:01.440 --> 00:02:02.560]  她們就進去
[00:02:02.560 --> 00:02:05.480]  只是不見主耶穌基督的身體
[00:02:05.480 --> 00:02:06.480]  第四節
[00:02:06.480 --> 00:02:09.080]  正在花園之間
