
[00:00:00.000 --> 00:00:05.920]  我們用一個祈禱來開始今天的訊息
[00:00:05.920 --> 00:00:08.960]  天父我們仰望你
[00:00:08.960 --> 00:00:13.440]  願意你將你的話語放在我們眾人的心裏面
[00:00:13.440 --> 00:00:17.680]  求聖靈也開啟我們的心
[00:00:17.680 --> 00:00:22.280]  賜給我們有聰明智慧來去領受
[00:00:22.280 --> 00:00:23.720]  多謝你聽我們的禱告
[00:00:23.720 --> 00:00:30.440]  用耶穌基督的聖名祈禱
[00:00:30.440 --> 00:00:37.640]  以利亞他和四百五十個巴力的先知鬥法
[00:00:37.640 --> 00:00:44.040]  是一場非常之凶險的決戰
[00:00:44.040 --> 00:00:45.480]  你說生死戰
[00:00:45.480 --> 00:00:50.680]  因為輸了那一方會沒命的
[00:00:50.680 --> 00:01:00.280]  以利亞他也叫了很多百姓一齊觀看這一次的決戰
[00:01:00.280 --> 00:01:02.680]  他究竟目的是什麼呢?
[00:01:02.680 --> 00:01:05.320]  叫了百姓來
[00:01:05.320 --> 00:01:10.360]  想百姓得到什麼訊息呢?
[00:01:10.360 --> 00:01:18.440]  是不是想百姓來看看降火的神蹟呢?
[00:01:18.440 --> 00:01:22.360]  也可以說是,但這不是最重要的訊息
[00:01:22.360 --> 00:01:27.480]  那是不是請百姓來看到求雨成功呢?
[00:01:27.480 --> 00:01:34.440]  三年半大旱,下雨就非常之好了
[00:01:34.440 --> 00:01:38.600]  但這也不是最重要的訊息
[00:01:38.600 --> 00:01:43.240]  那最重要的訊息是什麼呢?
[00:01:43.240 --> 00:01:47.080]  最重要的訊息是要藉著
[00:01:47.080 --> 00:01:51.560]  神在以利亞,透過以利亞去行兩個神蹟
[00:01:51.560 --> 00:01:55.160]  請百姓可以知道
[00:01:55.160 --> 00:02:02.600]  自始至終只有耶和華才是那位獨一真神
[00:02:02.600 --> 00:02:05.160]  他也想百姓知道
[00:02:05.160 --> 00:02:12.440]  是神在呼喚他們要回轉歸向神
[00:02:12.440 --> 00:02:17.720]  和要百姓知道神給機會人回轉悔改
[00:02:17.720 --> 00:02:24.600]  是表明神對人永不止息的慈愛
[00:02:24.600 --> 00:02:30.920]  讓人知道神的慈愛是永遠長存
[00:02:30.920 --> 00:02:36.520]  這是以利亞,或者說是神想百姓知道的
[00:02:36.520 --> 00:02:45.560]  透過神蹟騎士想人想起知道神的慈愛
