
[00:00:00.000 --> 00:00:03.120]  今日進到《江浦多前書》第十四章
[00:00:03.120 --> 00:00:09.520]  十四章本來用很長的篇幅處理如何處理謊言這個問題
[00:00:09.520 --> 00:00:13.120]  特別對比先知講道的能力
[00:00:13.120 --> 00:00:18.160]  即是講一些預言或者用聖經講道神的權柄
[00:00:18.160 --> 00:00:22.200]  教導人的職責和謊言的對比
[00:00:22.200 --> 00:00:26.280]  因為《江浦多教會》是一個追求恩賜的教會
[00:00:26.280 --> 00:00:29.920]  大時追求的程度就成為比較
[00:00:29.920 --> 00:00:32.800]  成為為自己而追求的努力
[00:00:32.800 --> 00:00:34.480]  結果成為紛爭
[00:00:34.480 --> 00:00:41.200]  我不知道大家上星期這個性惡同樂日的感覺如何
[00:00:41.200 --> 00:00:44.800]  可能贏了會開心些 輸了會不開心
[00:00:44.800 --> 00:00:49.120]  我想當年設計的時候就說要大家唱詩去讚美神
[00:00:49.120 --> 00:00:52.760]  但可能實際上都是唱詩贏會開心些
[00:00:52.760 --> 00:00:54.760]  不贏就很不開心也不奇怪
[00:00:54.760 --> 00:00:57.880]  這是很實際人的情況
[00:00:57.880 --> 00:01:01.360]  當我們一個很淑靈的動作
[00:01:01.360 --> 00:01:05.200]  背後我們是用淑靈的心態
[00:01:05.200 --> 00:01:08.560]  還是去到一個競爭或者為自己的心態呢?
[00:01:08.560 --> 00:01:11.280]  其中一個題目今天經文講到謊言
[00:01:11.280 --> 00:01:15.120]  近代很多靈因派討論的問題裏面
[00:01:15.120 --> 00:01:16.960]  保羅提醒我們
[00:01:16.960 --> 00:01:20.000]  有更重要的恩賜去追求
[00:01:20.000 --> 00:01:22.520]  就是那些造就教會的恩賜
[00:01:22.520 --> 00:01:24.560]  如果這些能夠幫到人的
[00:01:24.560 --> 00:01:26.400]  建立教會的那些恩賜
[00:01:26.400 --> 00:01:28.000]  我們應該有更多的追求
[00:01:28.000 --> 00:01:29.160]  我們看今天經文
[00:01:29.160 --> 00:01:32.600]  在過不多前書第十四章一到第五節
[00:01:32.600 --> 00:01:35.600]  我們一起讀完這五節經文好嗎?
[00:01:35.600 --> 00:01:40.320]  「你們要追求愛也要羡慕屬靈的恩賜
[00:01:40.320 --> 00:01:44.720]  其中更要羡慕的是作仙之講道
[00:01:44.720 --> 00:01:49.560]  那說謊言的原不是對人說乃是對神說
[00:01:49.560 --> 00:01:51.640]  因為沒有人聽出來
[00:01:51.640 --> 00:01:57.200]  然而他在心裏情慮卻是說她講說作樣的暴斃
[00:01:57.200 --> 00:02:00.720]  但作仙之講道的是對人說
[00:02:00.720 --> 00:02:03.600]  要造就安慰血冕人
[00:02:03.600 --> 00:02:06.720]  說謊言的是造就自己
[00:02:06.720 --> 00:02:10.640]  作仙之講道的乃是造就教會
[00:02:10.640 --> 00:02:13.320]  我願意你們都說謊言
[00:02:13.320 --> 00:02:16.040]  更願意你們作仙之講道
[00:02:16.040 --> 00:02:19.320]  因為說謊言的若不翻出來
[00:02:19.320 --> 00:02:22.920]  使教會被造就那作仙之講道的
[00:02:22.920 --> 00:02:25.080]  就比它更強了」
[00:02:25.080 --> 00:02:30.680]  很明顯保羅將說謊言和仙之講道作一個對比
[00:02:30.680 --> 00:02:31.600]  其中一個對比
[00:02:31.600 --> 00:02:35.440]  保羅說一個為何仙之講道更重要呢?
[00:02:35.440 --> 00:02:38.120]  因為說仙之講道是人們不能夠明白的
[00:02:38.120 --> 00:02:40.720]  能夠造就安慰和血冕人
[00:02:40.720 --> 00:02:43.720]  所以聖經裏面講到我們有各種人生的追求
[00:02:43.720 --> 00:02:47.000]  特別在教會裏面追求不同的恩賜的時候
