
[00:00:00.000 --> 00:00:01.080]  頂智媒午安
[00:00:01.080 --> 00:00:05.480]  先給你們看一幅油畫
[00:00:05.480 --> 00:00:07.960]  可能未必認得
[00:00:07.960 --> 00:00:11.240]  不過畫這幅畫的人
[00:00:11.240 --> 00:00:13.480]  你應該聽過他的名字
[00:00:13.480 --> 00:00:14.800]  達文西
[00:00:14.800 --> 00:00:16.600]  好了
[00:00:16.600 --> 00:00:21.000]  你看看這幅油畫的主角
[00:00:21.000 --> 00:00:22.720]  他的右手
[00:00:22.720 --> 00:00:25.000]  兩隻手指扣住了
[00:00:25.000 --> 00:00:27.440]  好像十字架一樣
[00:00:27.440 --> 00:00:29.360]  左邊那裡
[00:00:29.880 --> 00:00:31.040]  就沒那麼清晰
[00:00:31.040 --> 00:00:33.200]  他拿著一個
[00:00:33.200 --> 00:00:36.760]  好像透明的球體
[00:00:36.760 --> 00:00:41.280]  那個交叉的手勢是代表十字架
[00:00:41.280 --> 00:00:43.640]  而那個球體
[00:00:43.640 --> 00:00:45.960]  其實是在說
[00:00:45.960 --> 00:00:49.200]  他掌管著天地的一切
[00:00:49.200 --> 00:00:51.560]  如果是這樣的話
[00:00:51.560 --> 00:00:53.760]  那你就猜一下
[00:00:53.760 --> 00:00:56.080]  究竟這個主角是誰
[00:00:56.080 --> 00:00:58.040]  耶穌
[00:00:58.040 --> 00:00:58.800]  是的沒錯
[00:00:59.040 --> 00:01:01.400]  這幅畫有個名字
[00:01:01.400 --> 00:01:04.520]  他叫做Savatory Mundi
[00:01:04.520 --> 00:01:05.800]  即是
[00:01:05.800 --> 00:01:08.400]  Savior of the World
[00:01:08.400 --> 00:01:10.440]  救世主的意思
[00:01:10.440 --> 00:01:14.040]  為什麼我要介紹這幅畫
[00:01:14.040 --> 00:01:16.640]  原因是因為
[00:01:16.640 --> 00:01:21.320]  跟一個叫做羅伯特的一個人有關係
[00:01:21.320 --> 00:01:25.360]  這個人是一個美國的藝術歷史學家
[00:01:25.360 --> 00:01:26.640]  也是一個收藏家
[00:01:27.440 --> 00:01:30.400]  他在2005年的時候
[00:01:30.400 --> 00:01:32.640]  他就看中了這幅畫
[00:01:32.640 --> 00:01:36.680]  他覺得應該是差不多500年前
[00:01:36.680 --> 00:01:39.600]  即是1500年的時候
[00:01:39.600 --> 00:01:40.600]  1500年
[00:01:40.600 --> 00:01:44.400]  達文西畫的真跡
[00:01:44.400 --> 00:01:49.720]  所以他就用了少過一萬美金買回來
[00:01:49.720 --> 00:01:53.720]  這個樣子就是他買回來之後
[00:01:53.720 --> 00:01:55.000]  就拍了一幅黑白相
[00:01:56.360 --> 00:02:00.560]  因為過了幾百年
[00:02:00.560 --> 00:02:03.160]  又有很多不同的人
[00:02:03.160 --> 00:02:05.960]  就將這幅畫修修補補
[00:02:05.960 --> 00:02:11.120]  修補的人很明顯水準是很參差的
[00:02:11.120 --> 00:02:14.520]  每個人都加一些顏彩上去
[00:02:14.520 --> 00:02:16.280]  搞到這幅畫
[00:02:16.280 --> 00:02:21.120]  就好像變成了一個很差勁的複製品一樣
[00:02:21.120 --> 00:02:25.800]  不過他仍然深信這幅是達文西的真跡
[00:02:26.440 --> 00:02:27.360]  那他怎樣做呢
