
[00:00:00.000 --> 00:00:03.000]  今天要講的這一部份是講
[00:00:03.000 --> 00:00:07.300]  在馬太福音第七章七至十一節裏面所講到的
[00:00:07.300 --> 00:00:08.900]  關於祈禱的
[00:00:08.900 --> 00:00:14.000]  主耶穌說要祈求尋找
[00:00:14.000 --> 00:00:15.100]  叩門
[00:00:15.100 --> 00:00:18.800]  祈求尋找叩門
[00:00:18.800 --> 00:00:23.500]  意思是指要不斷尋求
[00:00:23.500 --> 00:00:24.700]  這樣的意思
[00:00:24.700 --> 00:00:29.200]  我想問大家 你試過
[00:00:30.000 --> 00:00:32.000]  有一種經驗就是
[00:00:32.000 --> 00:00:34.000]  你不斷去尋找
[00:00:34.000 --> 00:00:36.000]  終於被你找到
[00:00:36.000 --> 00:00:38.500]  你試過這一種經歷了嗎
[00:00:38.500 --> 00:00:41.000]  當你試過的時候 我相信你都會
[00:00:41.000 --> 00:00:44.000]  還有這個感覺 就是你會很興奮
[00:00:44.000 --> 00:00:47.000]  很開心 和很有安慰
[00:00:47.000 --> 00:00:52.000]  你們有沒有玩過
[00:00:52.000 --> 00:00:56.000]  在公園或者某一些地方 多數都是郊外
[00:00:56.000 --> 00:00:59.000]  尋彈遊戲 或者尋寶遊戲
[00:01:01.000 --> 00:01:05.000]  大人小朋友都很喜歡玩這個遊戲
[00:01:05.000 --> 00:01:10.000]  因為大家都會很享受
[00:01:10.000 --> 00:01:15.000]  在當你尋到寶 尋到彈的時候
[00:01:15.000 --> 00:01:19.000]  那一刻 那種興奮 開心
[00:01:19.000 --> 00:01:25.000]  這個感覺是很令人 你會再繼續去玩的
[00:01:29.000 --> 00:01:32.000]  我自己也有一個
[00:01:32.000 --> 00:01:35.000]  其實我有很多這方面的經歷
[00:01:35.000 --> 00:01:38.000]  說一個很早期的
[00:01:38.000 --> 00:01:40.000]  在當年好像
[00:01:40.000 --> 00:01:43.000]  做學生的年紀
[00:01:43.000 --> 00:01:45.000]  我在英國讀書的時候
[00:01:45.000 --> 00:01:47.000]  有一年是需要去找
[00:01:47.000 --> 00:01:49.000]  我希望能夠找到一個
[00:01:49.000 --> 00:01:52.000]  一間房 想租一個房
[00:01:52.000 --> 00:01:54.000]  是很近學校的
[00:01:54.000 --> 00:01:56.000]  可以走路上學
[00:01:56.000 --> 00:01:59.000]  三五分鐘 最多七分鐘
[00:01:59.000 --> 00:02:01.000]  兩條街道
[00:02:01.000 --> 00:02:04.000]  是不是很理想 能夠找到一間房
[00:02:04.000 --> 00:02:06.000]  而且是便宜的
[00:02:06.000 --> 00:02:08.000]  在學校租學校的宿舍
[00:02:08.000 --> 00:02:10.000]  是大約
[00:02:10.000 --> 00:02:13.000]  那時候來算是十四五英鎊
[00:02:13.000 --> 00:02:15.000]  一個星期
[00:02:15.000 --> 00:02:17.000]  出去租房 如果好運
[00:02:17.000 --> 00:02:21.000]  你會租到一間是七英鎊就可以了
[00:02:21.000 --> 00:02:25.000]  我在開學之前一個星期左右
[00:02:25.000 --> 00:02:27.000]  我就坐車
[00:02:27.000 --> 00:02:29.000]  差不多要坐一個小時車
[00:02:29.000 --> 00:02:32.000]  去到學校的旁邊
[00:02:32.000 --> 00:02:34.000]  真的很感恩
[00:02:34.000 --> 00:02:36.000]  其實我也不太知道方向
