
[00:00:00.000 --> 00:00:02.000]  各位電影節目好
[00:00:02.000 --> 00:00:06.000]  我想先給大家看幾張圖片
[00:00:06.000 --> 00:00:08.000]  跟我們這段經文有關
[00:00:08.000 --> 00:00:16.000]  我們剛才主席艾芬蒂卿跟我們讀到
[00:00:16.000 --> 00:00:24.000]  希臘王最後去到凱撒尼亞的地方
[00:00:24.000 --> 00:00:28.000]  是羅馬一些很重要的城市
[00:00:28.000 --> 00:00:32.000]  大都會是羅馬人在那區的首都
[00:00:32.000 --> 00:00:36.000]  那時我跟一班電影節目去到以色列
[00:00:36.000 --> 00:00:38.000]  去到凱撒尼亞那裡
[00:00:38.000 --> 00:00:40.000]  特意拍了這些照片
[00:00:40.000 --> 00:00:42.000]  希望大家會看到
[00:00:42.000 --> 00:00:44.000]  有機會可以跟大家分享
[00:00:44.000 --> 00:00:50.000]  我們知道凱撒尼亞這個地方在地中海沿岸
[00:00:50.000 --> 00:00:52.000]  所以你會看到一些海
[00:00:52.000 --> 00:00:56.000]  而這裡就看到一個劇院
[00:00:56.000 --> 00:00:58.000]  就是剛才我們所形容的
[00:00:58.000 --> 00:01:08.000]  希臘王接見那些巨神在推羅西頓
[00:01:08.000 --> 00:01:10.000]  這就是一個在上古看下去
[00:01:10.000 --> 00:01:12.000]  特別我想跟大家留意
[00:01:12.000 --> 00:01:14.000]  如果在早上的日子
[00:01:14.000 --> 00:01:16.000]  早上的時候
[00:01:16.000 --> 00:01:18.000]  應該是經文裡說的那些時間
[00:01:18.000 --> 00:01:22.000]  應該是早上根據史料的記載
[00:01:22.000 --> 00:01:26.000]  剛剛太陽射到那裡
[00:01:26.000 --> 00:01:28.000]  剛剛那裡舞台
[00:01:28.000 --> 00:01:30.000]  有些鐵枝
[00:01:30.000 --> 00:01:32.000]  我特意想留意它會反光
[00:01:32.000 --> 00:01:34.000]  當時希臘王穿著的衣服
[00:01:34.000 --> 00:01:38.000]  閃閃的有這些根據
[00:01:38.000 --> 00:01:40.000]  我們第二張
[00:01:40.000 --> 00:01:42.000]  這裡是在台上看上去
[00:01:42.000 --> 00:01:44.000]  繼續
[00:01:44.000 --> 00:01:46.000]  謝謝
