
[00:00:00.000 --> 00:00:07.400]  我們會繼續在成都委內領袖
[00:00:07.400 --> 00:00:09.440]  一個比較特別的
[00:00:09.440 --> 00:00:12.160]  就是我們在過去的一年
[00:00:12.160 --> 00:00:15.800]  就是開始我們從來講過的系列
[00:00:15.800 --> 00:00:18.840]  我們有時是在敬畏上主
[00:00:18.840 --> 00:00:21.680]  現在就是這個敬畏上主的系列
[00:00:21.680 --> 00:00:23.800]  暫時都很現代了
[00:00:23.800 --> 00:00:25.560]  有很多東西要講的
[00:00:25.560 --> 00:00:27.800]  我們這次的敬畏上主系列
[00:00:27.800 --> 00:00:31.160]  應該是一個斷檔的階段
[00:00:31.160 --> 00:00:34.200]  一個開車屋的另一個系列
[00:00:34.200 --> 00:00:37.880]  作為講道的主題
[00:00:37.880 --> 00:00:40.680]  今天我要做一個稍為的總結
[00:00:40.680 --> 00:00:43.400]  我就選了《全道書》的十二章
[00:00:43.400 --> 00:00:45.480]  八部十四節
[00:00:45.480 --> 00:00:48.480]  因為敬畏上主很適合作為一個
[00:00:48.480 --> 00:00:52.880]  敬畏上主要讓我們一起去領袖的訊息
[00:00:52.880 --> 00:00:55.680]  所以這次我們也會再一次
[00:00:55.680 --> 00:00:58.120]  正確的《全道書》十二章
[00:00:58.120 --> 00:01:00.040]  八部十四節
[00:01:00.040 --> 00:01:03.240]  讓我們能夠在一切的動向當中
[00:01:03.240 --> 00:01:07.000]  獲得一定百分之十二
[00:01:07.000 --> 00:01:07.960]  如果大家看到的話
[00:01:07.960 --> 00:01:08.800]  我們這次的聚會
[00:01:08.800 --> 00:01:10.880]  我們一起來續讀給你們聖經
[00:01:10.880 --> 00:01:12.360]  「離棄」
[00:01:12.360 --> 00:01:13.920]  「全道之船」
[00:01:13.920 --> 00:01:15.680]  「虛雄令虛雄」
[00:01:15.680 --> 00:01:18.160]  「大事無事虛雄」
[00:01:18.160 --> 00:01:19.920]  「長者無全道者」
[00:01:19.920 --> 00:01:21.600]  「人舊是鬼」
[00:01:21.600 --> 00:01:22.880]  「形象是色」
[00:01:22.880 --> 00:01:24.520]  「教訓中人」
[00:01:24.520 --> 00:01:26.960]  「留上舊校塵」
[00:01:26.960 --> 00:01:29.800]  「教訓中人」
[00:01:29.800 --> 00:01:34.160]  全部有一段真實和可戲劇的電影
[00:01:34.160 --> 00:01:38.360]  使人捐益寫的真實話
[00:01:38.360 --> 00:01:42.160]  只為人類的電影故障的思想
[00:01:42.160 --> 00:01:44.400]  會種植這些劇電影
[00:01:44.400 --> 00:01:47.160]  留著美麗的零字
[00:01:47.160 --> 00:01:50.280]  都市的國文寫上詩句
[00:01:50.280 --> 00:01:52.440]  可以環繞的塵
[00:01:52.440 --> 00:01:54.440]  天堂繞上圈街
[00:01:54.440 --> 00:01:57.320]  諸諸國有空盡
[00:01:57.320 --> 00:02:00.400]  讀取了上帝的意願
[00:02:00.400 --> 00:02:03.240]  這次我已聽見了
[00:02:03.240 --> 00:02:05.760]  眾議員作詩的規則
[00:02:05.760 --> 00:02:08.000]  跟著馬力解釋
[00:02:08.000 --> 00:02:11.120]  這些原來所講的真並無法
[00:02:11.120 --> 00:02:13.400]  因為人所做的事
[00:02:13.400 --> 00:02:15.680]  連在人所做的事
[00:02:15.680 --> 00:02:17.960]  無論是善是惡
[00:02:17.960 --> 00:02:20.640]  甚多的意思從來
[00:02:22.000 --> 00:02:23.960]  這段經文
[00:02:23.960 --> 00:02:26.160]  很清楚的說明
[00:02:26.160 --> 00:02:28.200]  在通中
[00:02:28.200 --> 00:02:30.720]  其實我們曾經傳授過
[00:02:30.720 --> 00:02:34.280]  眾議員作詩《敬畏十》
[00:02:34.280 --> 00:02:35.880]  我們在這裏有說到
[00:02:35.880 --> 00:02:38.560]  這段結束其實是很好的
[00:02:38.560 --> 00:02:42.400]  因為我們教會成長班
[00:02:42.400 --> 00:02:43.760]  剛開始
[00:02:43.760 --> 00:02:47.320]  產校的書卷就是全讀書
[00:02:47.320 --> 00:02:49.120]  有些少
[00:02:49.120 --> 00:02:53.120]  去到全讀書應該是產第2、3課
[00:02:53.120 --> 00:02:55.560]  就是讀了《成長班》
[00:02:55.560 --> 00:02:58.120]  我又聽到一個消息
[00:02:58.120 --> 00:03:00.840]  伴侶講述全讀書十二章
[00:03:00.840 --> 00:03:02.640]  他們都很認真
[00:03:02.640 --> 00:03:04.640]  同時有些小說
[00:03:04.640 --> 00:03:07.400]  看電視劇的劇透
[00:03:07.400 --> 00:03:11.240]  剛開始我們看大結局
[00:03:11.240 --> 00:03:14.080]  好像整個過程都知道
[00:03:14.080 --> 00:03:17.080]  但相信全讀書不是這麼簡單
[00:03:17.080 --> 00:03:21.080]  我們看完最後幾章就已經可以劇透
[00:03:21.080 --> 00:03:24.760]  相信我們可以在第2、3個成長班
[00:03:24.760 --> 00:03:26.960]  一起去查考成經
[00:03:26.960 --> 00:03:28.720]  因為這裏有個特別消息
[00:03:28.720 --> 00:03:31.080]  我們延續了兩季
[00:03:31.080 --> 00:03:32.080]  由7月到12月
[00:03:32.080 --> 00:03:33.600]  都是以全讀書作為
