
[00:00:00.000 --> 00:00:01.480]  各位英雄自媒主日平安
[00:00:01.480 --> 00:00:06.840]  今天是主日
[00:00:06.840 --> 00:00:09.600]  今天也是元旦
[00:00:09.600 --> 00:00:13.200]  所以當我們說元旦或者新年蒙恩
[00:00:13.200 --> 00:00:17.880]  新年喜樂的時候意味着什麼嗎
[00:00:17.880 --> 00:00:19.480]  元旦這個字
[00:00:19.480 --> 00:00:22.720]  元旦這兩個字其實就是表達一個全新的開始
[00:00:22.720 --> 00:00:24.320]  我想我們都是第一代華人
[00:00:24.320 --> 00:00:27.200]  元的意思就是起初的意思
[00:00:27.200 --> 00:00:28.760]  就是首先的意思
[00:00:28.760 --> 00:00:31.840]  旦呢 旦是一個時間表達時間的詞
[00:00:31.840 --> 00:00:32.720]  你知道嗎
[00:00:32.720 --> 00:00:36.600]  就是太陽剛剛從那個地平線升上去的時候
[00:00:36.600 --> 00:00:38.440]  那一刻叫做旦
[00:00:38.440 --> 00:00:41.920]  所以元旦就意味着一個全新的開始
[00:00:41.920 --> 00:00:44.520]  所以在這個世界上
[00:00:44.520 --> 00:00:47.680]  所有的人都盼望有一個除舊不新的時刻
[00:00:47.680 --> 00:00:50.520]  所有的人都盼望有一個全新的開始
[00:00:50.520 --> 00:00:53.040]  所有的人說舊的就讓它過去吧
[00:00:53.040 --> 00:00:54.880]  然後我們開始一個新的
[00:00:54.880 --> 00:00:57.760]  新的一年 新的一天 新的生活
[00:00:57.760 --> 00:01:00.240]  新的渴望 新的計劃
[00:01:00.240 --> 00:01:05.640]  各位 你是用這樣的一種心態來面對新的一年嗎
[00:01:05.640 --> 00:01:07.560]  其實也有很多人他不喜歡新年
[00:01:07.560 --> 00:01:08.480]  你知道嗎 爲什麼
[00:01:08.480 --> 00:01:11.680]  他們覺得新年就像催款單
[00:01:11.680 --> 00:01:14.080]  歲月催人老啊
[00:01:14.080 --> 00:01:15.120]  又老了一歲
[00:01:15.120 --> 00:01:17.560]  他們覺得新年就像信用卡
[00:01:17.560 --> 00:01:18.680]  早晚有一天
[00:01:18.680 --> 00:01:19.560]  我不知道哪一年
[00:01:19.560 --> 00:01:22.480]  但早晚有一天有一年就要刷爆了
[00:01:22.480 --> 00:01:31.640]  迪歐姊妹 如果我在座的或者是在YouTube前的
[00:01:31.640 --> 00:01:34.000]  你們還沒有信靠這位耶穌基督
[00:01:34.000 --> 00:01:37.680]  你裏邊還沒有一個新的生命
[00:01:37.680 --> 00:01:40.560]  我要用什麼來祝福新年呢
[00:01:40.560 --> 00:01:42.520]  套用一句俗話
[00:01:42.520 --> 00:01:45.840]  不是老人變壞了
[00:01:45.840 --> 00:01:47.280]  是壞人怎麼樣
[00:01:47.280 --> 00:01:48.720]  是壞人變老了
[00:01:48.720 --> 00:01:50.880]  罪人又長大了一歲
[00:01:50.880 --> 00:01:54.000]  罪人又老了一年
[00:01:54.000 --> 00:01:55.200]  有什麼祝福
[00:01:55.200 --> 00:01:56.760]  有什麼是新事
[00:01:56.760 --> 00:02:00.000]  日光之下沒有新事
[00:02:00.000 --> 00:02:02.120]  任憑他一年去一年來
[00:02:02.120 --> 00:02:03.800]  沒有什麼是全新的
[00:02:03.800 --> 00:02:09.800]  除非各位你領受了這樣一個歷久彌新的
[00:02:09.800 --> 00:02:11.160]  耶穌基督的福音
[00:02:11.160 --> 00:02:12.960]  阿門
[00:02:12.960 --> 00:02:14.560]  所以讓我們有一個禱告
[00:02:14.560 --> 00:02:16.320]  我們開始今天的講道
[00:02:16.320 --> 00:02:18.520]  追蘇式的我們來到你的面前
[00:02:18.520 --> 00:02:20.120]  我們把這個主日
[00:02:20.120 --> 00:02:23.960]  我們更是把這一年都仰望在你的面前
[00:02:23.960 --> 00:02:24.520]  主啊
[00:02:24.520 --> 00:02:25.920]  你是我們的生命的主
[00:02:25.920 --> 00:02:27.520]  你賜給我們新的生命
[00:02:27.520 --> 00:02:29.800]  你在我們的這個生命當中做王
[00:02:29.800 --> 00:02:31.920]  我們每一天都是新的
[00:02:31.920 --> 00:02:32.920]  主啊謝謝你
[00:02:32.920 --> 00:02:36.560]  主啊讓我們在這個古老的福音
[00:02:36.560 --> 00:02:39.160]  這個放之四海皆準的福音當中
[00:02:39.160 --> 00:02:41.480]  再次得到那新鮮的力量
[00:02:41.480 --> 00:02:42.840]  新鮮的盼望
[00:02:42.840 --> 00:02:43.680]  主謝謝你
[00:02:43.680 --> 00:02:45.040]  主啊祝福我們的主日
[00:02:45.040 --> 00:02:47.640]  與我們同在奉耶穌基督的名禱告
[00:02:47.640 --> 00:02:49.760]  阿門
[00:02:49.760 --> 00:02:52.280]  我們從今天開始呢
[00:02:52.280 --> 00:02:54.080]  我們整個教會的讀經計劃
[00:02:54.080 --> 00:02:57.040]  我們從昨天我們結束了騎士路
[00:02:57.040 --> 00:02:58.920]  今天開始了馬太福音
[00:02:58.920 --> 00:02:59.600]  所以呢
[00:02:59.600 --> 00:03:01.120]  我按照我們的計劃
[00:03:01.120 --> 00:03:05.200]  我們正好也是打開馬太福音的第一章
[00:03:05.200 --> 00:03:07.360]  第一章我們看到一個家譜
[00:03:07.360 --> 00:03:11.160]  各位這個家譜看似很無聊
[00:03:11.160 --> 00:03:13.520]  我曾經看過一部電影是2006年
[00:03:13.520 --> 00:03:16.400]  這個電影的名字叫做人類之子
[00:03:16.400 --> 00:03:17.160]  你知道
