
[00:00:00.000 --> 00:00:03.320]  大圍轉的第20章
[00:00:03.320 --> 00:00:07.760]  今日要講十五以下的十五章和第十六章
[00:00:07.760 --> 00:00:10.520]  又要重覆一下
[00:00:10.520 --> 00:00:12.120]  我講這麼多的系列
[00:00:12.120 --> 00:00:15.240]  其實都是希望陪大家來讀經
[00:00:15.240 --> 00:00:17.860]  如果你每天聽我一篇道
[00:00:17.860 --> 00:00:20.120]  有讀相關的經文的話
[00:00:20.120 --> 00:00:23.560]  你可以在兩年之內讀完整部聖經
[00:00:23.560 --> 00:00:25.960]  我知道我之前是講五年
[00:00:25.960 --> 00:00:27.960]  我是計錯數
[00:00:27.960 --> 00:00:29.960]  五年太久了
[00:00:29.960 --> 00:00:32.600]  如果你每天聽一篇道有讀經的話
[00:00:32.600 --> 00:00:35.400]  兩年之內你能讀完整部聖經
[00:00:35.400 --> 00:00:36.840]  絕對做得到
[00:00:36.840 --> 00:00:40.040]  你說我星期六星期日不想讀經
[00:00:40.040 --> 00:00:41.320]  不想聽道
[00:00:41.320 --> 00:00:42.320]  都可以
[00:00:42.320 --> 00:00:45.040]  你一個星期聽五篇道
[00:00:45.040 --> 00:00:46.040]  和讀經的話
[00:00:46.040 --> 00:00:48.040]  兩年半都能讀完
[00:00:48.040 --> 00:00:52.040]  都是一個不是很長的時間
[00:00:52.040 --> 00:00:54.040]  而且這樣讀經法
[00:00:54.040 --> 00:00:57.160]  不單止你能夠明白了解性
[00:00:57.160 --> 00:00:58.920]  你能夠就這樣讀聖經
[00:00:58.920 --> 00:01:01.200]  你是有很深入的了解
[00:01:01.200 --> 00:01:04.880]  能夠明白到
[00:01:04.880 --> 00:01:09.680]  聖經裡面所講的很多詳細的資料
[00:01:09.680 --> 00:01:13.760]  因為如果你聽完我每一篇道的介紹
[00:01:13.760 --> 00:01:15.480]  我每一個系列
[00:01:15.480 --> 00:01:17.880]  第一篇道的介紹的話
[00:01:17.880 --> 00:01:21.960]  你會學到有很多關於這本書的背景
[00:01:21.960 --> 00:01:23.720]  有很多不同的資料
[00:01:23.720 --> 00:01:26.640]  以致你能夠更加深入了解
[00:01:26.640 --> 00:01:28.640]  認識聖經
[00:01:28.640 --> 00:01:30.640]  今天我要講的就是
[00:01:30.640 --> 00:01:33.360]  撒姆爾夏的十五章十六章
[00:01:33.360 --> 00:01:36.160]  講到大衛因為他犯罪
[00:01:36.160 --> 00:01:38.160]  刀劍不離他的家
[00:01:38.160 --> 00:01:40.440]  他要逃命
[00:01:40.440 --> 00:01:43.560]  因為他自己的兒子鴨沙龍來追殺他
[00:01:43.560 --> 00:01:45.080]  他落難
[00:01:45.080 --> 00:01:47.080]  落難的時候怎樣
[00:01:47.080 --> 00:01:50.080]  他要面對人生的百態
[00:01:50.080 --> 00:01:53.720]  很多時候我們都會有不如意
[00:01:53.720 --> 00:01:56.760]  我們都有落難的時候
[00:01:56.760 --> 00:01:58.760]  當我們是這樣的情形
[00:01:58.760 --> 00:02:02.480]  我們又能夠在大衛的身上學到些什麼呢
[00:02:02.480 --> 00:02:04.480]  我們今天來看一看
[00:02:04.480 --> 00:02:06.240]  稍微回顧一下
[00:02:06.240 --> 00:02:10.400]  我們說鴨沙龍這個人是大衛第三個兒子
[00:02:10.400 --> 00:02:14.880]  他的身上留著有兩個皇室的血液
[00:02:14.880 --> 00:02:18.440]  當然他的父親是大衛
[00:02:18.440 --> 00:02:20.440]  以色列的皇朝
[00:02:20.440 --> 00:02:24.080]  但是他的母親是瑪加公主
[00:02:24.080 --> 00:02:28.760]  瑪加公主是基述國達邁王的女兒
[00:02:28.760 --> 00:02:31.880]  所以他的身上有兩個皇室的血液
[00:02:31.880 --> 00:02:33.880]  這也可能是原因
[00:02:33.880 --> 00:02:37.640]  為什麼鴨沙龍這麼希望做皇
[00:02:37.640 --> 00:02:39.640]  成為皇帝
[00:02:39.640 --> 00:02:42.960]  他的確得到人民的擁護
[00:02:42.960 --> 00:02:45.480]  但是他的人品一般般
[00:02:45.480 --> 00:02:49.400]  他雖然有很好的外貌
[00:02:49.400 --> 00:02:53.400]  但是他的內心不是一個很好的人
[00:02:53.400 --> 00:02:57.400]  鴨沙龍也是非常有耐性
[00:02:57.400 --> 00:03:01.680]  他等了兩年才去謀殺暗亂
[00:03:01.680 --> 00:03:03.680]  替他的妹妹報仇
[00:03:03.680 --> 00:03:07.280]  他等了四年才公開反叛大衛
[00:03:07.280 --> 00:03:09.280]  奪取大衛的皇位
[00:03:09.280 --> 00:03:12.560]  他這個人老謀深算
[00:03:12.560 --> 00:03:14.560]  很有耐性
[00:03:14.560 --> 00:03:18.160]  而且他有高超的手段
[00:03:18.160 --> 00:03:21.960]  來贏得人民的支持
[00:03:21.960 --> 00:03:26.120]  大衛是怎樣贏得人民的支持
[00:03:26.120 --> 00:03:29.840]  透過對人民的關心
[00:03:29.840 --> 00:03:31.840]  透過自己犧牲
[00:03:31.840 --> 00:03:34.520]  來得到人民的心
[00:03:34.520 --> 00:03:38.320]  但是鴨沙龍是用很簡單的方法
[00:03:38.320 --> 00:03:41.080]  為自己製造形象
[00:03:41.080 --> 00:03:46.240]  製造形象對我們美國人很熟悉
[00:03:46.240 --> 00:03:48.240]  四年一次的大選
[00:03:48.240 --> 00:03:50.960]  那些總統的候選人會怎樣
