
[00:00:00.000 --> 00:00:03.420]  歡迎大家來到我們的周路崇拜
[00:00:03.420 --> 00:00:07.680]  六個月前我們開始了一個新的講道系列
[00:00:07.680 --> 00:00:09.420]  《馬太福音》第六章
[00:00:09.420 --> 00:00:13.700]  耶穌在登山裏面的主禱文
[00:00:13.700 --> 00:00:17.820]  我們問主禱文是一個怎樣的禱告
[00:00:17.820 --> 00:00:23.780]  答案是它是一個「傳善你的」三合一的禱告
[00:00:23.780 --> 00:00:26.200]  我們在天上的父
[00:00:26.200 --> 00:00:28.980]  願人都尊你的名為聖
[00:00:28.980 --> 00:00:30.500]  願你的國降臨
[00:00:30.500 --> 00:00:32.880]  願你的旨意含在地上
[00:00:32.880 --> 00:00:35.240]  如同含在天上
[00:00:35.240 --> 00:00:37.180]  我們祈求的是
[00:00:37.180 --> 00:00:41.420]  你的名、你的國、你的旨意
[00:00:41.420 --> 00:00:44.780]  傳善你的一個禱告
[00:00:44.780 --> 00:00:46.420]  不過主禱文還未完
[00:00:46.420 --> 00:00:48.320]  當你繼續讀下去的時候
[00:00:48.320 --> 00:00:50.320]  你發現主禱文
[00:00:50.320 --> 00:00:53.980]  不再是一個「All about you」的禱告
[00:00:53.980 --> 00:00:58.800]  而是一個「All of us for all of you」的祈禱
[00:00:58.800 --> 00:01:00.520]  「所有的我們」
[00:01:00.520 --> 00:01:05.000]  傾倒給「所有的你」的一個禱告
[00:01:05.000 --> 00:01:06.840]  於是我們讀下去的時候是
[00:01:06.840 --> 00:01:09.240]  「我們每日的飲食
[00:01:09.240 --> 00:01:12.600]  今日似給我們免我們的債
[00:01:12.600 --> 00:01:14.840]  如同我們免了人的債
[00:01:14.840 --> 00:01:17.960]  不叫我們陷入試探
[00:01:17.960 --> 00:01:19.940]  救我們脫離空惡」
[00:01:19.940 --> 00:01:25.100]  由「你」開始轉型到「我們」
[00:01:25.100 --> 00:01:26.480]  經過六個月的努力
[00:01:26.480 --> 00:01:29.700]  我們終於來到主禱文的最後一句
[00:01:29.700 --> 00:01:32.900]  「不叫我們陷入試探
[00:01:32.900 --> 00:01:36.860]  救我們脫離瓦割者」
[00:01:36.860 --> 00:01:38.680]  如果你早兩個星期有留意
[00:01:38.680 --> 00:01:40.040]  或者你還記得
[00:01:40.040 --> 00:01:42.500]  一個更好的翻譯應該是這樣
[00:01:42.500 --> 00:01:47.360]  「不叫我們強入試探
[00:01:47.360 --> 00:01:50.280]  就像我們從前的主人一般
[00:01:50.280 --> 00:01:53.520]  拉我們進入那個強入試探
[00:01:53.520 --> 00:01:56.680]  救我們脫離瓦割者」
[00:01:56.680 --> 00:01:58.920]  簡單來說耶穌的意思是
[00:01:58.920 --> 00:02:00.800]  要我們祈求天父
[00:02:00.800 --> 00:02:06.120]  救我們脫離撒旦的試探
[00:02:06.120 --> 00:02:09.280]  耶穌要我們祈求的高峰
[00:02:09.280 --> 00:02:12.080]  是叫我們求上帝
[00:02:12.080 --> 00:02:16.280]  使我們脫離撒旦的試探
[00:02:16.280 --> 00:02:18.600]  當你聚精會神去禱告
[00:02:18.600 --> 00:02:22.120]  一個這麼迫切的禱告的時候
[00:02:22.120 --> 00:02:24.160]  「不叫我們強入試探
[00:02:24.160 --> 00:02:25.680]  不叫我們陷入試探
[00:02:25.680 --> 00:02:27.960]  救我們脫離瓦割者」
[00:02:27.960 --> 00:02:33.080]  當你聚精會神去這樣切切的禱告的時候
[00:02:33.080 --> 00:02:36.360]  我不知道有甚麼圖畫
[00:02:36.360 --> 00:02:39.800]  會進入了你的腦海裏面
[00:02:39.800 --> 00:02:44.200]  這個禮拜當我想到這一句的禱文的時候
[00:02:44.200 --> 00:02:49.120]  有兩幅從阿富汗傳來的圖畫
[00:02:49.120 --> 00:02:53.240]  在我腦袋裏面不斷的出現
[00:02:53.240 --> 00:02:55.960]  我相信大家都很熟悉這兩個圖畫
[00:02:55.960 --> 00:03:00.480]  一個是美軍的救援機
[00:03:00.480 --> 00:03:06.400]  可以承載的容量平時是134個人
[00:03:06.400 --> 00:03:10.440]  但那天被所有的難民擠進去
[00:03:10.440 --> 00:03:12.440]  坐了六百多個人
[00:03:12.440 --> 00:03:15.800]  差不多有五倍的容量
[00:03:15.800 --> 00:03:19.840]  第二幅圖畫是還有很多人在外面進不去
[00:03:19.840 --> 00:03:22.800]  他們在門外扣門
[00:03:22.800 --> 00:03:29.600]  希望可以脫離阿富汗的險境
[00:03:29.600 --> 00:03:32.080]  「不叫我們陷入試探
[00:03:32.080 --> 00:03:36.360]  救我們脫離瓦割者」
[00:03:36.360 --> 00:03:42.080]  這兩幅圖畫正正代表了這個祈求
[00:03:42.080 --> 00:03:45.840]  有時我會想為甚麼我們教會不是這樣
[00:03:45.840 --> 00:03:49.640]  難道這些人不知道外面是甚麼形勢嗎
[00:03:49.640 --> 00:03:54.600]  難道他們不知道他們屬靈的危險有多嚴峻嗎
[00:03:54.600 --> 00:03:58.160]  教會應該好像這班機一樣
[00:03:58.160 --> 00:03:59.720]  塞滿了
[00:03:59.720 --> 00:04:02.520]  我們這裏應該是塞滿了
[00:04:02.520 --> 00:04:05.960]  不夠坐坐樓上再坐樓上再坐樓上
[00:04:05.960 --> 00:04:08.040]  坐到整棟大廈都塞滿了
[00:04:08.040 --> 00:04:13.920]  外面街道上還有很多很多的人等著要進來
[00:04:13.920 --> 00:04:14.600]  為甚麼呢
[00:04:14.600 --> 00:04:22.080]  因為他們的祈求是救我們脫離瓦割者的試探
[00:04:22.080 --> 00:04:27.640]  為甚麼我們坐得這麼鬆動
[00:04:27.640 --> 00:04:31.080]  為甚麼我們今天不是坐無虛席
[00:04:31.080 --> 00:04:33.600]  不是因為COVID的緣故
[00:04:33.600 --> 00:04:38.520]  是因為我們正在面對一個口甜舌滑
[00:04:38.520 --> 00:04:40.680]  專講大話的撒旦
[00:04:40.680 --> 00:04:47.280]  這個撒旦講的大話比塔利班厲害很多很多
[00:04:47.280 --> 00:04:52.960]  你可否想像如果在這個救援機裏面坐滿了這些人
[00:04:52.960 --> 00:04:58.800]  接著塔利班派幾個領袖來跟他說
[00:04:58.800 --> 00:05:01.280]  我們現在已經完全不同了
[00:05:01.280 --> 00:05:03.800]  經過了二十年的學習
[00:05:03.800 --> 00:05:07.320]  我們現在已經很進化我們已經很文明了
[00:05:07.320 --> 00:05:09.280]  你們不用走的
[00:05:09.280 --> 00:05:11.240]  繼續留在這裏
[00:05:11.240 --> 00:05:12.240]  我想問一下你
[00:05:12.240 --> 00:05:18.680]  如果塔利班的人走來這樣去邀請這些人下機
[00:05:18.680 --> 00:05:22.560]  他們的成功率高不高呢
[00:05:22.560 --> 00:05:28.000]  有多少人會跟著他們下機
[00:05:28.000 --> 00:05:30.320]  我相信是絕無僅有的
[00:05:30.320 --> 00:05:33.800]  因為大家都看得很清楚那個情況
[00:05:33.800 --> 00:05:36.200]  但是今天不是
[00:05:36.200 --> 00:05:39.640]  我們正在面對的這個說謊者
[00:05:39.640 --> 00:05:40.960]  他大話精
[00:05:40.960 --> 00:05:44.440]  他口甜舌滑到一個地步
[00:05:44.440 --> 00:05:47.240]  沒有人願意走進來教會
[00:05:47.240 --> 00:05:53.960]  沒有人看得見在外面有多大的危險
[00:05:53.960 --> 00:05:56.680]  甚麼是一個勝過試探的生命
[00:05:56.680 --> 00:05:58.160]  有沒有想過
[00:05:58.160 --> 00:06:00.640]  很多人一想都會想很多東西
[00:06:00.640 --> 00:06:03.400]  這個星期撒旦都會不斷攻擊我
[00:06:03.400 --> 00:06:05.240]  怎樣攻擊?頭痛
[00:06:05.240 --> 00:06:06.160]  腳痛
[00:06:06.160 --> 00:06:07.600]  跌倒
[00:06:07.600 --> 00:06:08.880]  搞笑
[00:06:08.880 --> 00:06:10.480]  不好
[00:06:10.480 --> 00:06:11.200]  見工
[00:06:11.200 --> 00:06:12.760]  不對
[00:06:12.760 --> 00:06:14.200]  這個叫撒旦的攻擊
[00:06:14.200 --> 00:06:16.000]  你完全搞錯了
[00:06:16.000 --> 00:06:19.480]  甚麼是一個勝過撒旦試探的人生
[00:06:19.480 --> 00:06:22.040]  第一上機
[00:06:22.040 --> 00:06:24.960]  你上機你就勝過了撒旦試探
