
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹,早安,聖誕快樂
[00:00:05.000 --> 00:00:10.000]  好,我們低頭一起祈禱
[00:00:10.000 --> 00:00:15.000]  親愛的天父,我們帶著滿心感恩來到你的面前
[00:00:15.000 --> 00:00:17.000]  因為你是很愛我們
[00:00:17.000 --> 00:00:22.000]  你樂意將各樣的恩惠厚賜給過我們
[00:00:22.000 --> 00:00:24.000]  叫我們享受不盡
[00:00:24.000 --> 00:00:26.000]  我們有機會信靠你
[00:00:26.000 --> 00:00:30.000]  成為你的兒女是何等大的福氣
[00:00:30.000 --> 00:00:33.000]  我們都稱為你名下的人
[00:00:33.000 --> 00:00:37.000]  是你所看顧你的恩典臨到我們
[00:00:37.000 --> 00:00:41.000]  在聖誕節,我們紀念你將主耶穌送給我們
[00:00:41.000 --> 00:00:45.000]  耶穌釘在十字架上,就是為了救贖我們
[00:00:45.000 --> 00:00:48.000]  以致我們能夠蒙恩得救
[00:00:48.000 --> 00:00:51.000]  天父,我們再次深深感謝你
[00:00:51.000 --> 00:00:56.000]  以份厚愛,愛我們這批罪人
[00:00:56.000 --> 00:01:00.000]  求你叫我們的生命,活出你豐盛的樣式
[00:01:00.000 --> 00:01:02.000]  歸榮耀給你
[00:01:02.000 --> 00:01:06.000]  聽我們的祈禱,奉耶穌基督的名求
[00:01:06.000 --> 00:01:07.000]  阿們
[00:01:07.000 --> 00:01:13.000]  今天很想和大家分享一個題目
[00:01:13.000 --> 00:01:16.000]  就是神的禮物
[00:01:18.000 --> 00:01:22.000]  我不知道你昨晚的平安夜過得好不好呢
[00:01:22.000 --> 00:01:25.000]  這裡有個招牌寫著
[00:01:25.000 --> 00:01:30.000]  非常平安夜,時髦聖誕節
[00:01:30.000 --> 00:01:34.000]  昨晚已經過了,你平不平安呢
[00:01:34.000 --> 00:01:37.000]  那肯定平安,要不然你來不到這裡
[00:01:37.000 --> 00:01:42.000]  可能被個酒醉鬼打了一下,進了院也說不定
[00:01:42.000 --> 00:01:47.000]  或者那些人喝完紅酒還開車,交通失事
[00:01:47.000 --> 00:01:51.000]  所以平安夜要非常平安
[00:01:51.000 --> 00:01:54.000]  聖誕節,我就不知道你時不時髦
