
[00:00:00.000 --> 00:00:02.440]  我們聽到之前,我們就禱告一下
[00:00:02.440 --> 00:00:05.440]  天父,我們真是願意的,來將我們的心歸給你
[00:00:05.440 --> 00:00:08.440]  再多謝你去呼召我們,去揀選我們
[00:00:08.440 --> 00:00:11.840]  讓我們能夠真是在你的天國裡面有份
[00:00:11.840 --> 00:00:14.840]  也能夠真是和你一齊的,去同工
[00:00:14.840 --> 00:00:16.240]  讓我們有機會侍奉你
[00:00:16.240 --> 00:00:18.640]  再一求你對我們的心講說話,幫助我們
[00:00:18.640 --> 00:00:20.840]  都為了我們未來的報道會
[00:00:20.840 --> 00:00:23.640]  再一求你親自的,大大的,來到臨在
[00:00:23.640 --> 00:00:26.440]  讓醫治的油膏,要去湧流
[00:00:26.440 --> 00:00:28.440]  讓不單止身體要得到醫治
[00:00:28.440 --> 00:00:31.040]  讓人的心,能夠得到醫治
[00:00:31.040 --> 00:00:33.040]  更加讓我們的靈,能夠真是
[00:00:33.040 --> 00:00:35.040]  去得到這個拯救
[00:00:35.040 --> 00:00:37.040]  讓我們都同樣可以認識你
[00:00:37.040 --> 00:00:39.040]  聽我們禱告,奉靠,主耶穌,基督的名
[00:00:39.040 --> 00:00:41.040]  阿門
[00:00:41.040 --> 00:00:43.040]  今天講到的題目,就叫做
[00:00:43.040 --> 00:00:45.040]  為誰辛苦,為誰忙
[00:00:45.040 --> 00:00:47.040]  那為甚麼會想起這件事呢?
[00:00:47.040 --> 00:00:50.040]  就因為他們追我,師母你講甚麼呢?
[00:00:50.040 --> 00:00:53.040]  哇!真是2024年,是很忙
[00:00:53.040 --> 00:00:56.040]  忙到有少少覺得應付不暇的感覺
[00:00:56.040 --> 00:00:58.040]  丁姐妹,你們忙不忙?
[00:00:58.040 --> 00:01:00.040]  是嗎?都忙嗎?
[00:01:00.040 --> 00:01:02.040]  都忙是嗎?見到很多人都點頭
[00:01:02.040 --> 00:01:04.040]  事實上香港人忙
[00:01:04.040 --> 00:01:06.040]  我相信都應該出名
[00:01:06.040 --> 00:01:08.040]  即是沒甚麼地方,好似我們
[00:01:08.040 --> 00:01:10.040]  在這麼小的地方,那裏面
[00:01:10.040 --> 00:01:12.040]  那些人的狀況那麼繁忙
[00:01:12.040 --> 00:01:14.040]  看回網上的一些報導的時候
[00:01:14.040 --> 00:01:16.040]  我們見到香港不單止是成人忙
[00:01:16.040 --> 00:01:18.040]  原來我們的小朋友都很忙
[00:01:18.040 --> 00:01:20.040]  在訪問那裏面
[00:01:20.040 --> 00:01:22.040]  發覺有半數的幼稚園
[00:01:22.040 --> 00:01:24.040]  至初小的小朋友
[00:01:24.040 --> 00:01:26.040]  其實他們參加的活動
[00:01:26.040 --> 00:01:28.040]  起碼都有兩項或以上
[00:01:28.040 --> 00:01:30.040]  那幼稚園階段那麼小的那些
[00:01:30.040 --> 00:01:32.040]  即是五項或以上都到八個巴仙
[00:01:32.040 --> 00:01:34.040]  那都頗厲害的
[00:01:34.040 --> 00:01:36.040]  難怪有時很多時候見到小朋友都鬧彆扭
[00:01:36.040 --> 00:01:38.040]  鬧彆扭的原因是因為媽媽真的很累
[00:01:38.040 --> 00:01:40.040]  大家明不明白?很睏
