
[00:00:00.000 --> 00:00:02.960]  各位弟兄姊妹,平安啊!
[00:00:02.960 --> 00:00:06.000]  不知不覺已經六月第一個主日了
[00:00:06.000 --> 00:00:09.020]  今年已經過了一半
[00:00:09.020 --> 00:00:12.000]  而本主日也象徵了一個新的開始
[00:00:12.000 --> 00:00:15.000]  而本主日也象徵了一個新的開始
[00:00:15.000 --> 00:00:18.000]  而本主日也象徵了一個新的開始
[00:00:18.000 --> 00:00:21.000]  因為從本主日一直到九月、十月
[00:00:21.000 --> 00:00:24.000]  教會都會宣講一個講道的系列
[00:00:24.000 --> 00:00:27.000]  教會都會宣講一個講道的系列
[00:00:27.000 --> 00:00:30.000]  教會將會宣講一個講道系列是保羅生平
[00:00:30.000 --> 00:00:33.000]  教會將會宣講一個講道系列是保羅生平
[00:00:33.000 --> 00:00:36.000]  我們會一起去看保羅的一生
[00:00:36.000 --> 00:00:39.000]  不同階段的各種事情
[00:00:39.000 --> 00:00:42.000]  我們會一起去看保羅人生不同階段的事情
[00:00:42.000 --> 00:00:45.000]  我們會一起去看保羅人生不同階段的事情
[00:00:45.000 --> 00:00:48.000]  然而我們並不是想把保羅
[00:00:48.000 --> 00:00:51.000]  簡單看成為一個宣教士
[00:00:51.000 --> 00:00:54.000]  但我們不想將保羅單單看成一個宣教士
[00:00:54.000 --> 00:00:57.000]  然而我們不想將保羅單單看成一個宣教士
[00:00:57.000 --> 00:01:00.000]  然而我們不想將保羅單單看成一個宣教士
[00:01:00.000 --> 00:01:03.000]  然而我們不想將保羅單單看成一個宣教士
[00:01:03.000 --> 00:01:06.000]  然而我們不想將保羅單單看成一個宣教士
[00:01:06.000 --> 00:01:09.000]  我們也不但想將保羅看成一個教師
[00:01:09.000 --> 00:01:12.000]  去學習他道德的教導
[00:01:12.000 --> 00:01:15.000]  其實我們很想將保羅看成為一個人
[00:01:15.000 --> 00:01:18.000]  其實我們很想將保羅看成為一個人
[00:01:18.000 --> 00:01:21.000]  以認識一個人的角度
[00:01:21.000 --> 00:01:24.000]  去看看保羅的一生如何跟隨神
[00:01:24.000 --> 00:01:27.000]  去看看保羅的一生如何跟隨神
[00:01:27.000 --> 00:01:30.000]  用認識一個人的角度去看保羅一生如何跟隨神
[00:01:30.000 --> 00:01:33.000]  神又如何看待他
[00:01:33.000 --> 00:01:36.000]  神又如何去看待他
[00:01:36.000 --> 00:01:39.000]  正正當保羅透過跟隨神經歷神的時候
[00:01:39.000 --> 00:01:42.000]  其實保羅發掘到他的人生
[00:01:42.000 --> 00:01:45.000]  正是在保羅跟隨神經歷神的時候
[00:01:45.000 --> 00:01:48.000]  他發掘出自己的人生
[00:01:48.000 --> 00:01:51.000]  他發掘出他的人生的價值
[00:01:51.000 --> 00:01:54.000]  他的身份和目的
[00:01:54.000 --> 00:01:57.000]  他發掘出他的人生價值
[00:01:57.000 --> 00:02:00.000]  他的身份還有他的目的
[00:02:00.000 --> 00:02:03.000]  或者大家都聽過
[00:02:03.000 --> 00:02:06.000]  我們的神對每一個人都有神的心意
[00:02:06.000 --> 00:02:09.000]  或者大家都聽過神對每一個人都有神的心意
[00:02:09.000 --> 00:02:12.000]  不知道我們在座知不知道
[00:02:12.000 --> 00:02:15.000]  神對我們有什麼心意
[00:02:15.000 --> 00:02:18.000]  需要我們去追隨
[00:02:18.000 --> 00:02:21.000]  不知道在座的每一位知不知道神對我們的心意
[00:02:21.000 --> 00:02:24.000]  我們需要去追隨
[00:02:24.000 --> 00:02:27.000]  但是我們看到人生不同的階段
[00:02:27.000 --> 00:02:30.000]  其實我們本身都會有不同的追求
[00:02:30.000 --> 00:02:33.000]  我們知道在人生的不同階段
[00:02:33.000 --> 00:02:36.000]  我們都有不同的追求
[00:02:36.000 --> 00:02:39.000]  我做了一些資料搜集
