
[00:00:00.000 --> 00:00:02.000]  (主席)各位大眾師傅,平安!
[00:00:02.000 --> 00:00:05.000]  今天是大年初二,想在此跟大家拜個年
[00:00:05.000 --> 00:00:09.000]  恭祝大家新年快樂,身體健康,新年紅褔
[00:00:09.000 --> 00:00:15.000]  我今早還聽到一個祝福,就是「百毒不侵」
[00:00:15.000 --> 00:00:21.000]  感謝神,今天可以跟大家分享神的話語
[00:00:21.000 --> 00:00:25.000]  今天正道的題目就是「萬象更生」
[00:00:25.000 --> 00:00:29.000]  這句話在新年節日中經常聽到
[00:00:29.000 --> 00:00:33.000]  因為希望新的一年有新的景象
[00:00:33.000 --> 00:00:35.000]  但是新的景象從何而來呢?
[00:00:35.000 --> 00:00:38.000]  是否周圍市民的改變
[00:00:38.000 --> 00:00:42.000]  還是我們改變了如何看待周圍的市民
[00:00:42.000 --> 00:00:46.000]  很多時候我想都是我們周圍市民沒有改變
[00:00:46.000 --> 00:00:50.000]  而是我們有了新的思維去看待周圍的事
[00:00:50.000 --> 00:00:53.000]  因為今天是中國的新年
[00:00:53.000 --> 00:00:59.000]  我想用我們的國寶,熊貓,跟大家舉個例
[00:00:59.000 --> 00:01:02.000]  可以先去片
[00:01:02.000 --> 00:01:06.000]  這隻熊貓有趣嗎?
[00:01:06.000 --> 00:01:10.000]  有誰想抱牠?
[00:01:10.000 --> 00:01:13.000]  我自己非常想抱牠
[00:01:13.000 --> 00:01:19.000]  不單是中國人,全世界的人都很喜歡熊貓
[00:01:19.000 --> 00:01:27.000]  世上沒有一件人做的事比得上熊貓這麼可愛
[00:01:27.000 --> 00:01:32.000]  有沒有想過為何我們會覺得熊貓這麼可愛呢?
[00:01:32.000 --> 00:01:36.000]  對我來說是因為創造熊貓的神很愛我們
[00:01:36.000 --> 00:01:40.000]  就做了熊貓告訴我們他很愛我們
[00:01:40.000 --> 00:01:49.000]  好像一個爸爸媽媽買了自己兒女很喜歡的禮物回家
[00:01:49.000 --> 00:01:56.000]  為甚麼?就是想兒女知道爸爸媽媽愛他們
