
[00:00:00.000 --> 00:00:03.000]  各位來賓主內的弟兄姊妹平安
[00:00:03.000 --> 00:00:06.000]  感謝主於我們今天再傳著歡喜快樂的心
[00:00:06.000 --> 00:00:09.000]  來到網上繼續聆聽神的話語
[00:00:09.000 --> 00:00:13.000]  我們今天會繼續從哥倫多前書15章35節
[00:00:13.000 --> 00:00:18.000]  繼續看「愛在愛主教會」這個主題
[00:00:18.000 --> 00:00:21.000]  過去一個星期裏面
[00:00:21.000 --> 00:00:23.000]  我們都留意到新聞
[00:00:23.000 --> 00:00:28.000]  明州、明蘇達州的疫情再次升級
[00:00:28.000 --> 00:00:31.000]  見到多了人確診
[00:00:31.000 --> 00:00:36.000]  又有州長報告之後
[00:00:36.000 --> 00:00:39.000]  學校逐一關門
[00:00:39.000 --> 00:00:45.000]  完全用網上形式上課
[00:00:45.000 --> 00:00:49.000]  與此同時我們都見到一些希望
[00:00:49.000 --> 00:00:52.000]  在醫療科學研究當中
[00:00:52.000 --> 00:01:00.000]  發現疫苗的效果都有一些鼓舞
[00:01:00.000 --> 00:01:06.000]  這個眨眼的我們又過了七、八個月
[00:01:06.000 --> 00:01:08.000]  從3月到現在都接近八個月
[00:01:08.000 --> 00:01:11.000]  我們都有種疲倦感
[00:01:11.000 --> 00:01:14.000]  開始在網上聚會
[00:01:14.000 --> 00:01:19.000]  開始無論是一些開會也好
[00:01:19.000 --> 00:01:21.000]  任何一些網上聚會也好
[00:01:21.000 --> 00:01:23.000]  開始有種疲倦的心態
[00:01:23.000 --> 00:01:28.000]  往往這種疫情
[00:01:28.000 --> 00:01:32.000]  我們經常問究竟還要等多久呢?
[00:01:32.000 --> 00:01:37.000]  我們還要等多久才可以回復以前的情況呢?
[00:01:37.000 --> 00:01:42.000]  無論是社會、家庭和工作上各樣的情況
[00:01:42.000 --> 00:01:44.000]  能否恢復原狀呢?
[00:01:44.000 --> 00:01:47.000]  往往都會打擊我們愛主的信心
[00:01:47.000 --> 00:01:51.000]  引導我們有情緒不安的情況出現
[00:01:51.000 --> 00:01:54.000]  其實在哥倫多教會的時候
[00:01:54.000 --> 00:01:58.000]  保羅在十五章證明了死人會復活
[00:01:58.000 --> 00:02:00.000]  這個死人復活
[00:02:00.000 --> 00:02:02.000]  首先是主耶穌基督復活
[00:02:02.000 --> 00:02:04.000]  都帶給我們一個盼望
[00:02:04.000 --> 00:02:06.000]  這個盼望是怎樣的呢?
[00:02:06.000 --> 00:02:08.000]  既然我們知道主耶穌復活
[00:02:08.000 --> 00:02:10.000]  我們在疫情當中
[00:02:10.000 --> 00:02:13.000]  基督徒怎樣可以繼續跟隨主呢?
[00:02:13.000 --> 00:02:19.000]  我們今天會從十五章三十五節至三五十八節
[00:02:19.000 --> 00:02:20.000]  去看這個問題
[00:02:20.000 --> 00:02:22.000]  我們一起低頭祈禱
[00:02:22.000 --> 00:02:26.000]  愛的主耶穌基督,我們感謝祢
[00:02:26.000 --> 00:02:31.000]  我們感謝祢帶給我們復活的盼望
[00:02:31.000 --> 00:02:33.000]  求祢繼續幫助我們
[00:02:33.000 --> 00:02:36.000]  幫助我們從聖經的話語當中
[00:02:36.000 --> 00:02:41.000]  能夠清楚明白到復活帶給我們的訊息是什麼
[00:02:41.000 --> 00:02:44.000]  我求祢繼續帶領我們以下的時間
[00:02:44.000 --> 00:02:46.000]  能夠安靜我們的心
[00:02:46.000 --> 00:02:50.000]  能夠將以下的時間恭敬地交上給祢
[00:02:50.000 --> 00:02:52.000]  求聖靈引導我們
