
[00:00:00.000 --> 00:00:05.000]  很高興能夠有這個機會第三個禮拜一字的主日
[00:00:05.000 --> 00:00:13.000]  也是為各位來傳講關於人生、婚姻、家庭、事業、健康、兒女方面的信息
[00:00:13.000 --> 00:00:19.000]  如果我記得我們第一次的時候我們是講說
[00:00:19.000 --> 00:00:24.000]  求神指教我們如何數算我們的日子
[00:00:24.000 --> 00:00:27.000]  那是從詩篇第九詩篇說的
[00:00:27.000 --> 00:00:30.000]  求你指教我們怎樣數算自己的日子
[00:00:30.000 --> 00:00:33.000]  好教我們得著智慧的心
[00:00:33.000 --> 00:00:35.000]  我還特別強調
[00:00:35.000 --> 00:00:39.000]  我們的人生如果是很安安穩穩持之平平的話
[00:00:39.000 --> 00:00:40.000]  就是一
[00:00:40.000 --> 00:00:46.000]  幾年累月十年一乘一乘十次還是一
[00:00:46.000 --> 00:00:49.000]  如果我們有一個積極進取的人生
[00:00:49.000 --> 00:00:52.000]  我們多加把勁一點一
[00:00:52.000 --> 00:00:56.000]  你乘上十次的話是二點八五
[00:00:56.000 --> 00:00:58.000]  但是如果我們帶多一點的話
[00:00:58.000 --> 00:01:02.000]  只有零點九就少那麼一點點的時候
[00:01:02.000 --> 00:01:06.000]  零點九乘上十次就只有零點三一了
[00:01:06.000 --> 00:01:11.000]  所以二點八五零點三一就相差天壤之別了
[00:01:11.000 --> 00:01:17.000]  所以讓我們再一次求神指教我們如何數算我們的日子
[00:01:17.000 --> 00:01:21.000]  我第二次我講的是交友擇偶
[00:01:21.000 --> 00:01:28.000]  我們是希望我們的婚姻我們的配偶我們的配對是郎才女貌
[00:01:28.000 --> 00:01:29.000]  不是嗎
[00:01:29.000 --> 00:01:33.000]  但是常常結果是豺狼虎豹
[00:01:33.000 --> 00:01:37.000]  所以我們就要注意到我們怎麼樣選擇我們的配偶
[00:01:37.000 --> 00:01:41.000]  真的是求神給我們聰明智慧
[00:01:41.000 --> 00:01:46.000]  第三次我講說要有一個和神執意的人生
[00:01:46.000 --> 00:01:49.000]  我們的人生要怎麼樣才和神執意呢
[00:01:49.000 --> 00:01:52.000]  其實經上說的也非常的好
[00:01:52.000 --> 00:01:55.000]  要常常喜樂不住地禱告凡事謝恩
[00:01:55.000 --> 00:01:56.000]  為什麼
[00:01:56.000 --> 00:02:00.000]  因為這是神在基督耶穌裡面向你們所定的旨意
[00:02:00.000 --> 00:02:02.000]  所以這是和神執意的
[00:02:02.000 --> 00:02:08.000]  Rejoice always, pray unceasingly, give thanks to everything
[00:02:08.000 --> 00:02:11.000]  為所有的事情要感恩
[00:02:11.000 --> 00:02:13.000]  好的也要感恩不好的也要感恩
[00:02:13.000 --> 00:02:19.000]  這就是今天我們先行唱的要常常喜樂不住地禱告凡事的謝恩
[00:02:19.000 --> 00:02:24.000]  要克服我們的心態像月亮初一十五不一樣
[00:02:24.000 --> 00:02:30.000]  要克服我們的態度好像我們的天氣一樣
[00:02:30.000 --> 00:02:32.000]  晴時多雲偶陣雨
[00:02:32.000 --> 00:02:35.000]  要讓我們再一次能夠活出一個
[00:02:35.000 --> 00:02:40.000]  就是我跟著第四次講的要戰勝我們生命中的巨人
