
[00:00:00.000 --> 00:00:02.600]  我的講道是講謊言背後
[00:00:02.600 --> 00:00:04.600]  因為我看過她的故事
[00:00:04.600 --> 00:00:07.100]  聽故事就正如她說
[00:00:07.100 --> 00:00:09.400]  為家人說一個謊話
[00:00:09.400 --> 00:00:13.400]  換來的後果是沒有想過
[00:00:13.400 --> 00:00:15.100]  當然剛才弟兄講得很好
[00:00:15.100 --> 00:00:17.600]  很多人想 哎呀 真是冤枉了
[00:00:17.600 --> 00:00:21.600]  但原來在上帝的眼中
[00:00:21.600 --> 00:00:22.700]  都不是冤枉
[00:00:22.700 --> 00:00:25.600]  因為上帝正正要幫助Rosen
[00:00:25.600 --> 00:00:27.300]  面對的是她自己
[00:00:27.300 --> 00:00:29.500]  所以今天我的訊息
[00:00:29.500 --> 00:00:34.300]  很想帶大家從Rosen她講一個謊言的背後
[00:00:34.300 --> 00:00:38.600]  再認識一下我們教信仰的特質
[00:00:38.600 --> 00:00:41.800]  第一 我很想跟弟兄姊妹分享
[00:00:41.800 --> 00:00:46.700]  耶穌的死是為了代替人承擔罪的刑罰
[00:00:46.700 --> 00:00:48.400]  這是第一個特質
[00:00:48.400 --> 00:00:48.900]  為什麼呢?
[00:00:48.900 --> 00:00:50.700]  在Rosen身上你會看到
[00:00:50.700 --> 00:00:52.600]  她是為家人說謊話
[00:00:52.600 --> 00:00:54.400]  雖然剛才中間那段我走了出去
[00:00:54.400 --> 00:00:55.700]  但我看過她的見證
[00:00:55.700 --> 00:00:58.500]  就是為哥哥
[00:00:58.500 --> 00:01:02.800]  為哥哥去承擔哥哥的錯
[00:01:02.800 --> 00:01:07.700]  某種程度我們叫做「頂包」
[00:01:07.700 --> 00:01:09.400]  在法例來說
[00:01:09.400 --> 00:01:13.400]  防衛司法公正不輕的罪名
[00:01:13.400 --> 00:01:19.500]  這個頂包讓Rosen成為代罪羔羊
[00:01:19.500 --> 00:01:23.700]  聖經羅馬書第五章第六節至第八節
[00:01:23.700 --> 00:01:27.100]  其實都是在講耶穌為我們頂包
[00:01:27.100 --> 00:01:28.500]  在我們還軟弱的時候
[00:01:28.500 --> 00:01:32.300]  基督就按定的日期為罪人死
[00:01:32.300 --> 00:01:34.700]  為二人死是少有的
[00:01:34.700 --> 00:01:37.800]  為人人死或者有敢做的
[00:01:37.800 --> 00:01:41.700]  唯有基督在我們還做罪人的時候為我們死
[00:01:41.700 --> 00:01:46.200]  神經哀就在此向我們顯明
[00:01:46.200 --> 00:01:49.400]  在Rosen身上你看到她怎樣愛家人
[00:01:49.400 --> 00:01:51.300]  她哥哥很內疚
[00:01:51.300 --> 00:01:54.700]  但Rosen說她沒有後悔
[00:01:54.700 --> 00:01:58.500]  或者應該這樣說
[00:01:58.500 --> 00:02:01.500]  她沒有生哥哥的氣
[00:02:01.500 --> 00:02:06.800]  耶穌基督在我們還做罪人的時候為我們死
[00:02:06.800 --> 00:02:08.600]  都是因為愛
[00:02:08.600 --> 00:02:10.600]  不過耶穌和Rosen有什麼不同呢?
[00:02:10.600 --> 00:02:13.100]  當然不同 耶穌是神
[00:02:13.100 --> 00:02:16.700]  耶穌沒有說謊話
[00:02:16.700 --> 00:02:23.600]  耶穌也沒有依靠自己的才幹才智來犯錯
[00:02:23.600 --> 00:02:26.400]  但是Rosen想著自己很聰明
[00:02:26.400 --> 00:02:30.500]  她用這個方法去幫助哥哥脫身
[00:02:30.500 --> 00:02:33.700]  或者令自己也脫身
[00:02:33.700 --> 00:02:36.700]  耶穌是按天父的計劃來到這個世界
[00:02:36.700 --> 00:02:39.200]  祂關懷弱小 醫治貧窮人
[00:02:39.200 --> 00:02:41.900]  最後為人釘在十字架上
[00:02:41.900 --> 00:02:44.900]  這是我們信仰其中一個很重要的地方
[00:02:44.900 --> 00:02:51.400]  第二 耶穌的死是為人帶來了和好的關係
[00:02:51.400 --> 00:02:53.600]  剛才聽Rosen的分享
[00:02:53.600 --> 00:02:57.600]  我們知道她為家人付上沉重的代價
[00:02:57.600 --> 00:03:02.100]  25年的牢獄
[00:03:02.100 --> 00:03:05.100]  不是25天 不是25個月
[00:03:05.100 --> 00:03:09.300]  當然很感恩的是她可以提早獲釋
[00:03:09.300 --> 00:03:11.800]  最後加起來好像是18年多
[00:03:11.800 --> 00:03:13.600]  扣上假期
[00:03:13.600 --> 00:03:18.600]  13年多 都十幾年
[00:03:18.600 --> 00:03:21.000]  換來的是什麼呢?
[00:03:21.000 --> 00:03:23.600]  法官不會覺得她偉大
[00:03:23.600 --> 00:03:26.900]  只是妨礙司法公正
[00:03:26.900 --> 00:03:31.300]  一定要受這種的牢獄之苦
[00:03:31.300 --> 00:03:33.800]  耶穌說為人死
[00:03:33.800 --> 00:03:35.400]  不是祂自己選擇的方法
[00:03:35.400 --> 00:03:36.900]  在聖經記載
[00:03:36.900 --> 00:03:41.100]  是上帝按著祂的應許
[00:03:41.100 --> 00:03:42.100]  為什麼呢?
[00:03:42.100 --> 00:03:43.400]  我們每一個都是罪人
[00:03:43.400 --> 00:03:45.800]  我們沒有辦法自己救自己
[00:03:45.800 --> 00:03:46.800]  其實好像Rosen一樣
[00:03:46.800 --> 00:03:48.100]  她想著自己可以救哥哥
[00:03:48.100 --> 00:03:51.400]  其實沒有辦法可以救
[00:03:51.400 --> 00:03:53.000]  耶穌本來是上帝
[00:03:53.000 --> 00:03:55.800]  祂被差遣來到這個世界
[00:03:55.800 --> 00:03:57.100]  祂被差遣來到這個世界
[00:03:57.100 --> 00:03:58.700]  祂一定要待死
