
[00:00:00.000 --> 00:00:07.000]  在過去的日子 可能大家聽過這個用語
[00:00:07.000 --> 00:00:12.000]  可能那時的聯想是一個教會的事工活動
[00:00:12.000 --> 00:00:18.000]  為了促進教會不同年齡群之間
[00:00:18.000 --> 00:00:24.000]  多一些彼此的支持和關懷
[00:00:24.000 --> 00:00:28.000]  有些教會的事工在暑期裏面推薦的時候
[00:00:28.000 --> 00:00:34.000]  去動員其他年齡群去支持
[00:00:34.000 --> 00:00:38.000]  但今天我們想將這個觀念
[00:00:38.000 --> 00:00:41.000]  放在我們的教會當中
[00:00:41.000 --> 00:00:45.000]  成為一個很重要的價值
[00:00:45.000 --> 00:00:49.000]  這個價值
[00:00:49.000 --> 00:00:58.000]  好像其他信仰的思想一樣
[00:00:58.000 --> 00:01:05.000]  可以成為我們教會長遠的意象的落實
[00:01:05.000 --> 00:01:08.000]  我是一個自以為
[00:01:08.000 --> 00:01:12.000]  覺得自己是一個意象導向的領袖
[00:01:12.000 --> 00:01:18.000]  很多時候很多領袖都很想和會眾分享
[00:01:18.000 --> 00:01:21.000]  特別我來了一年多
[00:01:21.000 --> 00:01:25.000]  其實我和柴鎮同步了這段時間
[00:01:25.000 --> 00:01:28.000]  正正是要開始預備
[00:01:28.000 --> 00:01:35.000]  一同尋求神給我們一個遠像 一個意象
[00:01:35.000 --> 00:01:39.000]  所以過往 特別在一二月的講道裏
[00:01:39.000 --> 00:01:42.000]  我的講道都充滿了很多
[00:01:42.000 --> 00:01:46.000]  一些夢想很想和大家分享
[00:01:46.000 --> 00:01:52.000]  因為這些種子希望成為一些基礎
[00:01:52.000 --> 00:01:54.000]  拋磚引玉
[00:01:54.000 --> 00:01:57.000]  令到弟兄姊妹都一同去尋求
[00:01:57.000 --> 00:02:01.000]  神接下來怎樣帶領柴鎮
[00:02:01.000 --> 00:02:03.000]  去走在他們的心意裏面
[00:02:03.000 --> 00:02:06.000]  成為一些不同的焦點
[00:02:06.000 --> 00:02:12.000]  正因為我是一個意象型的領袖
[00:02:12.000 --> 00:02:14.000]  很喜歡用一些概念性的字眼
[00:02:14.000 --> 00:02:21.000]  所以也引起很多弟兄姊妹的疑惑和混亂
[00:02:21.000 --> 00:02:25.000]  好像多會眾式的教會 門訓的教會
[00:02:25.000 --> 00:02:31.000]  甚至簡約的群體 貧窮人的福音使命
[00:02:31.000 --> 00:02:35.000]  很多很多這些字眼 很多很多這些概念
[00:02:35.000 --> 00:02:39.000]  都是神擺在我心裏面
[00:02:39.000 --> 00:02:43.000]  很想和柴鎮的弟兄姊妹一同邁向
[00:02:43.000 --> 00:02:48.000]  不過現在只是拋磚引玉 種子的狀態
[00:02:48.000 --> 00:02:53.000]  意思是還沒有正式在領袖的圈子裏面
[00:02:53.000 --> 00:02:58.000]  有充足的溝通和共識的領袖
[00:02:58.000 --> 00:03:01.000]  不過也想弟兄姊妹去接觸和明白
[00:03:01.000 --> 00:03:03.000]  明白就需要多些溝通
[00:03:03.000 --> 00:03:05.000]  在講台上的時間很有限
[00:03:05.000 --> 00:03:07.000]  未必能夠很清楚地去闡述
[00:03:07.000 --> 00:03:11.000]  所以有些時候都會引起一些不必要的困惑
[00:03:11.000 --> 00:03:13.000]  和不明的地方
[00:03:13.000 --> 00:03:15.000]  不過這些都是其次
[00:03:15.000 --> 00:03:20.000]  重要的是我們大家都在一起的願意
[00:03:20.000 --> 00:03:23.000]  好像這段經文 馬拉基書四章
[00:03:23.000 --> 00:03:26.000]  這段經文四到五節
[00:03:26.000 --> 00:03:29.000]  這樣去面對這個世代
[00:03:29.000 --> 00:03:32.000]  因為這個世代被稱為撕裂的時代
[00:03:32.000 --> 00:03:39.000]  是世代撕裂關係不是很妥當的時候
[00:03:39.000 --> 00:03:42.000]  正如這段經文的宣告
[00:03:42.000 --> 00:03:47.000]  其實這段經文的宣告正正也是提醒了我們
[00:03:47.000 --> 00:03:56.000]  我們就活在這個意象所描述的處境 現象裏面
[00:03:56.000 --> 00:04:00.000]  父親的心是不是轉向兒女的呢?
[00:04:00.000 --> 00:04:04.000]  兒女的心是不是轉向父親的呢?
[00:04:04.000 --> 00:04:07.000]  這個轉向未必等於認同
[00:04:07.000 --> 00:04:09.000]  不一定是認同各種的見解
[00:04:09.000 --> 00:04:13.000]  但是這種轉向就好像上個星期
[00:04:13.000 --> 00:04:15.000]  勸博士提醒我們
[00:04:15.000 --> 00:04:22.000]  我們在聖靈裏面更加需要去聆聽一些和自己不同的見解
[00:04:22.000 --> 00:04:26.000]  而不是好像這個世代撕裂的時代
[00:04:26.000 --> 00:04:30.000]  見解不同就好像仇敵一樣
[00:04:30.000 --> 00:04:36.000]  要割蓆 要區分 要對立
[00:04:36.000 --> 00:04:39.000]  原來在末世的日子
[00:04:39.000 --> 00:04:43.000]  我們是活在這樣的時代的現象裏面去
[00:04:43.000 --> 00:04:45.000]  但是神沒有放棄我們
[00:04:45.000 --> 00:04:47.000]  我們作為基督的身體
[00:04:47.000 --> 00:04:50.000]  在這個時代裏面更加有責任
[00:04:50.000 --> 00:04:58.000]  去活出一個彼此轉向 彼此聆聽 彼此欣賞 彼此肯定
[00:04:58.000 --> 00:05:02.000]  的一種家庭的關係 人際的關係
[00:05:02.000 --> 00:05:06.000]  而家庭的關係其實就是人際關係的基礎
[00:05:06.000 --> 00:05:08.000]  而我們必須要知道
[00:05:08.000 --> 00:05:15.000]  這個就是神要差遣先知以利亞尼的一個重要的使命
[00:05:15.000 --> 00:05:21.000]  意思就是說我們需要去面對由神而來的一些訊息
[00:05:21.000 --> 00:05:27.000]  我們必須要去學習 信服 和實踐
[00:05:27.000 --> 00:05:31.000]  這些神的宣告 神的心意
[00:05:31.000 --> 00:05:35.000]  做爸爸媽媽的 做成年人的 做長輩的
[00:05:35.000 --> 00:05:39.000]  需要去轉向
[00:05:39.000 --> 00:05:45.000]  其實教會有些新的發展已經出現了
[00:05:45.000 --> 00:05:49.000]  就是我們 不知道大家有沒有知道
[00:05:49.000 --> 00:05:54.000]  我們已經開始裝備我們的小朋友
[00:05:54.000 --> 00:06:01.000]  由一個很信服的 任我們搓 任我們捏的綿羊仔
[00:06:01.000 --> 00:06:08.000]  變成可以為神打仗的一個兒童的精兵
[00:06:08.000 --> 00:06:11.000]  你們有沒有這樣想像過呢?
[00:06:11.000 --> 00:06:19.000]  因為我們為了回應這個世代和神的命令
[00:06:19.000 --> 00:06:25.000]  所以我們已經是兒童的 特別是青苗的小學群體
[00:06:25.000 --> 00:06:27.000]  已經轉了做兒童教會
[00:06:27.000 --> 00:06:29.000]  但是我們說兒童教會的時候
[00:06:29.000 --> 00:06:34.000]  可能我們都是強調我們是在回應一個教會的現象
[00:06:34.000 --> 00:06:39.000]  就是方派教會有七成的會友子弟是會流失
[00:06:39.000 --> 00:06:44.000]  我們很想去保住這個和父母一樣的信仰 不要離開
[00:06:44.000 --> 00:06:50.000]  所以有一個守勢 守住一群小朋友
[00:06:50.000 --> 00:06:53.000]  一群會友子弟 令他們不要流失
[00:06:53.000 --> 00:06:56.000]  但是神的心意不是叫我們這樣
[00:06:56.000 --> 00:06:58.000]  神的心意是什麼呢?
[00:06:58.000 --> 00:07:04.000]  最終他們要活出一個比我們更精彩的信仰生命
[00:07:04.000 --> 00:07:07.000]  更豐盛的教會生活
[00:07:07.000 --> 00:07:18.000]  更具力量可以去為神爭戰的一群教會的新一代
[00:07:18.000 --> 00:07:25.000]  所以我們看到他們的訓練 他們教會的生活方式
[00:07:25.000 --> 00:07:29.000]  是會成為成年人的典範
[00:07:29.000 --> 00:07:31.000]  你知道嗎?
[00:07:31.000 --> 00:07:35.000]  因為我已經在堅尼地城浸信教會有機會實踐過
[00:07:35.000 --> 00:07:38.000]  所以知道他們背後的理念 我自己很欣賞
[00:07:38.000 --> 00:07:41.000]  他們會分成不同的侍奉隊
[00:07:41.000 --> 00:07:46.000]  在兒童崇拜裡面去擔任 去服侍
[00:07:46.000 --> 00:07:49.000]  所以今天的兒童主義學清廟
[00:07:49.000 --> 00:07:55.000]  不再是一個被動地學習信仰 學習信仰知識的地方
[00:07:55.000 --> 00:07:59.000]  而是他們在那裡開始實踐信仰
[00:07:59.000 --> 00:08:05.000]  他們有松鼠隊好像是做事務的
[00:08:05.000 --> 00:08:08.000]  這朵木鳥可能是做祈禱的
[00:08:08.000 --> 00:08:11.000]  小蜜蜂就是做組長
[00:08:11.000 --> 00:08:18.000]  後子在講道上做故事 做話劇的
[00:08:18.000 --> 00:08:22.000]  去幫忙宣告神的教導 協助神的話語的教導
[00:08:22.000 --> 00:08:24.000]  有不同的職份在裡面
[00:08:24.000 --> 00:08:28.000]  我們要讓他們親自在耶穌的面前去侍奉神
[00:08:28.000 --> 00:08:31.000]  然後去反思自己在侍奉裡面的過程
[00:08:31.000 --> 00:08:35.000]  有沒有不健康的態度和生命的價值
[00:08:35.000 --> 00:08:40.000]  要鼓勵他們慢慢靠著神的恩典去成長去改善
[00:08:40.000 --> 00:08:46.000]  不過記住這是在聚會裡面發生的事
[00:08:46.000 --> 00:08:51.000]  最近不斷提一位增金法牧師
[00:08:51.000 --> 00:08:55.000]  其實他的教導對我來說不是太陌生
[00:08:55.000 --> 00:08:59.000]  不過他有些很好的字眼和提醒
[00:08:59.000 --> 00:09:02.000]  他有個字叫做IBM
[00:09:02.000 --> 00:09:05.000]  不知道大家對IBM有什麼見解
[00:09:05.000 --> 00:09:08.000]  IBM是一個很出色的電腦公司
[00:09:08.000 --> 00:09:10.000]  但原來IBM對我們很有意思
[00:09:10.000 --> 00:09:12.000]  對教會的運作很有意思
[00:09:12.000 --> 00:09:15.000]  就是In Between Meeting
[00:09:15.000 --> 00:09:20.000]  聚會是否能夠改變一個信仰的生活呢
[00:09:20.000 --> 00:09:25.000]  有些力量的 但更加重要的是
[00:09:25.000 --> 00:09:28.000]  在聚會與聚會之間發生的事
[00:09:28.000 --> 00:09:30.000]  那裡是哪裡
[00:09:30.000 --> 00:09:32.000]  那裡是生活
[00:09:32.000 --> 00:09:37.000]  今天我們的教會同工領袖
[00:09:37.000 --> 00:09:39.000]  可能花了很多很多的時間
[00:09:39.000 --> 00:09:41.000]  去設計很多很多的聚會
[00:09:41.000 --> 00:09:44.000]  和教會一樣 他們都會有些經歷
[00:09:44.000 --> 00:09:47.000]  不過 很重要的
[00:09:47.000 --> 00:09:49.000]  他們的生命是否能夠改變
[00:09:49.000 --> 00:09:52.000]  他們能否經歷到神是他們的神
[00:09:52.000 --> 00:09:55.000]  很在乎In Between Meeting
[00:09:55.000 --> 00:09:58.000]  在生活裏面 在家庭的生活裏面
[00:09:58.000 --> 00:10:00.000]  在學校的生活裏面
