
[00:00:00.000 --> 00:00:03.980]  剛纔所讀的經文是一個很長的故事
[00:00:03.980 --> 00:00:05.960]  但中心思想就是
[00:00:05.960 --> 00:00:07.340]  去到第七章的時候
[00:00:07.340 --> 00:00:10.580]  在《約書雅記》
[00:00:10.580 --> 00:00:13.260]  我們一路看進入英許地
[00:00:13.260 --> 00:00:19.200]  這羣意識聯盟需要清理一下自己內心的前內
[00:00:19.200 --> 00:00:21.260]  就像希伯來書所說
[00:00:21.260 --> 00:00:22.900]  當我們見到很多見證人
[00:00:22.900 --> 00:00:25.320]  如何去憑信心跟隨神的時候
[00:00:25.320 --> 00:00:26.620]  當他們灌溢神
[00:00:26.620 --> 00:00:28.480]  當他們離棄神的時候
[00:00:28.480 --> 00:00:32.280]  他們需要卸下各種重擔
[00:00:32.280 --> 00:00:36.100]  和緊緊鉗累他們的罪
[00:00:36.100 --> 00:00:37.740]  讓我們今天一起去學習
[00:00:37.740 --> 00:00:40.720]  當我們進入英許地之前
[00:00:40.720 --> 00:00:42.360]  我們整個教會
[00:00:42.360 --> 00:00:43.640]  我們就像以色列人一樣
[00:00:43.640 --> 00:00:45.360]  應該如何預備我們的心
[00:00:45.360 --> 00:00:47.620]  我們一起同心低頭祈禱
[00:00:47.620 --> 00:00:49.200]  天主我們感謝禰
[00:00:49.200 --> 00:00:51.760]  因爲禰的話語是寶貴的
[00:00:51.760 --> 00:00:56.400]  禰的話語就是記載以色列人當時的狀態
[00:00:56.400 --> 00:00:58.320]  在當中我們需要學習的
[00:00:58.320 --> 00:00:59.760]  求禰的聖靈
[00:00:59.760 --> 00:01:02.100]  現在又謙卑我們的心
[00:01:02.100 --> 00:01:04.260]  融化我們的石心
[00:01:04.260 --> 00:01:07.660]  挪開我們抗拒你的靈
[00:01:07.660 --> 00:01:13.100]  讓我們的內心軟化、柔軟、謙卑、柔和、謙卑
[00:01:13.100 --> 00:01:15.200]  願意融化下禰的話語
[00:01:15.200 --> 00:01:19.240]  實踐禰的話語在我們的生活和生命當中
[00:01:19.240 --> 00:01:21.360]  我們將以下延讀禰話語的時間
[00:01:21.360 --> 00:01:23.320]  恭敬、仰望、比天父、求聖靈
[00:01:23.320 --> 00:01:25.160]  向我們親自說話
[00:01:25.160 --> 00:01:30.080]  祈禱奉靠主耶穌的那道明球
[00:01:30.080 --> 00:01:34.680]  其實《約書下記》上個星期講到第六章
[00:01:34.680 --> 00:01:37.180]  這個星期講到第七章
[00:01:37.180 --> 00:01:40.660]  其實裏面有很大的戲劇性
[00:01:40.660 --> 00:01:45.120]  因爲剛纔敬拜隊爲我們講出第七章的故事
[00:01:45.120 --> 00:01:48.780]  就出現了一個很驚人的狀況
[00:01:48.780 --> 00:01:52.880]  就是這羣以色列民在第六章
[00:01:52.880 --> 00:01:57.040]  成功攻陷了耶利哥城
