
[00:00:00.000 --> 00:00:07.000]  讀完故事,我就想問,那個人為何要殺阿伯呢?
[00:00:07.000 --> 00:00:17.000]  妒忌,好像我們大家都幾一致,覺得他是妒忌,那他妒忌他甚麼呢?
[00:00:17.000 --> 00:00:22.000]  他妒忌他甚麼呢?
[00:00:27.000 --> 00:00:30.000]  妒忌他甚麼呢?
[00:00:30.000 --> 00:00:39.000]  為何神不喜歡他的祭物,越立他,還不越立我呢?
[00:00:39.000 --> 00:00:48.000]  這樣即是始作俑者是神,是嗎?
[00:00:48.000 --> 00:00:53.000]  在這裏我們先解決一個問題,
[00:00:53.000 --> 00:01:01.000]  我們香港教育是講名次的,是嗎?
[00:01:01.000 --> 00:01:05.000]  一班四十人,只有幾多個考第一?
[00:01:05.000 --> 00:01:10.000]  那我想問你,有幾多個考第四十?
[00:01:10.000 --> 00:01:16.000]  是否很多同學都爭考第一?
[00:01:17.000 --> 00:01:26.000]  你小時候爭考第一,你小時候沒見過你的同學爭考第一嗎?
[00:01:26.000 --> 00:01:30.000]  是,爭到怎樣?
[00:01:30.000 --> 00:01:37.000]  有人這樣跟我說,我最記得那個女同學,
[00:01:37.000 --> 00:01:42.000]  你喜歡她嗎?當然不是,我恨死她,為甚麼?
[00:01:42.000 --> 00:01:47.000]  因為每次都是她考第一,我經常都在她下面,
[00:01:47.000 --> 00:01:50.000]  所以如果她死了,我可以考甚麼?
[00:01:50.000 --> 00:01:57.000]  那我現在就問你,有沒有人爭考第四十的呢?
[00:01:57.000 --> 00:02:03.000]  爭著考第四十,最後那個,
[00:02:03.000 --> 00:02:07.000]  其實你有沒有想過,每一個名次都是這麼難的?
[00:02:07.000 --> 00:02:11.000]  每一個名次都只有一個,是嗎?
[00:02:11.000 --> 00:02:13.000]  為甚麼一定要爭考第一呢?
[00:02:13.000 --> 00:02:20.000]  所以,其實三十年前,或者三十五年前左右,
[00:02:20.000 --> 00:02:24.000]  我曾經很悲憤,
[00:02:24.000 --> 00:02:32.000]  來跟大吳家輝很多在秀茂坪的年青人說,
[00:02:32.000 --> 00:02:35.000]  不行,我看你們讀書讀得這麼慘烈,
[00:02:35.000 --> 00:02:38.000]  我真的很想帶你們去示威,
[00:02:39.000 --> 00:02:43.000]  去控告這個香港的教育制度,
[00:02:43.000 --> 00:02:46.000]  做甚麼事要考第一這件事呢?
[00:02:46.000 --> 00:02:50.000]  為甚麼不可以用ABCD呢?
[00:02:50.000 --> 00:02:55.000]  如果是用Grade,是不是?Grading,
[00:02:55.000 --> 00:02:58.000]  那是不是全班四十個A都可以的?
[00:02:58.000 --> 00:03:04.000]  是不是?好,那你喜歡哪種教育制度呢?
[00:03:04.000 --> 00:03:08.000]  名次呀,因為Grading呀,
[00:03:08.000 --> 00:03:10.000]  你喜歡哪一種?
[00:03:10.000 --> 00:03:14.000]  好,喜歡名次的請舉手!
[00:03:14.000 --> 00:03:20.000]  吳家輝勇敢點,舉高點,這個又舉高點,
[00:03:20.000 --> 00:03:24.000]  有幾個,有三個,四個,
