
[00:00:00.000 --> 00:00:01.600]  很多人都會這樣形容的
[00:00:01.600 --> 00:00:03.880]  當你去讀神學的時候
[00:00:03.880 --> 00:00:05.400]  讀神學的過程
[00:00:05.400 --> 00:00:08.280]  就好像是不斷被上帝來拆毀
[00:00:08.280 --> 00:00:11.320]  我們對信仰的一些前設
[00:00:11.320 --> 00:00:14.800]  繼而是被上帝重新潔淋我們
[00:00:14.800 --> 00:00:17.360]  今天我們所閱讀的經課
[00:00:17.360 --> 00:00:20.280]  都和前設很有關
[00:00:20.280 --> 00:00:24.280]  馬太福音十一章十六至十九節
[00:00:24.280 --> 00:00:26.080]  那裡記述了一段耶穌基督
[00:00:26.080 --> 00:00:29.640]  充滿著嘆息的自白
[00:00:29.640 --> 00:00:31.360]  其實也帶著一些無奈
[00:00:31.360 --> 00:00:32.960]  我的咪高峰可能可以小一點
[00:00:32.960 --> 00:00:35.240]  是 請小一點
[00:00:35.240 --> 00:00:36.800]  耶穌基督這樣說我那時候
[00:00:36.800 --> 00:00:40.760]  他說我應該用什麼來比喻這個世代呢
[00:00:40.760 --> 00:00:45.200]  接著他就以當時小朋友玩遊戲的一個片段
[00:00:45.200 --> 00:00:49.040]  來應用他心裡面的一些感受和想法
[00:00:49.040 --> 00:00:50.760]  那個遊戲其實很簡單的
[00:00:50.760 --> 00:00:54.160]  就是那些小朋友會分為兩組
[00:00:54.160 --> 00:00:56.400]  一組就負責去吹笛
[00:00:56.400 --> 00:00:57.760]  奏一些音樂出來
[00:00:57.760 --> 00:01:00.760]  接著另一組就負責給反應
[00:01:00.760 --> 00:01:03.800]  其實就是很簡單直接的一個遊戲
[00:01:03.800 --> 00:01:05.840]  例如當這邊的人
[00:01:05.840 --> 00:01:08.320]  他是要負責吹一些婚禮
[00:01:08.320 --> 00:01:10.320]  或者喜慶的樂曲的時候
[00:01:10.320 --> 00:01:12.960]  那這邊的小朋友就要給一些反應
[00:01:12.960 --> 00:01:15.880]  就是要跳舞、拍手、唱歌
[00:01:15.880 --> 00:01:17.600]  開心地慶祝
[00:01:17.600 --> 00:01:19.840]  相反 如果當這邊的人
[00:01:19.840 --> 00:01:25.120]  是在吹奏一些喪禮、哀傷、哀歌的時候
[00:01:25.120 --> 00:01:29.520]  另一邊的人也要哀傷、哀痛地打自己的胸口
[00:01:29.520 --> 00:01:32.520]  這個是當時的做法
[00:01:32.520 --> 00:01:34.760]  遊戲本身就是這樣
[00:01:34.760 --> 00:01:36.040]  玩法很簡單
[00:01:36.040 --> 00:01:38.760]  是一個很簡單的直接的角色扮演
[00:01:38.760 --> 00:01:40.760]  Role play(角色扮演)而已
[00:01:40.760 --> 00:01:42.520]  但那時候的情況是什麼呢
[00:01:42.520 --> 00:01:47.120]  那些負責給反應的小朋友他不合作
[00:01:47.120 --> 00:01:49.800]  並且無論是這邊的人
[00:01:49.800 --> 00:01:52.200]  他在吹什麼、在彈奏什麼音樂
[00:01:52.200 --> 00:01:57.640]  這邊的小朋友都是不肯投入在遊戲裡面
[00:01:57.640 --> 00:02:01.120]  並且選擇對著幹
[00:02:01.120 --> 00:02:02.200]  可想而知
[00:02:02.200 --> 00:02:03.200]  這樣之下
[00:02:03.200 --> 00:02:05.400]  整個遊戲就沒有意義了
[00:02:05.400 --> 00:02:07.320]  沒有人了
[00:02:07.320 --> 00:02:11.120]  接著耶穌基督畫公仔、畫出牆
[00:02:11.120 --> 00:02:13.800]  他就對著那些跟隨他的人說
[00:02:13.800 --> 00:02:17.000]  當施洗約翰來到你們當中
[00:02:17.000 --> 00:02:19.080]  他沒有吃什麼山珍海味
[00:02:19.080 --> 00:02:21.240]  也沒有喝什麼陳年佳釀
[00:02:21.240 --> 00:02:23.200]  他過著一個很簡樸的生活
[00:02:23.200 --> 00:02:24.880]  只是吃一些蝗蟲野蜜
[00:02:24.880 --> 00:02:27.400]  簡單來說也不是人吃的
[00:02:27.400 --> 00:02:30.400]  接著你們就說他是被鬼附的
[00:02:30.400 --> 00:02:30.920]  好了
[00:02:30.920 --> 00:02:32.440]  當人子來到
[00:02:32.440 --> 00:02:35.080]  他自己耶穌基督來到你們當中
[00:02:35.080 --> 00:02:39.120]  他正正常常參與在人的飯局裡面
[00:02:39.120 --> 00:02:43.360]  接著你就說這個人嘴刁、貪食、瘀酒
[00:02:43.360 --> 00:02:48.840]  是衰利和罪人的朋友
[00:02:48.840 --> 00:02:52.000]  耶穌基督所表達的不滿是
