
[00:00:00.000 --> 00:00:02.000]  好,看你認不認識這個人
[00:00:02.000 --> 00:00:06.000]  認不認識他
[00:00:06.000 --> 00:00:12.000]  這個人是英國的物理學家和宇宙學家
[00:00:12.000 --> 00:00:14.000]  他有一句說話就是
[00:00:14.000 --> 00:00:18.000]  女人是完全的一個謎
[00:00:18.000 --> 00:00:22.000]  我說他比宇宙的黑洞更加難明白
[00:00:22.000 --> 00:00:24.000]  同不同意呢
[00:00:24.000 --> 00:00:28.000]  我家有兩個男士都非常同意
[00:00:28.000 --> 00:00:30.000]  一個是老公,一個是兒子
[00:00:30.000 --> 00:00:32.000]  他經常都不知道你想怎樣
[00:00:32.000 --> 00:00:34.000]  那個就是我了
[00:00:34.000 --> 00:00:36.000]  其實是不是真的那麼難明白呢
[00:00:36.000 --> 00:00:40.000]  其實都不是太難明白的
[00:00:40.000 --> 00:00:44.000]  是難明白的
[00:00:44.000 --> 00:00:48.000]  所以你不用擔心你不明白你老婆,你女朋友,你媽媽
[00:00:48.000 --> 00:00:50.000]  是不容易明白的,所以沒有問題的
[00:00:50.000 --> 00:00:53.000]  你不明白你媽媽做什麼的,是正常的
[00:00:53.000 --> 00:00:55.000]  因爲你真的不明白她
[00:00:55.000 --> 00:00:57.000]  但我希望今天之後你會
[00:00:57.000 --> 00:00:59.000]  在不明白她之外
[00:00:59.000 --> 00:01:01.000]  你就不會生氣了
[00:01:01.000 --> 00:01:03.000]  即不是生氣
[00:01:03.000 --> 00:01:05.000]  好,有句說話就是
[00:01:05.000 --> 00:01:08.000]  有什麼角色是不能夠被人代替的呢
[00:01:08.000 --> 00:01:13.000]  當然是媽媽了
[00:01:13.000 --> 00:01:15.000]  母親節嘛
[00:01:15.000 --> 00:01:20.000]  母親不能夠替代的角色
[00:01:20.000 --> 00:01:22.000]  女人其實很強悍的
[00:01:22.000 --> 00:01:24.000]  很能幹的,我告訴你
[00:01:24.000 --> 00:01:27.000]  其實不同的年代的女人都很強悍的
[00:01:27.000 --> 00:01:30.000]  以前女人好像沒有什麼學識
[00:01:30.000 --> 00:01:33.000]  她都能夠打你頭家,很好地頭頭是道
