
[00:00:00.000 --> 00:00:02.000]  靜姐妹,早安!
[00:00:02.000 --> 00:00:05.000]  由我們聆聽上帝的說話之先,
[00:00:05.000 --> 00:00:08.000]  我們一齊來等候神,仰望神,
[00:00:08.000 --> 00:00:10.000]  我們一齊祈禱,
[00:00:10.000 --> 00:00:14.000]  慈愛又公義的上帝,
[00:00:14.000 --> 00:00:16.000]  我們來到祢的面前,
[00:00:16.000 --> 00:00:18.000]  我們承認,
[00:00:18.000 --> 00:00:22.000]  我們是一個不折不扣的罪人,
[00:00:22.000 --> 00:00:25.000]  毫無意義在我們裏面,
[00:00:25.000 --> 00:00:28.000]  因為羅馬書提醒我們,
[00:00:28.000 --> 00:00:32.000]  很清楚告訴我們,沒有二人連一個也沒有,
[00:00:32.000 --> 00:00:34.000]  我們在祢的面前,
[00:00:34.000 --> 00:00:38.000]  我們承認我們的罪惡,
[00:00:38.000 --> 00:00:43.000]  大神祢不是這樣放棄我們,
[00:00:43.000 --> 00:00:49.000]  祢差遣祢寶貝的兒子耶穌基督降生來到世上,
[00:00:49.000 --> 00:00:52.000]  為的事拯救我們,
[00:00:52.000 --> 00:00:54.000]  主耶穌多謝祢,
[00:00:54.000 --> 00:00:57.000]  多謝祢願意來到,
[00:00:57.000 --> 00:01:01.000]  多謝祢願意為我們犧牲,
[00:01:01.000 --> 00:01:03.000]  主耶穌求祢幫助我們,
[00:01:03.000 --> 00:01:07.000]  當我們剛剛透過聖餐來紀念祢,
[00:01:07.000 --> 00:01:15.000]  我們更加迎接耳馬來來的主來的時候,
[00:01:15.000 --> 00:01:19.000]  幫助我們調教我們的心態,
[00:01:19.000 --> 00:01:21.000]  讓我們預備好,
[00:01:21.000 --> 00:01:24.000]  主啊,我願祢來,
[00:01:24.000 --> 00:01:25.000]  多謝祢,
[00:01:25.000 --> 00:01:29.000]  聽我們的祈禱,奉主耶穌命求,阿門。
[00:01:55.000 --> 00:02:07.000]  又唱起聖誕的詩歌,
[00:02:07.000 --> 00:02:10.000]  另外一邊英國的士兵,
[00:02:10.000 --> 00:02:15.000]  也用他們自己的語言來唱聖誕歌,
[00:02:15.000 --> 00:02:17.000]  作為回禮,
[00:02:17.000 --> 00:02:22.000]  兩邊開始互相有回應,
[00:02:22.000 --> 00:02:25.000]  除了唱詩歌之外,
[00:02:25.000 --> 00:02:28.000]  也說一些聖誕祝賀的說話,
[00:02:28.000 --> 00:02:32.000]  很快,雙方在無人的地帶裏面,
[00:02:32.000 --> 00:02:33.000]  有一些交流,
[00:02:33.000 --> 00:02:36.000]  士兵相互交換食物,
[00:02:36.000 --> 00:02:39.000]  香煙,酒,
[00:02:39.000 --> 00:02:42.000]  而且還交換一些鈕扣,
[00:02:42.000 --> 00:02:44.000]  甚至帽子,
[00:02:44.000 --> 00:02:46.000]  來作為紀念品。
[00:02:46.000 --> 00:02:48.000]  在那一晚,
[00:02:48.000 --> 00:02:51.000]  這個地區的炮火,
[00:02:51.000 --> 00:02:54.000]  歸於沉默。
[00:02:54.000 --> 00:02:55.000]  這一次的休戰,
[00:02:55.000 --> 00:02:58.000]  也讓士兵有空檔的時間,
[00:02:58.000 --> 00:03:01.000]  將之前陣亡的同袍,
[00:03:01.000 --> 00:03:07.000]  帶回自己的戰線後方埋葬。
[00:03:07.000 --> 00:03:10.000]  雖然過完這個聖誕,
[00:03:10.000 --> 00:03:13.000]  戰事繼續來開展,
[00:03:13.000 --> 00:03:17.000]  但是在戰爭的苦難當中,
[00:03:17.000 --> 00:03:19.000]  耶穌降生的大愛,
