
[00:00:00.000 --> 00:00:03.000]  各位影視姐妹平安
[00:00:03.000 --> 00:00:05.000]  每年來到十月的時候
[00:00:05.000 --> 00:00:09.000]  就是很多人忙於追趕target 跑數的時候
[00:00:09.000 --> 00:00:11.000]  也有很多上班一族
[00:00:11.000 --> 00:00:17.000]  面臨關乎年終薪酬調整
[00:00:17.000 --> 00:00:22.000]  或者是花紅的年終評核
[00:00:22.000 --> 00:00:23.000]  作為基督徒的
[00:00:23.000 --> 00:00:29.000]  不知道我們會不會同樣作類似的檢視呢?
[00:00:29.000 --> 00:00:36.000]  當然我們說的是在基督台前的評核
[00:00:36.000 --> 00:00:38.000]  我們會不會被評核為
[00:00:38.000 --> 00:00:41.000]  又良善又忠心的管家呢?
[00:00:41.000 --> 00:00:45.000]  有些什麼在我們當下的生活當中
[00:00:45.000 --> 00:00:49.000]  是值得被基督紀念的呢?
[00:00:49.000 --> 00:00:51.000]  我預備從尼希米基七至十二章
[00:00:51.000 --> 00:00:53.000]  分享的講題是
[00:00:53.000 --> 00:00:57.000]  「活在當下,聯於永恆」
[00:00:57.000 --> 00:01:00.000]  盼望這段神的指紋
[00:01:00.000 --> 00:01:03.000]  回歸到英雄在聖城所作的事情
[00:01:03.000 --> 00:01:05.000]  能夠成為我們的幫助
[00:01:05.000 --> 00:01:08.000]  激勵我們能夠在當下之中
[00:01:08.000 --> 00:01:11.000]  多作在神眼中安慰
[00:01:11.000 --> 00:01:14.000]  有永恆價值的事情
[00:01:14.000 --> 00:01:18.000]  上星期歐富彥傳道和我們重溫過
[00:01:18.000 --> 00:01:21.000]  還記得索羅伯伯
[00:01:21.000 --> 00:01:24.000]  以斯拉和尼希米
[00:01:24.000 --> 00:01:31.000]  分別帶了三次回秘魯到波斯的以色列民
[00:01:31.000 --> 00:01:34.000]  歸回耶路撒冷
[00:01:34.000 --> 00:01:37.000]  無獨有偶
[00:01:37.000 --> 00:01:40.000]  以斯拉記六章十五十六節
[00:01:40.000 --> 00:01:43.000]  和尼希米記六章十五十六節
[00:01:43.000 --> 00:01:48.000]  是分別記述了第二聖殿重建完成
[00:01:48.000 --> 00:01:54.000]  和城牆的完成
[00:01:54.000 --> 00:01:56.000]  城牆收建完成
[00:01:56.000 --> 00:01:59.000]  尼希米可以說完成了使命
[00:01:59.000 --> 00:02:02.000]  但可以回到波斯
[00:02:02.000 --> 00:02:07.000]  繼續享受在波斯王身邊的親信
[00:02:07.000 --> 00:02:10.000]  作酒精的身份和地位
[00:02:10.000 --> 00:02:15.000]  不過尼希米卻選擇
[00:02:15.000 --> 00:02:20.000]  當下不是回去享受平安福樂的時間
[00:02:20.000 --> 00:02:23.000]  而是選擇留在耶路撒冷
[00:02:23.000 --> 00:02:26.000]  繼續承擔繼續去做一些
[00:02:26.000 --> 00:02:32.000]  有永恆價值的事情
[00:02:32.000 --> 00:02:36.000]  尼希米留在這裡要做什麼事呢
[00:02:36.000 --> 00:02:41.000]  第一件事我們看到就是守衛聖城
[00:02:41.000 --> 00:02:45.000]  總一齊讀是尼希米記七章一至四節
[00:03:11.000 --> 00:03:14.000]  如果城牆蓋好就要關門上山
[00:03:14.000 --> 00:03:17.000]  也當派耶路撒冷的居民各按班次
[00:03:17.000 --> 00:03:20.000]  看守自己的房屋對面之處
[00:03:20.000 --> 00:03:23.000]  城市廣大其中的民卻稀少
[00:03:23.000 --> 00:03:28.000]  房屋還沒有建造
[00:03:28.000 --> 00:03:32.000]  聖殿蓋好城牆蓋好
[00:03:32.000 --> 00:03:34.000]  可以嗎
[00:03:34.000 --> 00:03:36.000]  不可以
[00:03:36.000 --> 00:03:38.000]  如果城牆蓋好沒有人看守的時候
[00:03:38.000 --> 00:03:42.000]  四處的仇敵可以隨時拆你的城牆
[00:03:42.000 --> 00:03:45.000]  燒你的城門
[00:03:45.000 --> 00:03:48.000]  所以尼希米留下第一步要做的
[00:03:48.000 --> 00:03:52.000]  就是安排分配人手守護城牆
[00:03:52.000 --> 00:03:57.000]  看守聖城、聖殿、聖文
[00:03:57.000 --> 00:03:59.000]  但是計劃就好了
[00:03:59.000 --> 00:04:03.000]  分派居民按班次看守
[00:04:03.000 --> 00:04:05.000]  面對的難題第四節
[00:04:05.000 --> 00:04:08.000]  城市廣大其中的民卻稀少
[00:04:08.000 --> 00:04:12.000]  房屋還沒有建造
[00:04:12.000 --> 00:04:14.000]  等等
[00:04:14.000 --> 00:04:16.000]  以色列記第二章
[00:04:16.000 --> 00:04:19.000]  第一次回歸已經有四萬二千多人
[00:04:19.000 --> 00:04:21.000]  其實不止的
[00:04:21.000 --> 00:04:23.000]  後面還有說
[00:04:23.000 --> 00:04:25.000]  而且三次回歸
[00:04:25.000 --> 00:04:27.000]  城中的民卻稀少
[00:04:27.000 --> 00:04:30.000]  為什麼
[00:04:30.000 --> 00:04:32.000]  如果我們再回顧歷史的時候
[00:04:32.000 --> 00:04:33.000]  我們會記得
[00:04:33.000 --> 00:04:38.000]  當巴比倫攻破城牆
[00:04:38.000 --> 00:04:40.000]  進入耶路撒冷的時候
[00:04:40.000 --> 00:04:44.000]  曾經居民避難的避難逃走
[00:04:44.000 --> 00:04:47.000]  或者是奮起抗戰被殺
[00:04:47.000 --> 00:04:51.000]  剩下來的大部分被擄
[00:04:51.000 --> 00:04:53.000]  他們拆了城牆、升殿
[00:04:53.000 --> 00:04:55.000]  燒毀了城門
[00:04:55.000 --> 00:04:56.000]  幾十年以來
[00:04:56.000 --> 00:05:01.000]  耶路撒冷成為一個不設防的都市
[00:05:01.000 --> 00:05:03.000]  尼西米基說過很多次
[00:05:03.000 --> 00:05:06.000]  周圍的仇敵隨意進入耶路撒冷
[00:05:06.000 --> 00:05:10.000]  破壞、搶劫、搶掠
[00:05:10.000 --> 00:05:13.000]  回歸的人數不少
[00:05:13.000 --> 00:05:16.000]  但是這樣的城市你怎麼住呢
[00:05:16.000 --> 00:05:18.000]  還有一個實際的問題
[00:05:18.000 --> 00:05:21.000]  去過聖地有就知道了
[00:05:21.000 --> 00:05:23.000]  歷史也告訴我們
[00:05:23.000 --> 00:05:28.000]  耶路撒冷原本是一個政治和宗教的中心
[00:05:28.000 --> 00:05:30.000]  皇宮所在、聖殿所在
[00:05:30.000 --> 00:05:32.000]  沒有耕地
[00:05:32.000 --> 00:05:35.000]  你叫人們在這樣的城市
[00:05:35.000 --> 00:05:36.000]  怎麼生活呢
[00:05:36.000 --> 00:05:38.000]  怎麼維生呢
[00:05:38.000 --> 00:05:40.000]  所以大多數回歸的人
[00:05:40.000 --> 00:05:42.000]  就好像十二章二十九節所提到
[00:05:42.000 --> 00:05:44.000]  只能夠住在城外
[00:05:44.000 --> 00:05:46.000]  有田可耕的村莊
[00:05:46.000 --> 00:05:48.000]  甚至自己找一個地方
[00:05:48.000 --> 00:05:50.000]  自己建立一條村莊
[00:05:50.000 --> 00:05:54.000]  結果造成城市廣大
[00:05:54.000 --> 00:05:56.000]  人卻稀少
[00:05:56.000 --> 00:06:00.000]  無論如何
[00:06:00.000 --> 00:06:03.000]  尼熙米做的一件事
[00:06:03.000 --> 00:06:06.000]  就是分派人手
[00:06:06.000 --> 00:06:10.000]  守護聖城、看守城牆
[00:06:10.000 --> 00:06:14.000]  尼熙米記不只是記錄尼熙米
[00:06:14.000 --> 00:06:16.000]  也不只是記錄伊斯拉
[00:06:16.000 --> 00:06:19.000]  他是記錄了一批人士
[00:06:19.000 --> 00:06:21.000]  七章二節
[00:06:21.000 --> 00:06:22.000]  哈拿尼
[00:06:22.000 --> 00:06:23.000]  給大家一點功夫
[00:06:23.000 --> 00:06:27.000]  讓大家找找哈拿尼是誰
[00:06:27.000 --> 00:06:29.000]  還有不同的人
[00:06:29.000 --> 00:06:31.000]  有管城樓的人
[00:06:31.000 --> 00:06:32.000]  有尼熙米人
[00:06:32.000 --> 00:06:33.000]  有各樣的居民
[00:06:33.000 --> 00:06:34.000]  有守門的
[00:06:34.000 --> 00:06:36.000]  有歌唱的
[00:06:36.000 --> 00:06:41.000]  每一個人都面對同樣的問題
[00:06:41.000 --> 00:06:43.000]  耶路撒冷不是一個
[00:06:43.000 --> 00:06:46.000]  在現階段百廢待興
[00:06:46.000 --> 00:06:47.000]  沒有七十一
