
[00:00:00.000 --> 00:00:02.840]  今天講到的講題
[00:00:02.840 --> 00:00:06.600]  就是《約翰福音》第二個神蹟
[00:00:06.600 --> 00:00:09.760]  知不知道為什麼講第二個神蹟?
[00:00:09.760 --> 00:00:10.960]  因為講完第一個
[00:00:10.960 --> 00:00:12.560]  因為上次講完第一個
[00:00:12.560 --> 00:00:13.360]  對了
[00:00:13.360 --> 00:00:14.960]  所以今次是第二個
[00:00:14.960 --> 00:00:18.000]  也就是說
[00:00:18.000 --> 00:00:20.520]  如果第一個神蹟是什麼呢?
[00:00:20.520 --> 00:00:21.760]  你真的忘記了
[00:00:21.760 --> 00:00:22.900]  你就回去聽法
[00:00:22.900 --> 00:00:23.960]  所以才走
[00:00:23.960 --> 00:00:26.400]  第一個神蹟之後
[00:00:26.400 --> 00:00:27.400]  那一次的講道
[00:00:27.400 --> 00:00:28.900]  其實就不是第二個神蹟
[00:00:28.900 --> 00:00:30.000]  隔了一個
[00:00:30.000 --> 00:00:31.920]  我們稍後再講
[00:00:31.920 --> 00:00:34.200]  我們今次講第二個神蹟
[00:00:34.200 --> 00:00:36.800]  用的經文就是《約翰福音》
[00:00:36.800 --> 00:00:40.160]  四章四十三至五十四節
[00:00:40.160 --> 00:00:42.920]  一段好像故事一樣
[00:00:42.920 --> 00:00:46.160]  也想邀請大家讀一次
[00:00:46.160 --> 00:00:48.960]  起碼有一個概略
[00:00:48.960 --> 00:00:51.220]  知道故事講什麼
[00:00:51.220 --> 00:00:53.960]  我們大家一同開聲讀
[00:00:53.960 --> 00:00:56.560]  過了那兩天
[00:00:56.560 --> 00:00:59.160]  耶穌來了那地方
[00:00:59.160 --> 00:01:00.560]  往那裡去
[00:01:00.560 --> 00:01:04.060]  因為耶穌自己作過見證說
[00:01:04.060 --> 00:01:07.960]  先知在本地是沒有人尊敬的
[00:01:07.960 --> 00:01:09.660]  到了加利利
[00:01:09.660 --> 00:01:12.460]  加利利人既然看見祂
[00:01:12.460 --> 00:01:16.160]  在耶路撒冷過節所行的一切事
[00:01:16.160 --> 00:01:17.760]  就接待祂
[00:01:17.760 --> 00:01:20.960]  因為祂們也是想去過節
[00:01:20.960 --> 00:01:24.460]  耶穌又到了加利利的迦蘭
[00:01:24.460 --> 00:01:27.660]  就是祂從前面水圍走的
[00:01:27.660 --> 00:01:29.260]  有一個大神
[00:01:29.260 --> 00:01:32.460]  他的兒子在加伯隆患病
[00:01:32.460 --> 00:01:36.460]  他聽見耶穌從猶太到了加利利
[00:01:36.460 --> 00:01:37.960]  就來見他
[00:01:37.960 --> 00:01:40.760]  求他下去醫治他的兒子
[00:01:40.760 --> 00:01:43.860]  因為他兒子快要死了
[00:01:43.860 --> 00:01:45.960]  耶穌就對他說
[00:01:45.960 --> 00:01:48.660]  若不看見神蹟其事
[00:01:48.660 --> 00:01:50.860]  你們總是不信
[00:01:50.860 --> 00:01:58.060]  那大神說:先生,求你趁著我的孩子還沒有死就下去
[00:01:58.060 --> 00:02:02.860]  耶穌對他說:回去吧,你的兒子活了
[00:02:02.860 --> 00:02:07.060]  那人信耶穌所說的話就回去了
[00:02:07.060 --> 00:02:09.060]  正下去的時候
[00:02:09.060 --> 00:02:11.260]  他的僕人迎見他
[00:02:11.260 --> 00:02:13.660]  說他的兒子活了
[00:02:13.660 --> 00:02:17.060]  他就問:什麼時候見好的
[00:02:17.060 --> 00:02:21.060]  他們說:昨日未時熱就退了
[00:02:21.060 --> 00:02:24.860]  他便知道這正是耶穌對他說
[00:02:24.860 --> 00:02:27.260]  你兒子活了的時候
[00:02:27.260 --> 00:02:30.760]  他自己和全家就都信了
[00:02:30.760 --> 00:02:35.360]  這是耶穌在加利利行的第二件神蹟
[00:02:35.360 --> 00:02:38.860]  是他從猶太回去以後行的
[00:02:38.860 --> 00:02:43.860]  這段是頗為簡潔的記載
[00:02:43.860 --> 00:02:56.260]  我們上一兩次講的第一個神蹟和上一次的講道
[00:02:56.260 --> 00:03:00.060]  就是講耶穌從加利利去到耶路撒冷
[00:03:00.060 --> 00:03:04.460]  然後回來的時候經過耶路撒冷又去到加利利
[00:03:04.460 --> 00:03:06.060]  記不記得大概是這樣
[00:03:06.060 --> 00:03:09.460]  上一次講道不是第一個神蹟
[00:03:09.460 --> 00:03:12.060]  就是重生與活水
[00:03:12.060 --> 00:03:13.860]  我選擇這個題目
[00:03:13.860 --> 00:03:17.260]  上一次講主要的重點就是
[00:03:17.260 --> 00:03:20.260]  耶穌從加利利去到耶路撒冷
[00:03:20.260 --> 00:03:24.860]  耶路撒冷基本上都不肯接受耶穌
[00:03:24.860 --> 00:03:29.260]  耶穌跟一個官尼哥底姆說
[00:03:29.260 --> 00:03:32.260]  要重生才可以
[00:03:32.260 --> 00:03:36.660]  不明白又不肯接受
[00:03:36.660 --> 00:03:38.660]  這是重點
[00:03:38.660 --> 00:03:40.860]  然後耶穌離開的時候
[00:03:40.860 --> 00:03:43.660]  故意繞過去薩馬利亞
[00:03:43.660 --> 00:03:46.460]  本來猶太人是不會經過這個地方的
[00:03:46.460 --> 00:03:47.860]  要混路走的
[00:03:47.860 --> 00:03:49.860]  很討厭這個地方和那些人
[00:03:49.860 --> 00:03:51.860]  但是耶穌故意去那裡
[00:03:51.860 --> 00:03:55.460]  碰到一個薩馬利亞的婦人
[00:03:55.460 --> 00:03:57.460]  跟她聊天
[00:03:57.460 --> 00:03:58.860]  告訴她
[00:03:58.860 --> 00:04:00.860]  耶穌是活水
[00:04:00.860 --> 00:04:03.860]  得著這個活水就永遠不渴
[00:04:03.860 --> 00:04:07.860]  這個婦人的細節大家回去聽片段
[00:04:07.860 --> 00:04:10.060]  這個婦人回去告訴村民
[00:04:10.060 --> 00:04:12.660]  全部人都走出來
[00:04:12.660 --> 00:04:14.060]  聽耶穌說
[00:04:14.060 --> 00:04:15.060]  很開心
[00:04:15.060 --> 00:04:16.060]  肯接受
[00:04:16.060 --> 00:04:18.460]  邀請耶穌住了兩天
[00:04:18.460 --> 00:04:23.060]  薩馬利亞那些人接受了耶穌
