
[00:00:00.000 --> 00:00:04.040]  今日的題目是馬太福音25章1到13節
[00:00:04.040 --> 00:00:06.520]  有人問我是否寫錯字
[00:00:06.520 --> 00:00:08.360]  是否我的燈需要油
[00:00:08.360 --> 00:00:10.800]  不是,是需要夠油
[00:00:10.800 --> 00:00:16.320]  2020年大家知道了,不用怎麼說
[00:00:16.320 --> 00:00:19.880]  是一個非常特別的一年
[00:00:19.880 --> 00:00:23.880]  當全世界都在奏同一首歌
[00:00:23.880 --> 00:00:26.440]  叫《疫苗之歌》
[00:00:26.440 --> 00:00:30.640]  全世界的人都在跳同一支舞
[00:00:30.640 --> 00:00:32.360]  這種情況是很特別的
[00:00:32.360 --> 00:00:33.760]  抗疫的舞
[00:00:33.760 --> 00:00:40.120]  當然全世界的人都在打同一種扣
[00:00:40.120 --> 00:00:43.160]  新冠肺瘤
[00:00:43.160 --> 00:00:46.000]  這個世界已經變得不再一樣
[00:00:46.000 --> 00:00:49.280]  和以前是很不同
[00:00:49.280 --> 00:00:51.240]  我喫到幾十歲的人退休
[00:00:51.240 --> 00:00:54.120]  都沒試過不能回教會
[00:00:54.120 --> 00:00:56.240]  就很特別
[00:00:56.240 --> 00:01:06.320]  所以我經常在網頁
[00:01:06.320 --> 00:01:09.320]  看到很多預言四起
[00:01:09.320 --> 00:01:14.280]  整個世界周圍有很多末世論走出來
[00:01:14.280 --> 00:01:15.640]  特別是《啓示錄》
[00:01:15.640 --> 00:01:18.680]  如果你看去年的《長年》
[00:01:18.680 --> 00:01:22.240]  很多地方都在說將來會怎樣
[00:01:22.240 --> 00:01:25.800]  是不是主耶穌再回來
[00:01:25.800 --> 00:01:28.760]  很興盛的末世論的講道
[00:01:28.760 --> 00:01:30.640]  我就留意了
[00:01:30.640 --> 00:01:31.880]  所以我就會想
[00:01:31.880 --> 00:01:34.360]  主耶穌聖經怎麼說呢
[00:01:34.360 --> 00:01:36.560]  我們一起讀這一段經文
[00:01:36.560 --> 00:01:39.040]  《馬太二十五章》第一到十三節
[00:01:39.040 --> 00:01:40.280]  預備起
[00:01:40.280 --> 00:01:46.240]  那時天國好比十個童女拿着燈出去迎接新郎
[00:01:46.240 --> 00:01:48.840]  其中有五個是愚拙的
[00:01:48.840 --> 00:01:50.640]  五個是聰明的
[00:01:50.640 --> 00:01:54.120]  愚拙的拿着燈卻沒有帶油
[00:01:54.120 --> 00:01:58.320]  聰明的拿着燈又剩了油在戲名裏
[00:01:58.320 --> 00:02:00.360]  新郎自言的時候
[00:02:00.360 --> 00:02:03.280]  他們都打頓睡着了
[00:02:03.280 --> 00:02:07.040]  半夜有人喊新郎來了
[00:02:07.040 --> 00:02:09.240]  你們出來迎接他
[00:02:09.240 --> 00:02:13.440]  那些童女就都起來挑亮他們的燈
[00:02:13.440 --> 00:02:15.680]  愚拙的最聰明的說
[00:02:15.680 --> 00:02:17.920]  請分點油給我們
[00:02:17.920 --> 00:02:21.640]  因爲我們的燈要滅了
[00:02:21.640 --> 00:02:23.200]  聰明的回答
[00:02:23.200 --> 00:02:26.040]  恐怕不夠你我用的
[00:02:26.040 --> 00:02:30.880]  你們還是自己去買油的那裏去買吧
[00:02:30.880 --> 00:02:33.000]  他們去買的時候
[00:02:33.000 --> 00:02:34.560]  新郎到了
[00:02:34.560 --> 00:02:39.280]  那預備好了的與他進去共赴宴席
[00:02:39.280 --> 00:02:40.760]  門就關了
[00:02:40.760 --> 00:02:43.400]  其餘的童女隨後也來了
[00:02:43.400 --> 00:02:45.480]  說主呀主呀
[00:02:45.480 --> 00:02:48.360]  給我們開門
[00:02:48.360 --> 00:02:49.720]  他卻回答
[00:02:49.720 --> 00:02:51.760]  我實在告訴你們
[00:02:51.760 --> 00:02:53.480]  我不認識你們
[00:02:53.480 --> 00:02:55.760]  所以你們要警醒
[00:02:55.760 --> 00:02:58.280]  因爲那日子那時辰
[00:02:58.280 --> 00:03:00.440]  你們不知道
[00:03:00.440 --> 00:03:01.960]  這一段經文
[00:03:01.960 --> 00:03:04.680]  其實是源於二十四章
[00:03:04.680 --> 00:03:06.480]  第一節開頭的時候
[00:03:06.480 --> 00:03:09.080]  耶穌與門徒在蓋蘭山
[00:03:09.080 --> 00:03:12.640]  在耶路撒冷上完聖殿一出來
[00:03:12.640 --> 00:03:13.440]  門徒就說
[00:03:13.440 --> 00:03:15.440]  好漂亮啊我們的聖殿
[00:03:15.440 --> 00:03:18.760]  但是耶穌好像很掃興地說了一句話
[00:03:18.760 --> 00:03:23.400]  將來沒有一塊石頭搭在另外一個石頭身上
[00:03:23.400 --> 00:03:29.600]  就產生了馬太的第五篇的講論
[00:03:29.600 --> 00:03:32.880]  馬太總共有五篇的講論
[00:03:32.880 --> 00:03:37.960]  今天我選的二十五章就是末日論
[00:03:37.960 --> 00:03:39.480]  門徒去問他
[00:03:39.480 --> 00:03:40.440]  私底下問他
[00:03:40.440 --> 00:03:43.400]  你說將來有事發生
[00:03:43.400 --> 00:03:47.280]  那什麼時候會出現這些情況
[00:03:47.280 --> 00:03:51.120]  你回來究竟有什麼預兆呢
[00:03:51.120 --> 00:03:52.160]  耶穌就說了
[00:03:52.160 --> 00:03:53.960]  總共有四種預兆
[00:03:53.960 --> 00:03:55.200]  發生在世界
[00:03:55.200 --> 00:03:56.920]  發生在中東
[00:03:56.920 --> 00:03:58.520]  發生在教會
[00:03:58.520 --> 00:04:01.200]  發生在天空
[00:04:01.200 --> 00:04:07.600]  接着二十五章就發出最後一個預言
[00:04:07.600 --> 00:04:10.600]  他用一個比喻作爲警告
[00:04:10.600 --> 00:04:13.120]  蓋蘭山有一個末日論
[00:04:13.120 --> 00:04:14.800]  其中一個就是
[00:04:14.800 --> 00:04:20.760]  完成這些預兆之後就有十個童女的比喻
[00:04:20.760 --> 00:04:26.200]  所以我要讓大家知道前後文的少少背景
[00:04:26.200 --> 00:04:28.200]  那有時候人們會怎樣呢
[00:04:28.200 --> 00:04:30.720]  究竟末世會是一個什麼樣的情況呢
[00:04:30.720 --> 00:04:34.320]  這個比喻的內容我們要注意些什麼呢
[00:04:34.320 --> 00:04:35.600]  他說那時
