
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹,新年快樂
[00:00:02.000 --> 00:00:06.000]  不單止新年這段時間快樂,是全年都快樂
[00:00:06.000 --> 00:00:08.000]  我們一起全年快樂好不好
[00:00:08.000 --> 00:00:12.000]  不單止全年快樂,我們要年年都快樂好不好
[00:00:12.000 --> 00:00:14.000]  為什麼要快樂呢?
[00:00:14.000 --> 00:00:19.000]  因為快樂才是最有力量見證主的一個力量
[00:00:19.000 --> 00:00:23.000]  聖經都是神所物是的
[00:00:23.000 --> 00:00:25.000]  於教訓督澤
[00:00:25.000 --> 00:00:28.000]  使人歸正,教導人學義,都是有益的
[00:00:28.000 --> 00:00:32.000]  叫屬神的人得以完全預備行各樣的善事
[00:00:32.000 --> 00:00:36.000]  我有一次和一個朋友去游泳的時間
[00:00:36.000 --> 00:00:39.000]  我們四人一起去對面的樹上游泳
[00:00:39.000 --> 00:00:41.000]  他很認真地游泳
[00:00:41.000 --> 00:00:46.000]  他拼命地游泳,水花四濺,青筋盡露
[00:00:46.000 --> 00:00:50.000]  當他喘氣的時候,他發現原來還在那裡
[00:00:50.000 --> 00:00:55.000]  很多時候我們發展教會
[00:00:57.000 --> 00:01:00.000]  我們水花四濺,青筋盡露
[00:01:00.000 --> 00:01:01.000]  很努力很勤力
[00:01:01.000 --> 00:01:05.000]  但是教會還是在那裡
[00:01:05.000 --> 00:01:08.000]  聚會人數也是這樣
[00:01:08.000 --> 00:01:11.000]  所有情況都是這樣,沒有變過的
[00:01:11.000 --> 00:01:14.000]  不是我這麼努力應該向前走嗎?
[00:01:14.000 --> 00:01:16.000]  不是應該游得更加遠一點嗎?
[00:01:16.000 --> 00:01:19.000]  除非我們真的懂得游泳
[00:01:19.000 --> 00:01:23.000]  否則,你只不過在水池裡面浪費精力
[00:01:25.000 --> 00:01:28.000]  我想介紹一下我自己是一個什麼樣的牧師
[00:01:28.000 --> 00:01:31.000]  我是一個拒絕奔波的牧師
[00:01:31.000 --> 00:01:35.000]  我是一個拒絕奔波擼鹿的牧師
[00:01:35.000 --> 00:01:40.000]  如果一個主任牧師時時都奔波擼鹿的話
[00:01:40.000 --> 00:01:44.000]  是對教會有害,而不是有益的
[00:01:44.000 --> 00:01:47.000]  奔波是因為沒有方向
[00:01:47.000 --> 00:01:50.000]  奔波缺乏了意象
[00:01:50.000 --> 00:01:52.000]  很多時候我們發覺我們人生
[00:01:52.000 --> 00:01:55.000]  已經奔波了很長很長的時間
[00:01:55.000 --> 00:01:58.000]  回頭看一看,究竟成就了什麼?
[00:01:58.000 --> 00:02:00.000]  達到了什麼?
[00:02:00.000 --> 00:02:04.000]  是不是上帝想要我們要過的生活
[00:02:04.000 --> 00:02:06.000]  要達到目標呢?
[00:02:06.000 --> 00:02:09.000]  很多時候教會花了很多力量
[00:02:09.000 --> 00:02:12.000]  但教會卻是原地踏步
[00:02:12.000 --> 00:02:16.000]  因為缺乏了焦點,缺乏了目標
[00:02:16.000 --> 00:02:19.000]  水本來是很軟弱的
[00:02:19.000 --> 00:02:23.000]  但當水聚焦的時候,可以將石頭都解破
[00:02:23.000 --> 00:02:26.000]  光本來沒有什麼力量
[00:02:26.000 --> 00:02:29.000]  但光聚焦的時候,可以在地球發射光束
[00:02:29.000 --> 00:02:33.000]  去到太空裡面去擊打一些衛星
[00:02:33.000 --> 00:02:37.000]  只要生命聚焦
[00:02:37.000 --> 00:02:40.000]  只要教會聚焦
[00:02:40.000 --> 00:02:42.000]  力量就在那裡
[00:02:42.000 --> 00:02:45.000]  我們人生要有果效
[00:02:45.000 --> 00:02:47.000]  教會發展要有果效
[00:02:47.000 --> 00:02:50.000]  其實並不複雜
[00:02:50.000 --> 00:02:52.000]  只要能夠掌握到
[00:02:52.000 --> 00:02:55.000]  上帝所給我們的教誨
[00:02:55.000 --> 00:02:57.000]  並且跟著去行
[00:02:57.000 --> 00:02:59.000]  教會就可以發展
[00:02:59.000 --> 00:03:03.000]  人生就充滿著光彩
[00:03:03.000 --> 00:03:08.000]  過去我牧養過三間教會
[00:03:08.000 --> 00:03:11.000]  我自問也是一個很勤力的牧師
[00:03:11.000 --> 00:03:15.000]  頭兩間教會都能夠增長一倍
[00:03:15.000 --> 00:03:17.000]  但第三間教會
[00:03:17.000 --> 00:03:20.000]  當我使用一本書給我教導的原則
[00:03:20.000 --> 00:03:22.000]  就是簡約教會這本書的時候
[00:03:22.000 --> 00:03:25.000]  我不單聽,而是實踐的時間
[00:03:25.000 --> 00:03:27.000]  將我開始聚焦的時間
[00:03:27.000 --> 00:03:29.000]  最後我牧養的教會
[00:03:29.000 --> 00:03:30.000]  不是最後
[00:03:30.000 --> 00:03:32.000]  第三間我牧養的教會
[00:03:32.000 --> 00:03:35.000]  是增長了四倍
[00:03:35.000 --> 00:03:39.000]  由四百多人增長到一千六百多人
[00:03:39.000 --> 00:03:42.000]  為什麼不同呢?
[00:03:42.000 --> 00:03:44.000]  因為聚焦
[00:03:44.000 --> 00:03:46.000]  一個發展的教會
[00:03:46.000 --> 00:03:47.000]  不是奔波勞碌
[00:03:47.000 --> 00:03:49.000]  每個人都喘氣
[00:03:49.000 --> 00:03:51.000]  青筋俊賢的教會
[00:03:51.000 --> 00:03:54.000]  而是充滿著快樂的
[00:03:54.000 --> 00:03:56.000]  是新年快樂
[00:03:56.000 --> 00:03:57.000]  全年快樂
[00:03:57.000 --> 00:04:00.000]  年年快樂的教會
[00:04:00.000 --> 00:04:02.000]  有時候我覺得作為主任牧師
[00:04:02.000 --> 00:04:05.000]  就好像一個營養師一樣
