
[00:00:00.000 --> 00:00:02.000]  1940年8月
[00:00:02.000 --> 00:00:06.000]  當時仍是日本侵華抗戰的時候
[00:00:06.000 --> 00:00:08.000]  在一場戰役裏面
[00:00:08.000 --> 00:00:11.000]  中國的八路軍攻佔了
[00:00:11.000 --> 00:00:16.000]  在山西日軍佔領區裏面一個井形煤礦
[00:00:16.000 --> 00:00:22.000]  但是敗走的日軍不斷地仍然向井形煤礦一帶發動猛烈的炮轟
[00:00:22.000 --> 00:00:26.000]  帶來的結果不單止八路軍有很多傷亡
[00:00:26.000 --> 00:00:35.000]  甚至連當時一個日本人在火車站的副站長的夫婦都被炸死
[00:00:35.000 --> 00:00:40.000]  八路軍在瓦礫裏面發現兩個日本女孩
[00:00:40.000 --> 00:00:43.000]  其中一個當時仍是嬰兒
[00:00:43.000 --> 00:00:47.000]  但是很不幸後來這位嬰兒救不回來
[00:00:47.000 --> 00:00:54.000]  剩下來的就是照片裏面這位當時四歲的日本小妹妹
[00:00:54.000 --> 00:01:01.000]  當時中國各方面的戰地指揮官是聶榮臻將軍
[00:01:01.000 --> 00:01:04.000]  當聶榮臻聽見這個妹妹的消息的時候
[00:01:04.000 --> 00:01:06.000]  他說了一句話
[00:01:06.000 --> 00:01:08.000]  他說戰爭是殘酷的
[00:01:08.000 --> 00:01:10.000]  但是女孩是無辜的
[00:01:10.000 --> 00:01:20.000]  於是他吩咐他的手下專心努力地保護這個小妹妹的安全
[00:01:20.000 --> 00:01:23.000]  馬上將她送回總部
[00:01:23.000 --> 00:01:25.000]  當她回到總部的時候
[00:01:25.000 --> 00:01:27.000]  聶榮臻馬上叫人煮粥
[00:01:27.000 --> 00:01:32.000]  然後他親自一口一口地餵這個小女孩
[00:01:32.000 --> 00:01:33.000]  但是自此之後
[00:01:33.000 --> 00:01:37.000]  這個日本小妹妹就不斷地拉著聶榮臻的褲腳
[00:01:37.000 --> 00:01:39.000]  無論她走到哪裏
[00:01:39.000 --> 00:01:41.000]  這個小妹妹就跟到哪裏
[00:01:41.000 --> 00:01:44.000]  聶榮臻本來打算留下這個小妹妹
[00:01:44.000 --> 00:01:46.000]  撫養她長大
[00:01:46.000 --> 00:01:48.000]  但是當時是戰爭時期
[00:01:48.000 --> 00:01:52.000]  他考慮對軍隊又艱苦又危險
[00:01:52.000 --> 00:01:55.000]  況且這個小妹妹已經開始懂事了
[00:01:55.000 --> 00:01:58.000]  硬把她留在一個不屬於她的國家
[00:01:58.000 --> 00:02:02.000]  怕她將來會為她帶來痛苦和隔閡
[00:02:02.000 --> 00:02:08.000]  於是就請一個百姓把她送回去當時
[00:02:08.000 --> 00:02:12.000]  日軍駐紮在石家莊的軍營
[00:02:12.000 --> 00:02:15.000]  希望她的親人可以接回她
[00:02:15.000 --> 00:02:16.000]  照顧她
[00:02:16.000 --> 00:02:18.000]  但是當這個小妹妹離開之後
[00:02:18.000 --> 00:02:20.000]  每一年的那個時候
[00:02:20.000 --> 00:02:23.000]  聶榮臻都掛念著這個小妹妹
[00:02:23.000 --> 00:02:24.000]  兵荒馬亂
[00:02:24.000 --> 00:02:26.000]  究竟這個小妹妹的安危
[00:02:26.000 --> 00:02:29.000]  她的處境會是怎樣呢
[00:02:29.000 --> 00:02:33.000]  其實當這個日本小妹妹留在中國軍隊的時候
[00:02:33.000 --> 00:02:36.000]  有兩位軍人悉心照顧她
[00:02:36.000 --> 00:02:39.000]  其中一個就是在照片裏面
[00:02:39.000 --> 00:02:41.000]  拿著一個竹筒
[00:02:41.000 --> 00:02:44.000]  將這個小妹妹一路這樣帶回總部
[00:02:44.000 --> 00:02:47.000]  這個軍人一路餵她吃東西
[00:02:47.000 --> 00:02:52.000]  用這個西瓜蘸砂糖一口一口地餵這個小妹妹
[00:02:52.000 --> 00:02:56.000]  並且一路悉心地照顧她
[00:02:56.000 --> 00:02:59.000]  其實這個軍人的母親
[00:02:59.000 --> 00:03:04.000]  沒有多久之前就被日軍殺害
[00:03:04.000 --> 00:03:06.000]  她家破人亡
[00:03:06.000 --> 00:03:10.000]  唯有投靠和參與了八路軍
[00:03:10.000 --> 00:03:14.000]  另外一個軍人就是每一晚拿著電筒
[00:03:14.000 --> 00:03:16.000]  為這個小妹妹蓋被子
[00:03:16.000 --> 00:03:19.000]  並且當他們送走這個小妹妹的時候
[00:03:19.000 --> 00:03:22.000]  她千叮萬囑叫他們路上小心
[00:03:22.000 --> 00:03:25.000]  並且記著和這個小妹妹趕烏鷹
[00:03:25.000 --> 00:03:28.000]  因為那裏有很多烏鷹氣憤著那些小朋友
[00:03:28.000 --> 00:03:34.000]  後來這個軍人很不幸地都被日軍殺害了
[00:03:34.000 --> 00:03:36.000]  四十年後
[00:03:36.000 --> 00:03:38.000]  一九八零年的四月
[00:03:38.000 --> 00:03:41.000]  有一個記者拿著剛才那三張照片
[00:03:41.000 --> 00:03:46.000]  去訪問當時已經成為國務院副總理的聶榮臻
[00:03:46.000 --> 00:03:51.000]  問他你認不認得照片裏面那個日本小妹妹
[00:03:51.000 --> 00:03:53.000]  聶榮臻望一望
[00:03:53.000 --> 00:03:56.000]  接著眼前一亮大聲地說認得
[00:03:56.000 --> 00:03:57.000]  幾天之後
[00:03:57.000 --> 00:04:01.000]  《解放日報》就報導這個故事
[00:04:01.000 --> 00:04:06.000]  標題是日本小姑娘你去了那裏
[00:04:06.000 --> 00:04:09.000]  接著經過《人民日報》的轉載
[00:04:09.000 --> 00:04:15.000]  為中國在日本的兩地帶來很大很大的迴響
[00:04:15.000 --> 00:04:17.000]  同年的五月
[00:04:17.000 --> 00:04:20.000]  日本的最大的報紙《讀賣新聞》
[00:04:20.000 --> 00:04:23.000]  就長篇報導這個故事
[00:04:23.000 --> 00:04:26.000]  接著幾天之後奇蹟就出現了
[00:04:26.000 --> 00:04:29.000]  原來這位日本的小姑娘的名字
[00:04:29.000 --> 00:04:33.000]  叫做加藤美瑞子
[00:04:33.000 --> 00:04:38.000]  加藤美瑞子原來當年她的伯父
[00:04:38.000 --> 00:04:42.000]  親自接回她去日本把她撫養成人
[00:04:42.000 --> 00:04:47.000]  那一天現在的美瑞子已經結了婚
[00:04:47.000 --> 00:04:50.000]  和她的丈夫經營五金生意
[00:04:50.000 --> 00:04:55.000]  並且育有三個小孩她的子女
[00:04:55.000 --> 00:04:58.000]  1980年7月14日
[00:04:58.000 --> 00:05:01.000]  美瑞子的全家訪問中國
[00:05:01.000 --> 00:05:06.000]  當她在會堂裏面見到聶榮臻的時候
[00:05:06.000 --> 00:05:11.000]  美瑞子哭得感動得哭一不成聲
[00:05:11.000 --> 00:05:14.000]  當她見到聶榮臻的時候
[00:05:14.000 --> 00:05:16.000]  大家握住大家的手
[00:05:16.000 --> 00:05:18.000]  很久很久都沒有放下
[00:05:18.000 --> 00:05:22.000]  美瑞子全家五口淚流滿面
[00:05:22.000 --> 00:05:24.000]  殘酷的戰爭
[00:05:24.000 --> 00:05:26.000]  惡劣的環境
[00:05:26.000 --> 00:05:30.000]  沒有辦法奪去神拜在人心裏面的善良
[00:05:30.000 --> 00:05:34.000]  也沒有辦法阻礙人與人之間的和好
[00:05:34.000 --> 00:05:36.000]  那種平安的追求
[00:05:36.000 --> 00:05:39.000]  同樣惡劣的環境沒有辦法阻礙
[00:05:39.000 --> 00:05:42.000]  我們今天講到的主角約西亞
[00:05:42.000 --> 00:05:44.000]  對神那種尋求的心
[00:05:44.000 --> 00:05:46.000]  約西亞是誰呢
[00:05:46.000 --> 00:05:49.000]  約西亞其實在約西亞的時代
[00:05:49.000 --> 00:05:51.000]  所羅門的帝國已經分裂成為
[00:05:51.000 --> 00:05:54.000]  南國猶大北國以色列
[00:05:54.000 --> 00:06:00.000]  約西亞就是南國猶大的第十六任軍王
[00:06:00.000 --> 00:06:02.000]  當他開始繼位的時候
[00:06:02.000 --> 00:06:07.000]  他一心想恢復對耶和華經拜的信仰
[00:06:07.000 --> 00:06:08.000]  第四個字
[00:06:08.000 --> 00:06:10.000]  談何容易呢
[00:06:10.000 --> 00:06:11.000]  為什麼呢
[00:06:11.000 --> 00:06:12.000]  因為有三個原因
[00:06:12.000 --> 00:06:13.000]  第一
[00:06:13.000 --> 00:06:16.000]  在約西亞做軍王的時候
[00:06:16.000 --> 00:06:18.000]  之前那個時候
[00:06:18.000 --> 00:06:23.000]  猶大子的國家已經超過六十年離棄了耶和華
[00:06:23.000 --> 00:06:24.000]  他們拜什麼呢
