
[00:00:00.000 --> 00:00:02.000]  幽悶的出路
[00:00:02.000 --> 00:00:07.000]  近年世界有很多不開心的事情
[00:00:07.000 --> 00:00:09.000]  有很多天災人禍
[00:00:09.000 --> 00:00:11.000]  面對得多的時候
[00:00:11.000 --> 00:00:13.000]  有時心情都會比較幽悶
[00:00:13.000 --> 00:00:15.000]  是不是
[00:00:15.000 --> 00:00:17.000]  幽悶 聖經這裡說
[00:00:17.000 --> 00:00:19.000]  幽悶出現了很多次
[00:00:19.000 --> 00:00:21.000]  聖經裏面
[00:00:21.000 --> 00:00:23.000]  剛才讀的
[00:00:23.000 --> 00:00:25.000]  出現了四次的幽悶
[00:00:25.000 --> 00:00:27.000]  四次的幽悶
[00:00:27.000 --> 00:00:29.000]  幽悶是什麼意思
[00:00:29.000 --> 00:00:32.000]  悲傷 沮喪
[00:00:32.000 --> 00:00:34.000]  很悲歎
[00:00:34.000 --> 00:00:37.000]  好像有些東西壓在心頭裏
[00:00:37.000 --> 00:00:40.000]  不安 消沉
[00:00:40.000 --> 00:00:42.000]  很灰心 氣餒
[00:00:42.000 --> 00:00:45.000]  很幽悶
[00:00:45.000 --> 00:00:47.000]  詩人其實真的表達到
[00:00:47.000 --> 00:00:49.000]  他的情緒很幽悶
[00:00:49.000 --> 00:00:52.000]  因為他不斷重複又重複
[00:00:52.000 --> 00:00:55.000]  就好像和你嘆氣
[00:00:55.000 --> 00:01:03.000]  唉 唉 唉
[00:01:03.000 --> 00:01:05.000]  他這樣和你表達
[00:01:05.000 --> 00:01:07.000]  很幽悶
[00:01:07.000 --> 00:01:09.000]  你感不感受到他心裏
[00:01:09.000 --> 00:01:11.000]  那份沮喪
[00:01:11.000 --> 00:01:13.000]  失落 不安
[00:01:13.000 --> 00:01:16.000]  詩篇四十二篇和四十三篇
[00:01:16.000 --> 00:01:17.000]  為什麼大家
[00:01:17.000 --> 00:01:19.000]  剛才叫大家一起讀
[00:01:19.000 --> 00:01:21.000]  連四十二篇四十三篇
[00:01:21.000 --> 00:01:23.000]  要讀完四十三篇呢
[00:01:23.000 --> 00:01:25.000]  回看的時候
[00:01:25.000 --> 00:01:29.000]  原來是同一個段落直下去的
[00:01:29.000 --> 00:01:31.000]  剛才主席很好
[00:01:31.000 --> 00:01:33.000]  幫我們分了三段
[00:01:33.000 --> 00:01:35.000]  這三段也是這首詩篇裏面
[00:01:35.000 --> 00:01:37.000]  三個大的分段
