
[00:00:00.000 --> 00:00:02.000]  從前我在教會侍奉的時候
[00:00:02.000 --> 00:00:04.000]  教會裏面有一位信徒
[00:00:04.000 --> 00:00:07.000]  他在侍奉上面是相當之忠誠
[00:00:07.000 --> 00:00:12.000]  每一項全奴同工託付他們來負責的工作
[00:00:12.000 --> 00:00:14.000]  他都能夠做得很好
[00:00:14.000 --> 00:00:17.000]  我仍然記得他負責大敬拜
[00:00:17.000 --> 00:00:19.000]  當他大敬拜之前
[00:00:19.000 --> 00:00:22.000]  他很細心地準備整個流程
[00:00:22.000 --> 00:00:25.000]  將每個項目每句說話都寫下
[00:00:25.000 --> 00:00:29.000]  他準備了一次又一次的彩排和練習
[00:00:29.000 --> 00:00:31.000]  以至整個敬拜
[00:00:31.000 --> 00:00:34.000]  彷彿像一個美麗的獻祭一樣
[00:00:34.000 --> 00:00:36.000]  參與在其中的時候
[00:00:36.000 --> 00:00:38.000]  深深地感受到神的同在
[00:00:38.000 --> 00:00:40.000]  神的月立
[00:00:40.000 --> 00:00:43.000]  他也是青年小組的組長
[00:00:43.000 --> 00:00:46.000]  他帶領了一個青年人的小組
[00:00:46.000 --> 00:00:48.000]  當我參與他的小組的時候
[00:00:48.000 --> 00:00:51.000]  我會為他所預備的破冰遊戲
[00:00:51.000 --> 00:00:53.000]  聖經的內容
[00:00:53.000 --> 00:00:55.000]  和他所準備的思考問題
[00:00:55.000 --> 00:00:57.000]  深深地吸引
[00:00:57.000 --> 00:01:00.000]  我對他的侍奉很欣賞
[00:01:00.000 --> 00:01:02.000]  他在學校裡成績優異
[00:01:02.000 --> 00:01:04.000]  以優異的成績入讀大學
[00:01:04.000 --> 00:01:08.000]  然後他投身在社會工作
[00:01:08.000 --> 00:01:10.000]  不過當他參與了社會工作之後
[00:01:10.000 --> 00:01:12.000]  沒多久有一次
[00:01:12.000 --> 00:01:14.000]  當他要上班的時候
[00:01:14.000 --> 00:01:17.000]  他忽然之間感到很大的懼怕
[00:01:17.000 --> 00:01:19.000]  甚至哭了出來
[00:01:19.000 --> 00:01:21.000]  就算上了巴士
[00:01:21.000 --> 00:01:23.000]  他都不太想下車
[00:01:23.000 --> 00:01:24.000]  很想回家
[00:01:24.000 --> 00:01:26.000]  甚至不太想見人
[00:01:26.000 --> 00:01:28.000]  結果他要看醫生
[00:01:28.000 --> 00:01:29.000]  吃藥
[00:01:29.000 --> 00:01:31.000]  也由那時候開始
[00:01:31.000 --> 00:01:34.000]  他需要放下在教會裡
[00:01:34.000 --> 00:01:37.000]  很多他原本負責的侍奉工作
[00:01:37.000 --> 00:01:39.000]  有時候回想起他
[00:01:39.000 --> 00:01:41.000]  就會有一種很可惜的感受
[00:01:41.000 --> 00:01:43.000]  我常常都疑問
[00:01:43.000 --> 00:01:45.000]  聖經不是告訴我們
[00:01:45.000 --> 00:01:48.000]  神賜給我們有一個生命
[00:01:48.000 --> 00:01:50.000]  這個生命是贖天的生命
[00:01:50.000 --> 00:01:54.000]  是充滿著從天上而來的喜樂的生命
[00:01:54.000 --> 00:01:57.000]  為什麼我們在神面前
[00:01:57.000 --> 00:01:59.000]  失去了這種喜樂的生命
[00:01:59.000 --> 00:02:03.000]  為什麼我們生命反而被很多憂慮捆綁
[00:02:03.000 --> 00:02:06.000]  成為了不能自由親近神的人
[00:02:06.000 --> 00:02:08.000]  今天很多信徒的生命
[00:02:08.000 --> 00:02:12.000]  沒有了我們原本應該有的喜樂和平安
[00:02:12.000 --> 00:02:17.000]  我們有的是被憂愁和困苦捆綁著
[00:02:17.000 --> 00:02:20.000]  很多信徒沒有了神兒女那份榮耀
[00:02:20.000 --> 00:02:24.000]  有的是我們的生命被生活所壓垮
[00:02:24.000 --> 00:02:27.000]  我們變成了殘存的人生
[00:02:27.000 --> 00:02:28.000]  今天我講到的題目是
[00:02:28.000 --> 00:02:30.000]  生命更新系列的三
[00:02:30.000 --> 00:02:32.000]  負誰的厄
[00:02:32.000 --> 00:02:33.000]  我想透過今天的講道
[00:02:33.000 --> 00:02:35.000]  和大家一起去思考
[00:02:35.000 --> 00:02:37.000]  去反思一下我們的生命
[00:02:37.000 --> 00:02:38.000]  為什麼會失去了自由
[00:02:38.000 --> 00:02:40.000]  失去了喜樂
[00:02:40.000 --> 00:02:41.000]  為什麼我們生命
[00:02:41.000 --> 00:02:44.000]  充滿著從不信而來的憂慮
[00:02:44.000 --> 00:02:45.000]  困苦
[00:02:45.000 --> 00:02:48.000]  我心願聖靈在我們生命當中
[00:02:48.000 --> 00:02:50.000]  更新我們
[00:02:50.000 --> 00:02:53.000]  讓我們再活出神兒女那份的自由喜樂
[00:02:53.000 --> 00:02:55.000]  讓很多信徒的生命
[00:02:55.000 --> 00:02:57.000]  流露著的是神那份的榮美
[00:02:57.000 --> 00:03:01.000]  而再不是生命當中很多的受苦勞煩
[00:03:01.000 --> 00:03:05.000]  讓我們一起在神面前有個禱告
[00:03:05.000 --> 00:03:09.000]  請主求聖靈在我們心靈當中充滿我們
[00:03:09.000 --> 00:03:11.000]  求聖靈開我們的眼睛
[00:03:11.000 --> 00:03:15.000]  將那些憂慮的霧撥走
[00:03:15.000 --> 00:03:19.000]  將捆綁著我們生命的擔子拿走
[00:03:19.000 --> 00:03:22.000]  讓我們深深體會在基督裡面那份喜樂
[00:03:22.000 --> 00:03:25.000]  神賜給我們喜樂的秘訣
[00:03:25.000 --> 00:03:26.000]  願祢祝福我們
[00:03:26.000 --> 00:03:29.000]  奉耶穌基督名求
[00:03:29.000 --> 00:03:31.000]  提到憂慮
[00:03:31.000 --> 00:03:35.000]  我們其實今天有很多新的名詞
[00:03:35.000 --> 00:03:37.000]  譬如我們用擔子
[00:03:37.000 --> 00:03:38.000]  壓力
[00:03:38.000 --> 00:03:39.000]  精神困擾
[00:03:39.000 --> 00:03:41.000]  這些不同的詞語
[00:03:41.000 --> 00:03:43.000]  這些詞語都不是在聖經裡面的
[00:03:43.000 --> 00:03:46.000]  聖經只是用了憂慮這個詞語
[00:03:46.000 --> 00:03:50.000]  聖經裡面用了負壓這個比方來形容
[00:03:50.000 --> 00:03:54.000]  我們承擔著很多壓力和很多擔子
[00:03:54.000 --> 00:03:57.000]  現代人面對著憂慮、壓力、擔子
[00:03:57.000 --> 00:04:00.000]  可以說是無處不在
[00:04:00.000 --> 00:04:04.000]  最近我看到報紙裡面有一段文章
[00:04:04.000 --> 00:04:09.000]  題目叫做旅行除生物揭壓力源頭
[00:04:09.000 --> 00:04:10.000]  這篇文章的內容
[00:04:10.000 --> 00:04:12.000]  就是透過一個小小的心理測驗
[00:04:12.000 --> 00:04:14.000]  來讓我們去反思一下
[00:04:14.000 --> 00:04:17.000]  我們所面對的壓力是什麼
[00:04:17.000 --> 00:04:19.000]  他提出一個很簡單的問題
[00:04:19.000 --> 00:04:21.000]  假如你要出門去遠行
[00:04:21.000 --> 00:04:24.000]  但是你漏了一件東西
