
[00:00:00.000 --> 00:00:02.000]  今天是父親節,很特別的日子
[00:00:02.000 --> 00:00:06.560]  神都安排我們按經卷去講
[00:00:06.560 --> 00:00:08.560]  所以今天講到雅各書第五章
[00:00:08.560 --> 00:00:11.200]  其中一個主要的內容是忍耐
[00:00:11.200 --> 00:00:14.000]  我發覺忍耐和父親很有關係
[00:00:14.000 --> 00:00:16.800]  我不知道有沒有父親是沒有發過脾氣的呢
[00:00:16.800 --> 00:00:18.800]  可能很少很少很少
[00:00:18.800 --> 00:00:21.200]  很好的爸爸可能會有
[00:00:21.200 --> 00:00:24.000]  但是在我的經驗或者我認識裡面
[00:00:24.000 --> 00:00:26.800]  大部分的男人都是有脾性的
[00:00:26.800 --> 00:00:29.360]  是好的,用得好是好的
[00:00:29.360 --> 00:00:31.360]  對於今天不公義的社會
[00:00:31.360 --> 00:00:32.800]  對於不公義的事情
[00:00:32.800 --> 00:00:34.160]  男人需要有憤怒
[00:00:34.160 --> 00:00:36.160]  但是在對的地方上
[00:00:36.160 --> 00:00:39.040]  但有時候我們的忍耐不足夠
[00:00:39.040 --> 00:00:44.800]  所以我們可能會發洩在不正確的地方
[00:00:44.800 --> 00:00:51.440]  我想問在座當中有沒有人不知道什麼是憤怒了呢
[00:00:51.440 --> 00:00:53.440]  請你舉手
[00:00:53.440 --> 00:00:55.440]  有沒有人不知道什麼是憤怒了
[00:00:55.440 --> 00:00:56.480]  有的,都有的
[00:00:56.480 --> 00:00:58.960]  有少許人不知道什麼是憤怒了
[00:00:58.960 --> 00:01:01.840]  憤怒了是一個電子遊戲
[00:01:01.840 --> 00:01:05.760]  或者是我們用ipad用手機電腦
[00:01:05.760 --> 00:01:07.360]  經常打的憤怒了
[00:01:07.360 --> 00:01:08.720]  其中一個遊戲
[00:01:08.720 --> 00:01:12.800]  全球下載量已經達到10億次以上
[00:01:12.800 --> 00:01:14.400]  就在中國有4億次
[00:01:14.400 --> 00:01:17.760]  4億人次去下載這個遊戲
[00:01:17.760 --> 00:01:20.960]  憤怒了其實玩的只是那個
[00:01:20.960 --> 00:01:22.640]  好像射擊的遊戲
[00:01:22.640 --> 00:01:25.120]  不過它的創意在於
[00:01:25.120 --> 00:01:26.880]  它被人偷了個彈
[00:01:26.880 --> 00:01:27.760]  所以它要報復
[00:01:27.760 --> 00:01:29.360]  所以要去射人
[00:01:29.360 --> 00:01:30.640]  去破壞人
[00:01:30.640 --> 00:01:32.560]  是一個憤怒的表達
[00:01:32.560 --> 00:01:35.200]  可能代表著很多人的內心世界
[00:01:35.200 --> 00:01:36.880]  很多事情它不滿
[00:01:36.880 --> 00:01:37.920]  所以它要報復
[00:01:37.920 --> 00:01:39.440]  它要攻擊別人
[00:01:39.440 --> 00:01:41.840]  可能攻擊有很多不同的形式
[00:01:41.840 --> 00:01:43.280]  就在這個凌晨
[00:01:43.280 --> 00:01:46.160]  剛剛大概8個小時之前
[00:01:46.160 --> 00:01:49.040]  在外東邨發生一個家庭暴力的事件
[00:01:49.040 --> 00:01:52.400]  一家四口都受傷
[00:01:52.400 --> 00:01:53.600]  不知道因為什麼事
[00:01:53.600 --> 00:01:57.280]  一個太太拿了張椅子
[00:01:57.280 --> 00:01:59.040]  扔在她老公那裡
[00:01:59.040 --> 00:02:00.480]  這個老公很憤怒
[00:02:00.480 --> 00:02:02.800]  於是拿了把菜刀出來
[00:02:02.800 --> 00:02:05.200]  砍在玻璃窗那裡
[00:02:05.200 --> 00:02:07.040]  於是玻璃四散
[00:02:07.040 --> 00:02:09.360]  落在9歲和3歲的兒子那裡
[00:02:09.360 --> 00:02:11.360]  一家四口都受傷
[00:02:11.360 --> 00:02:12.560]  就在這裏
[00:02:12.560 --> 00:02:15.200]  8、9個小時之前
[00:02:15.200 --> 00:02:17.280]  家庭原本是彼此相愛
[00:02:17.280 --> 00:02:20.080]  我們說父親母親兒女
[00:02:20.080 --> 00:02:22.240]  都應該互相去愛護
[00:02:22.240 --> 00:02:24.000]  但是也有很多事情
[00:02:24.000 --> 00:02:25.440]  很多原因
[00:02:25.440 --> 00:02:29.760]  令人的生命有一種負面的表達
[00:02:29.760 --> 00:02:31.680]  我們不知道什麼原因
[00:02:31.680 --> 00:02:33.680]  這些家庭應該互相相愛
[00:02:33.680 --> 00:02:36.320]  卻是互相傷害
[00:02:36.320 --> 00:02:37.840]  在聖經裏面
[00:02:37.840 --> 00:02:41.120]  提摩太前書一章八節裏說
[00:02:41.120 --> 00:02:42.400]  四章八節說到
[00:02:42.400 --> 00:02:44.880]  我願男人沒有憤怒
[00:02:44.880 --> 00:02:45.840]  沒有爭論
[00:02:45.840 --> 00:02:47.200]  舉起聖潔的手
[00:02:47.200 --> 00:02:49.120]  隨處禱告
[00:02:49.120 --> 00:02:50.560]  這是聖經的教導
[00:02:50.560 --> 00:02:52.400]  這是聖經的心願
[00:02:52.400 --> 00:02:55.040]  我們不是隨便發洩憤怒
[00:02:55.040 --> 00:02:56.800]  反而是常常禱告
[00:02:56.800 --> 00:02:59.200]  求神幫助
[00:02:59.200 --> 00:03:01.520]  雅各書說到很多試探和試煉
[00:03:01.520 --> 00:03:03.760]  人生的確有很多試探試煉
[00:03:03.760 --> 00:03:05.360]  無論在宗教上
[00:03:05.360 --> 00:03:07.440]  在人際關係上
[00:03:07.440 --> 00:03:08.720]  甚至在教會裏面
[00:03:08.720 --> 00:03:11.200]  都很多試探和試煉
[00:03:11.200 --> 00:03:12.880]  在這些章歷裏面
[00:03:12.880 --> 00:03:17.600]  人會發出一些負面情緒的表達
[00:03:17.600 --> 00:03:20.240]  是很多很多的形式
[00:03:20.240 --> 00:03:22.240]  今天我不知道我們在當中
[00:03:22.240 --> 00:03:25.680]  你過往是怎樣去表達你的情緒
[00:03:25.680 --> 00:03:27.200]  在很多的人際關係裏面
[00:03:27.200 --> 00:03:29.440]  特別容易地彰顯出來
[00:03:29.440 --> 00:03:30.320]  在家庭裏面
[00:03:30.320 --> 00:03:31.520]  在工作的環境
[00:03:31.520 --> 00:03:32.720]  在學校裏面
[00:03:32.720 --> 00:03:33.760]  在社會
[00:03:33.760 --> 00:03:36.160]  甚至今天我們上網
[00:03:36.160 --> 00:03:37.440]  我們經常上網的人
[00:03:37.440 --> 00:03:38.480]  經常都看這些
