
[00:00:00.000 --> 00:00:01.140]  (主席) 看節目做安
[00:00:01.140 --> 00:00:05.560]  (主席) 我今年揀了一些詩篇去思想神的話語
[00:00:05.560 --> 00:00:09.280]  (主席) 詩篇34篇其中一段很著名的經文就是
[00:00:09.280 --> 00:00:11.780]  (主席) 你們要嘗嘗主因的滋味
[00:00:11.780 --> 00:00:13.780]  (主席) 便知道他是美善
[00:00:13.780 --> 00:00:16.520]  (主席) 投靠他的人有福了
[00:00:16.520 --> 00:00:19.840]  (主席) 這句其實就是一個命令來的
[00:00:19.840 --> 00:00:23.320]  (主席) 來嘗嘗 來看看
[00:00:23.320 --> 00:00:26.020]  (主席) 去經歷一下神是美善
[00:00:26.020 --> 00:00:30.020]  (主席) 如果你願意去經歷神美善的時候
[00:00:30.020 --> 00:00:33.500]  (主席) 你投靠神的人是有福的
[00:00:33.500 --> 00:00:37.980]  (主席) 詩篇是充滿了很多感恩為主作見證
[00:00:37.980 --> 00:00:39.580]  (主席) 在《差傳閱》裡面
[00:00:39.580 --> 00:00:42.380]  (主席) 其中我們就算是在近處到遠處
[00:00:42.380 --> 00:00:45.420]  (主席) 我們都是去學習神給我們恩典之後
[00:00:45.420 --> 00:00:49.460]  (主席) 我們去感恩 去經歷神 去為主作見證
[00:00:49.460 --> 00:00:51.220]  (主席) 詩篇開頭一句就說
[00:00:51.220 --> 00:00:54.780]  (主席) 我要時時稱頌耶華
[00:00:54.780 --> 00:00:56.500]  (主席) 接著去到第三節
[00:00:56.500 --> 00:00:59.300]  (主席) 下面間諸紅色紙是讀
[00:00:59.300 --> 00:01:02.500]  (主席) 你們和我 當稱耶華為大
[00:01:02.500 --> 00:01:04.580]  (主席) 一同高舉他的名
[00:01:04.580 --> 00:01:07.460]  (主席) 這個都是命令動詞
[00:01:07.460 --> 00:01:10.300]  (主席) 就是說我們要去高舉神
[00:01:10.300 --> 00:01:12.620]  (主席) 所以詩人除了講到自己的感恩
[00:01:12.620 --> 00:01:15.900]  (主席) 其實是整個詩篇去教導和呼召
[00:01:15.900 --> 00:01:19.700]  (主席) 頌弟兄姊妹 頌神的子民去感恩
[00:01:19.700 --> 00:01:22.140]  (主席) 所以這個詩篇可以說是分兩段
[00:01:22.140 --> 00:01:23.740]  (主席) 一段是講到感恩見證
[00:01:23.740 --> 00:01:25.540]  (主席) 一方面是講到教導
[00:01:25.540 --> 00:01:28.060]  (主席) 這個詩篇裡面講到很多的感恩
[00:01:28.060 --> 00:01:31.620]  (主席) 也呼籲人去投靠經歷神的恩典
[00:01:31.620 --> 00:01:33.660]  (主席) 也教導人去行善
