
[00:00:00.000 --> 00:00:05.420]  今天我們所講的信息也是繼續上一講
[00:00:05.420 --> 00:00:07.420]  教會是什麼
[00:00:07.420 --> 00:00:10.420]  教會對我們每一位都很熟悉
[00:00:10.420 --> 00:00:12.420]  常來教會更熟悉
[00:00:12.420 --> 00:00:18.420]  但是我願意從聖經中幾段的經文跟各位一起分享
[00:00:18.420 --> 00:00:23.420]  上次我們是用馬太福音的十六章和各位一起分享
[00:00:23.420 --> 00:00:27.420]  我們提到教會不是社團
[00:00:27.420 --> 00:00:33.420]  教會不是任何的機構
[00:00:33.420 --> 00:00:35.420]  屬地的機構
[00:00:35.420 --> 00:00:37.420]  也不是任何的同鄉會
[00:00:37.420 --> 00:00:41.420]  教會乃是屬耶穌基督的
[00:00:41.420 --> 00:00:46.420]  教會也是耶穌基督自己要建立的
[00:00:46.420 --> 00:00:48.420]  所以上一講講到
[00:00:48.420 --> 00:00:52.420]  所有權是屬於主
[00:00:52.420 --> 00:00:55.420]  是主自己要來建立他的教會
[00:00:55.420 --> 00:00:58.420]  以真理來建立教會
[00:00:58.420 --> 00:01:01.420]  那今天我們所讀的經文也是一節
[00:01:01.420 --> 00:01:05.420]  就在使徒行傳的二十章短短的一節
[00:01:05.420 --> 00:01:09.420]  那這裏講到教會是什麼
[00:01:09.420 --> 00:01:14.420]  教會是他用自己的血所買來的
[00:01:14.420 --> 00:01:18.420]  所以今天我的講章裏面
[00:01:18.420 --> 00:01:25.420]  在大綱
[00:01:25.420 --> 00:01:27.420]  沒有關係 這邊有就可以了
[00:01:27.420 --> 00:01:29.420]  我不一定要看後面的
[00:01:29.420 --> 00:01:33.420]  說不定早上英文堂他們
[00:01:33.420 --> 00:01:36.420]  從這個教會的定義裏面
[00:01:36.420 --> 00:01:39.420]  我們看到就是在希臘文
[00:01:39.420 --> 00:01:41.420]  這個教會這個字
[00:01:41.420 --> 00:01:43.420]  在新約聖經裏面
[00:01:43.420 --> 00:01:49.420]  他用ecclesia這個字所寫成的
[00:01:49.420 --> 00:01:53.420]  所以這個字裏面分兩個不同的字
[00:01:53.420 --> 00:01:55.420]  所拼合起來
[00:01:55.420 --> 00:01:57.420]  第一個是ic
[00:01:57.420 --> 00:02:00.420]  這個字是true
[00:02:00.420 --> 00:02:02.420]  true這個意思
[00:02:02.420 --> 00:02:04.420]  那ecclesia這個字是call
[00:02:04.420 --> 00:02:06.420]  就是呼召
[00:02:06.420 --> 00:02:08.420]  就是呼喚
[00:02:08.420 --> 00:02:18.420]  那這個字其實不是使徒們發明出來的
[00:02:18.420 --> 00:02:24.420]  不是像今天我們在國內
[00:02:24.420 --> 00:02:27.420]  有很多名詞是創新的
[00:02:27.420 --> 00:02:29.420]  什麼低頭族
[00:02:29.420 --> 00:02:31.420]  不是月光族
[00:02:31.420 --> 00:02:34.420]  不是這種產生出來
[00:02:34.420 --> 00:02:36.420]  就本來就有
[00:02:36.420 --> 00:02:39.420]  原來就有的字
[00:02:39.420 --> 00:02:41.420]  使徒們
[00:02:41.420 --> 00:02:43.420]  聖經
[00:02:43.420 --> 00:02:49.420]  就以這個字用在聖經裏面的特別真理來講
[00:02:49.420 --> 00:02:51.420]  其實這個字在當時
[00:02:51.420 --> 00:02:55.420]  這個詞彙是一個很普遍的詞彙
