
[00:00:00.000 --> 00:00:04.880]  好 我先讀出今天講道的經文
[00:00:04.880 --> 00:00:11.820]  在羅馬書第8章26至第29節
[00:00:11.820 --> 00:00:14.780]  如果你有聖經可以一起翻開
[00:00:14.780 --> 00:00:21.120]  在羅馬書第8章26至第29節
[00:00:21.120 --> 00:00:23.000]  請聽我讀出
[00:00:23.000 --> 00:00:25.180]  同樣 我們的聖靈
[00:00:25.180 --> 00:00:27.980]  我們婉約有聖靈幫助
[00:00:27.980 --> 00:00:31.580]  我們本不曉得怎樣禱告
[00:00:31.580 --> 00:00:34.180]  但是聖靈親自用說
[00:00:34.180 --> 00:00:37.980]  無可言語的嘆息替我們祈求
[00:00:37.980 --> 00:00:42.640]  那監察人心知道聖靈所體貼的
[00:00:42.640 --> 00:00:45.500]  因為聖靈照著上帝的旨意
[00:00:45.500 --> 00:00:47.980]  替眾聖徒祈禱
[00:00:47.980 --> 00:00:50.880]  我們知道萬事都互相效力
[00:00:50.880 --> 00:00:53.680]  叫愛上帝的人得益處
[00:00:53.680 --> 00:00:56.380]  就是按他旨意被照的
[00:00:56.380 --> 00:00:59.380]  因為他所預知的人
[00:00:59.380 --> 00:01:00.880]  他也預定
[00:01:00.880 --> 00:01:03.480]  他們效法他兒子的榜樣
[00:01:03.480 --> 00:01:07.680]  使他兒子作許多弟兄中的長子
[00:01:07.680 --> 00:01:10.580]  今天很開心來到當中
[00:01:10.580 --> 00:01:16.480]  剛才領師也唱了一首關於聖靈的詩歌
[00:01:16.480 --> 00:01:22.580]  這段經文是我近來經常反覆思考
[00:01:22.580 --> 00:01:26.580]  也希望用自己的見證去分享
[00:01:26.580 --> 00:01:30.880]  我記得很久以前
[00:01:30.880 --> 00:01:34.380]  教會界也很流行說聖靈工作
[00:01:34.380 --> 00:01:38.380]  我有一次在這麼熱鬧的場面裡
[00:01:38.380 --> 00:01:40.880]  問了我其中一個學生
[00:01:40.880 --> 00:01:45.980]  你告訴我聖靈工作是什麼
[00:01:45.980 --> 00:01:50.180]  這個學生知吾以對了一段時間之後
[00:01:50.180 --> 00:01:54.980]  回答了一個我覺得是很現代和很後現代的說法
[00:01:54.980 --> 00:01:56.980]  他說了一句
[00:01:56.980 --> 00:02:00.480]  總之我感覺到 你不要理我
[00:02:00.480 --> 00:02:02.580]  整個話題就結束了
[00:02:02.580 --> 00:02:07.480]  彷彿讓我覺得聖靈是不能夠言說
[00:02:07.480 --> 00:02:10.580]  只能夠經歷一種很溫暖的感覺
[00:02:10.580 --> 00:02:12.380]  就結束了
[00:02:12.380 --> 00:02:15.380]  但在聖經裡卻是說
[00:02:15.380 --> 00:02:17.380]  聖靈在我們當中
[00:02:17.380 --> 00:02:20.880]  特別是在末後的世代做了很多很重要的事
[00:02:20.880 --> 00:02:23.580]  更加重要的是祂是上帝
[00:02:23.580 --> 00:02:24.780]  聖靈是上帝
[00:02:24.780 --> 00:02:27.780]  今天就用這幾節的經文
[00:02:27.780 --> 00:02:29.180]  我們輕輕看一下
[00:02:29.180 --> 00:02:31.680]  其實聖靈在這個末後世代
[00:02:31.680 --> 00:02:34.080]  特別是在我們現在這個世代
[00:02:34.080 --> 00:02:36.880]  怎樣去幫助我們
[00:02:36.880 --> 00:02:39.980]  一開始在第26節說
[00:02:39.980 --> 00:02:41.480]  聖靈去幫助我們
[00:02:41.480 --> 00:02:43.780]  在我們的嘆息裡面
[00:02:43.780 --> 00:02:46.280]  去為我們祈禱
[00:02:46.280 --> 00:02:47.780]  那麼
[00:02:47.780 --> 00:02:50.180]  聖靈也有一個原文叫呼氣
[00:02:50.180 --> 00:02:53.380]  就是吹出來或者是嘆息
[00:02:53.380 --> 00:02:55.280]  其實我每次讀到這段經文
[00:02:55.280 --> 00:02:58.680]  我都很想邀請頂梓梅現在在這個位置
[00:02:58.680 --> 00:03:01.980]  我數三聲大家一起嘆一嘆氣
[00:03:01.980 --> 00:03:02.680]  準備
[00:03:02.680 --> 00:03:03.380]  1
[00:03:03.380 --> 00:03:03.680]  2
[00:03:03.680 --> 00:03:05.080]  3
[00:03:05.080 --> 00:03:05.880]  唉
[00:03:05.880 --> 00:03:07.280]  對了
[00:03:07.280 --> 00:03:10.380]  其實嘆氣很舒服
[00:03:10.380 --> 00:03:12.780]  嗯
[00:03:12.780 --> 00:03:15.180]  我小時候跟阿公一起住
[00:03:15.180 --> 00:03:18.680]  我阿公無緣無故都會嘆氣
[00:03:18.680 --> 00:03:21.380]  他看完電視有嘆氣
[00:03:21.380 --> 00:03:22.580]  看完報紙有嘆氣
[00:03:22.580 --> 00:03:23.880]  睡覺有嘆氣
[00:03:23.880 --> 00:03:26.680]  我就問我阿公你為什麼嘆氣
[00:03:26.680 --> 00:03:28.480]  他通常會回答我
[00:03:28.480 --> 00:03:30.480]  做人辛苦
[00:03:30.480 --> 00:03:33.380]  我有一次就學他
[00:03:33.380 --> 00:03:36.280]  我就扮他嘆氣
[00:03:36.280 --> 00:03:39.080]  我嘆完氣之後我阿公又罵我
[00:03:39.080 --> 00:03:41.680]  他說你這麼小的時候嘆什麼氣
[00:03:41.680 --> 00:03:44.380]  我真的扮的
[00:03:44.380 --> 00:03:46.580]  但我發覺越來越大的時候
[00:03:46.580 --> 00:03:48.880]  原來人開始嘆氣
[00:03:48.880 --> 00:03:52.880]  即是說原來第一個嘆氣不是聖靈
[00:03:52.880 --> 00:03:55.980]  在羅馬書前幾節
[00:03:55.980 --> 00:03:58.380]  二十一節
[00:03:58.380 --> 00:04:02.780]  他講到原來首先嘆氣是我們
[00:04:02.780 --> 00:04:04.180]  我和你
[00:04:04.180 --> 00:04:05.180]  為什麼呢
[00:04:05.180 --> 00:04:07.980]  因為我和你作為受造之物
[00:04:07.980 --> 00:04:09.280]  作為人類
[00:04:09.280 --> 00:04:11.580]  原來我們都伏在一個短暫
[00:04:11.580 --> 00:04:14.380]  痛苦和虛空的世界裏面
[00:04:14.380 --> 00:04:16.480]  當我們伏在這個短暫
[00:04:16.480 --> 00:04:18.480]  痛苦和虛空的世界裏面
[00:04:18.480 --> 00:04:20.880]  我們體認到那種無奈
[00:04:20.880 --> 00:04:23.380]  所以我們就不期然嘆氣
[00:04:23.380 --> 00:04:24.580]  嘆氣上來
