
[00:00:00.000 --> 00:00:03.580]  頂耳媒平安
[00:00:03.580 --> 00:00:05.880]  在分享上帝的話之前
[00:00:05.880 --> 00:00:09.480]  我想問大家幾個問題
[00:00:09.480 --> 00:00:13.320]  希望大家都可以想一想
[00:00:13.320 --> 00:00:14.840]  作為基督徒
[00:00:14.840 --> 00:00:19.460]  我相信我們都經歷上帝很多的恩典
[00:00:19.460 --> 00:00:21.760]  在你生命裏面
[00:00:21.760 --> 00:00:25.080]  你覺得上帝給了你最寶貴
[00:00:25.080 --> 00:00:37.120]  你最珍惜、最重視的是甚麼呢?
[00:00:37.120 --> 00:00:39.920]  在你的信仰歷程裏面
[00:00:39.920 --> 00:00:44.280]  你有否經歷過一些你很渴求、渴望
[00:00:44.280 --> 00:00:49.400]  你很想上帝回應的一些事情
[00:00:49.400 --> 00:00:51.960]  你祈禱了很久
[00:00:51.960 --> 00:00:57.340]  上帝有沒有回答你呢?
[00:00:57.340 --> 00:00:59.640]  上帝回應了的
[00:00:59.640 --> 00:01:05.780]  你如何看待這些事情?
[00:01:05.780 --> 00:01:07.580]  如果上帝說
[00:01:07.580 --> 00:01:09.620]  是我賜給你的
[00:01:09.620 --> 00:01:14.240]  今天我要收回
[00:01:14.240 --> 00:01:21.140]  你覺得你會有甚麼感受、有甚麼回應呢?
[00:01:21.140 --> 00:01:23.440]  對我們來說可能我們會覺得
[00:01:23.440 --> 00:01:24.980]  上帝給了我們很多的恩典
[00:01:24.980 --> 00:01:27.040]  這也是事實
[00:01:27.040 --> 00:01:29.840]  但是我們如何看待
[00:01:29.840 --> 00:01:33.680]  這些恩典、這些恩惠
[00:01:33.680 --> 00:01:37.280]  可能我們覺得最寶貴的就是我的生命
[00:01:37.280 --> 00:01:39.580]  生命裏面有很多方面
[00:01:39.580 --> 00:01:45.460]  包括我的才幹、我的恩賜、我的能力
[00:01:45.460 --> 00:01:48.280]  又或者是一些人
[00:01:48.280 --> 00:01:54.680]  我們的家人、配偶、兒女等等
[00:01:54.680 --> 00:02:02.620]  但是這一切豈不是都是上帝的嗎?
[00:02:02.620 --> 00:02:04.920]  最近可能網上有一段文字
[00:02:04.920 --> 00:02:08.000]  很多弟兄姊妹都有看過
[00:02:08.000 --> 00:02:10.040]  有一個小朋友
[00:02:10.040 --> 00:02:16.180]  他左手握著一個又大又漂亮的雪梨
[00:02:16.180 --> 00:02:19.500]  右手呢?同樣
[00:02:19.500 --> 00:02:21.300]  一個很大、很漂亮
[00:02:21.300 --> 00:02:25.400]  你看到都想咬一口的雪梨
[00:02:25.400 --> 00:02:28.980]  他兩隻手握著這個雪梨的時候
[00:02:28.980 --> 00:02:32.820]  他的媽媽就說了一句話
[00:02:32.820 --> 00:02:36.400]  你可不可以給我一個?
[00:02:36.400 --> 00:02:42.040]  你猜小朋友會怎樣?
[00:02:42.040 --> 00:02:47.400]  要不就藏起來,要不就問你左手還是右手
[00:02:47.400 --> 00:02:51.640]  誰不知小朋友在左手的雪梨那裏
[00:02:51.640 --> 00:02:54.320]  咬了一口
[00:02:54.320 --> 00:02:57.660]  媽媽都還沒回應的時候
[00:02:57.660 --> 00:03:02.780]  右手的雪梨又咬了一口
[00:03:02.780 --> 00:03:05.340]  我們在座很多媽媽
[00:03:05.340 --> 00:03:08.400]  如果你的小朋友這樣的表現
[00:03:08.400 --> 00:03:10.720]  你覺得你當時會有什麼反應?
[00:03:10.720 --> 00:03:16.860]  有什麼感受?
[00:03:16.860 --> 00:03:18.140]  當然
[00:03:18.140 --> 00:03:20.960]  其實那段文字的原意
[00:03:20.960 --> 00:03:22.240]  就是說
[00:03:22.240 --> 00:03:23.260]  其實
[00:03:23.260 --> 00:03:26.340]  我們看事情不要看表面
[00:03:26.340 --> 00:03:27.880]  不要這麼快判斷
[00:03:27.880 --> 00:03:28.900]  為什麼呢?
[00:03:28.900 --> 00:03:31.720]  接著那個小朋友還跟媽媽說
[00:03:31.720 --> 00:03:33.760]  媽媽你吃這個
[00:03:33.760 --> 00:03:37.080]  這個甜一點
[00:03:37.080 --> 00:03:38.360]  當然
[00:03:38.360 --> 00:03:41.680]  這個文字本身有他自己的重點
