
[00:00:00.000 --> 00:00:05.000]  大家好,很高興再次能夠在這裡跟大家分享聖經的話語
[00:00:05.000 --> 00:00:12.000]  今天選擇這個題目仍然可能很貼切我們的處境
[00:00:12.000 --> 00:00:17.000]  如果我們細心回望過去這幾年的生活
[00:00:17.000 --> 00:00:21.000]  的確很多人都會說一句困難重重
[00:00:21.000 --> 00:00:23.000]  一波未平一波又起
[00:00:23.000 --> 00:00:26.000]  有大事發生在我們的周遭社會
[00:00:26.000 --> 00:00:29.000]  亦都可能在我們個人生命裏面
[00:00:29.000 --> 00:00:31.000]  很多的歷程不同的階段
[00:00:31.000 --> 00:00:34.000]  都會出現很多的艱難和挑戰
[00:00:34.000 --> 00:00:37.000]  或者這就是人生的現實
[00:00:37.000 --> 00:00:40.000]  傳祖師經常這樣說
[00:00:40.000 --> 00:00:42.000]  萬事都有定時
[00:00:42.000 --> 00:00:44.000]  哭有時笑有時
[00:00:44.000 --> 00:00:46.000]  正正就是在這個現實當中
[00:00:46.000 --> 00:00:48.000]  我們怎樣去用什麼眼光
[00:00:48.000 --> 00:00:51.000]  用什麼態度去面對這個現實呢
[00:00:51.000 --> 00:00:58.000]  我們從歷史裏面看到一個很有意思的一個繁盛
[00:00:58.000 --> 00:01:02.000]  我們透過今次這個段落裏面
[00:01:02.000 --> 00:01:04.000]  猶太人回歸的故事裏面
[00:01:04.000 --> 00:01:08.000]  他們怎樣去呈現出在面對困難之下
[00:01:08.000 --> 00:01:11.000]  怎樣去走下去
[00:01:11.000 --> 00:01:15.000]  我相信我們從以色列經裏面一直看的時候
[00:01:15.000 --> 00:01:21.000]  都看到有這個秘魯流放在外地
[00:01:21.000 --> 00:01:24.000]  然後經過幾十年
[00:01:24.000 --> 00:01:26.000]  突然之間能夠有回歸的日子
[00:01:26.000 --> 00:01:29.000]  的確換來猶太人的興奮
[00:01:29.000 --> 00:01:33.000]  但是當他們去面對新的一頁的時候
[00:01:33.000 --> 00:01:36.000]  又發覺原來當中是困難重重的
[00:01:36.000 --> 00:01:41.000]  我們上星期看到左傳道來分享當中
[00:01:41.000 --> 00:01:43.000]  他們回歸了
[00:01:43.000 --> 00:01:45.000]  他們開始了聖殿的工作
[00:01:45.000 --> 00:01:50.000]  但是又遭到一些人的阻撓
[00:01:50.000 --> 00:01:54.000]  這班人來到說我想有份的
[00:01:54.000 --> 00:01:58.000]  但是按照上帝給這班猶太人的心智
[00:01:58.000 --> 00:02:00.000]  他們的堅持
[00:02:00.000 --> 00:02:01.000]  他們的原則
[00:02:01.000 --> 00:02:02.000]  他們的信念
[00:02:02.000 --> 00:02:04.000]  他拒絕
[00:02:04.000 --> 00:02:07.000]  是上帝叫我們來做的
[00:02:07.000 --> 00:02:09.000]  他們親手完成的
[00:02:09.000 --> 00:02:10.000]  一個很重視的
[00:02:10.000 --> 00:02:12.000]  一個很慎重的決定
[00:02:12.000 --> 00:02:15.000]  一個很堅決的決定
[00:02:15.000 --> 00:02:17.000]  就是上個星期
[00:02:17.000 --> 00:02:20.000]  左傳道跟我們分享的歷史片段
[00:02:20.000 --> 00:02:22.000]  而今天分享的這段片段
[00:02:22.000 --> 00:02:28.000]  就是由第四章的六節至二十三節的片段
[00:02:28.000 --> 00:02:29.000]  這個片段
[00:02:29.000 --> 00:02:32.000]  如果我們從聖經裡面來說
[00:02:32.000 --> 00:02:34.000]  是一個很特別的地方
[00:02:34.000 --> 00:02:38.000]  因為按照整個的時序來看
[00:02:38.000 --> 00:02:41.000]  這個時序是顛倒了的
[00:02:41.000 --> 00:02:48.000]  因為戴留士在阿哈徐老和阿達薛西之前
[00:02:48.000 --> 00:02:52.000]  剛剛就在說聖殿停工的事
[00:02:52.000 --> 00:02:54.000]  但是為什麼會插了一段
[00:02:54.000 --> 00:02:57.000]  是在說聖神的干擾呢
[00:02:57.000 --> 00:02:58.000]  這個是在說干擾
[00:02:58.000 --> 00:03:02.000]  然後去到第四章的二十四節
[00:03:02.000 --> 00:03:04.000]  又再次來說
[00:03:04.000 --> 00:03:08.000]  於是再次耶路撒冷神的電工程就停止了
[00:03:08.000 --> 00:03:11.000]  釋經的學者在這段裡面就稱之為
[00:03:11.000 --> 00:03:13.000]  其中一個的聖經難題
[00:03:13.000 --> 00:03:15.000]  究竟在記事裡面
[00:03:15.000 --> 00:03:17.000]  作者有什麼榮譽呢
[00:03:17.000 --> 00:03:20.000]  為什麼有這樣的配置呢
[00:03:20.000 --> 00:03:23.000]  這個也是今天我們在探索之前
[00:03:23.000 --> 00:03:24.000]  經文的內容之前
[00:03:24.000 --> 00:03:28.000]  我們要去了解的一個地方
[00:03:28.000 --> 00:03:29.000]  但是無論如何
[00:03:29.000 --> 00:03:31.000]  在這段經文裡面
[00:03:31.000 --> 00:03:32.000]  獨立來看
[00:03:32.000 --> 00:03:34.000]  六節至二十三節裡面
[00:03:34.000 --> 00:03:43.000]  講了一個他們拒絕外人參與之後帶來的後果
[00:03:43.000 --> 00:03:45.000]  我們有堅持
[00:03:45.000 --> 00:03:47.000]  有我們自己的原則
[00:03:47.000 --> 00:03:52.000]  但是有時候堅持一定會有影響
[00:03:52.000 --> 00:03:55.000]  帶來很大很大的影響
[00:03:55.000 --> 00:03:59.000]  帶來後果嚴重的影響
[00:03:59.000 --> 00:04:02.000]  怎樣來繼續下去呢
[00:04:02.000 --> 00:04:04.000]  我們透過這段歷史
[00:04:04.000 --> 00:04:08.000]  我今天想和大家探索當中的一些細節
[00:04:08.000 --> 00:04:10.000]  一個思考
[00:04:10.000 --> 00:04:14.000]  或者我們一起來同心討告
[00:04:14.000 --> 00:04:19.000]  秋主我們祈求祢讓我們有祢而來的啟發
[00:04:19.000 --> 00:04:22.000]  讓我們能夠在歷史當中
[00:04:22.000 --> 00:04:26.000]  去尋索上帝你介入我們生命裡面的時候
[00:04:26.000 --> 00:04:28.000]  給我們的提示
[00:04:28.000 --> 00:04:31.000]  怎樣我們能夠在祢的召命當中
[00:04:31.000 --> 00:04:33.000]  在祢的呼喚裡面
[00:04:33.000 --> 00:04:37.000]  在祢給我們的使命裡面堅守到底
[00:04:37.000 --> 00:04:40.000]  縱使是艱難的
[00:04:40.000 --> 00:04:43.000]  縱使在過程裡面可能會有失落的
[00:04:43.000 --> 00:04:45.000]  迷惘的
[00:04:45.000 --> 00:04:49.000]  但是怎樣來繼續持守我們對祢這份信念
[00:04:49.000 --> 00:04:52.000]  怎樣來靠著對祢的信任
[00:04:52.000 --> 00:04:53.000]  一直走下去
[00:04:53.000 --> 00:04:56.000]  展示出我們對祢的信心
[00:04:56.000 --> 00:04:59.000]  求主祢引導我們進入歷史當中
[00:04:59.000 --> 00:05:02.000]  去尋索上帝祢讓我們有這個恩典
[00:05:02.000 --> 00:05:04.000]  沿著祢去帶領我們
[00:05:04.000 --> 00:05:05.000]  禱告奉耶穌基督的聖名
[00:05:05.000 --> 00:05:06.000]  阿們
[00:05:29.000 --> 00:05:32.000]  我們看到整個王朝裡面有幾個名字
[00:05:32.000 --> 00:05:35.000]  都出現在聖經裡面
[00:05:35.000 --> 00:05:37.000]  特別在以色列記裡面
[00:05:37.000 --> 00:05:39.000]  我們看到幾個王的名字
[00:05:39.000 --> 00:05:41.000]  居魯士
[00:05:41.000 --> 00:05:42.000]  大劉士
[00:05:42.000 --> 00:05:45.000]  阿哈徐魯和阿達舍西
[00:05:45.000 --> 00:05:48.000]  但是如果對比波斯王朝裡面
[00:05:48.000 --> 00:05:50.000]  在中間的歷史裡面
[00:05:50.000 --> 00:05:53.000]  有兩個皇帝的名字沒有出現
