
[00:00:00.000 --> 00:00:02.000]  各位來賓 早安 弟兄姊妹 平安
[00:00:02.000 --> 00:00:08.680]  今天我們會再次從三毫二記下去繼續認識神的話語
[00:00:08.680 --> 00:00:12.960]  我們在疫情期間度過的疫情都有很多的經歷
[00:00:12.960 --> 00:00:17.280]  在這裏的弟兄姊妹當中
[00:00:17.280 --> 00:00:22.600]  或者甚至有些可能離開了教會的弟兄姊妹
[00:00:22.600 --> 00:00:25.920]  其實經過這個階段的時候
[00:00:25.920 --> 00:00:28.760]  都難免有些孤單的感覺
[00:00:29.040 --> 00:00:32.600]  因為各樣的壓力和各樣的情況的轉變
[00:00:32.600 --> 00:00:39.480]  都會令到人有一種想離開不同人相處的時刻
[00:00:39.480 --> 00:00:43.200]  無論是職場上或者家庭的狀況當中
[00:00:43.200 --> 00:00:45.040]  都有遇到這些情況
[00:00:45.040 --> 00:00:48.080]  如果你看到這些統計數字
[00:00:48.080 --> 00:00:49.640]  如果你上網看的話
[00:00:49.640 --> 00:00:52.720]  在2022年的時候
[00:00:52.720 --> 00:00:56.640]  它就統計到有53%的美國人
[00:00:57.280 --> 00:01:04.080]  他們覺得自己有跟人相處的時刻是有意思的
[00:01:04.080 --> 00:01:05.120]  53%
[00:01:05.120 --> 00:01:09.520]  還有有46%的美國人感覺到孤單
[00:01:09.520 --> 00:01:15.040]  有47%的人甚至覺得被遺棄
[00:01:15.040 --> 00:01:19.760]  如果你看大學的統計數字
[00:01:19.760 --> 00:01:22.480]  在讀大學的統計數字當中
[00:01:22.480 --> 00:01:28.120]  有67%的女士感覺到孤單
[00:01:28.120 --> 00:01:31.520]  54%的男學生都有這樣的情況
[00:01:31.520 --> 00:01:33.920]  所以在這個疫情期間
[00:01:33.920 --> 00:01:38.040]  無論是在美國整體的社會當中
[00:01:38.040 --> 00:01:39.920]  或者我們自己的子女
[00:01:39.920 --> 00:01:43.520]  他們所面對的艱難是難以形容的
[00:01:43.520 --> 00:01:47.760]  但是神就是看到剛才我們大家所讀的經文當中
[00:01:47.760 --> 00:01:50.040]  我們看到神是多麼的恩待
[00:01:50.040 --> 00:01:51.640]  因此對我們
[00:01:51.920 --> 00:01:57.160]  因此對待我們從三號耳機上一直都看到
[00:01:57.160 --> 00:02:02.520]  神一直都在眷顧、保守、與大衛同在
[00:02:02.520 --> 00:02:06.160]  我們從第一章到第五章
[00:02:06.160 --> 00:02:08.800]  上次我跟大家分享的時候
[00:02:08.800 --> 00:02:11.440]  都看到這個事情、這個事實
[00:02:11.440 --> 00:02:14.360]  網上的教導就說
[00:02:14.360 --> 00:02:19.360]  不如我們可以用多些時間去照顧自己
[00:02:19.360 --> 00:02:26.880]  就算是NIH,即是我們政府主要的醫療的研究機構
[00:02:26.880 --> 00:02:29.200]  NIH, National Institute of Health
