
[00:00:00.000 --> 00:00:04.860]  一年多前在立法會表決了政改的方案
[00:00:04.860 --> 00:00:06.520]  我想大家都記得這件事
[00:00:06.520 --> 00:00:10.320]  但出現了一個意想不到的投票結果
[00:00:10.320 --> 00:00:17.840]  33位一直自稱支持政改的建制派議員
[00:00:17.840 --> 00:00:19.460]  說要等法叔
[00:00:19.460 --> 00:00:24.160]  於是在投票前的一刻集體離場
[00:00:24.160 --> 00:00:27.760]  導致了政改議案以8票贊成
[00:00:27.760 --> 00:00:32.160]  28票反對 大比數否決
[00:00:32.160 --> 00:00:34.760]  那時我剛在香港四年多
[00:00:34.760 --> 00:00:36.240]  這件事讓我知道
[00:00:36.240 --> 00:00:39.520]  香港除了發過《州議員法》之外
[00:00:39.520 --> 00:00:43.320]  原來還有一位法叔
[00:00:43.320 --> 00:00:45.240]  當時建制派議員
[00:00:45.240 --> 00:00:48.440]  希望以法定人數不足為理由
[00:00:48.440 --> 00:00:51.600]  將投票時間押後15分鐘
[00:00:51.600 --> 00:00:54.680]  讓法叔可以回來投票
[00:00:54.680 --> 00:00:56.960]  但因為內部溝通不足
[00:00:56.960 --> 00:01:01.800]  導致了部分建制派議員留在這裏
[00:01:01.800 --> 00:01:05.520]  所以有足夠的法定人數可以投票
[00:01:05.520 --> 00:01:08.000]  結果就這樣出來了
[00:01:08.000 --> 00:01:09.880]  後來有些網民
[00:01:09.880 --> 00:01:13.080]  就將「等埋法叔」變成一個潮語
[00:01:13.080 --> 00:01:16.120]  用來嘲諷一些人
[00:01:16.120 --> 00:01:19.600]  想用藉口來推卸責任
[00:01:19.600 --> 00:01:23.280]  我在這裏不是想講一些政治的問題
[00:01:23.280 --> 00:01:26.160]  不過我希望藉著這件事
[00:01:26.160 --> 00:01:27.600]  我們看看人生
[00:01:27.600 --> 00:01:30.920]  看看人生當中不同的情況
[00:01:30.920 --> 00:01:39.240]  裏面就有懼怕 有疑惑 有限制
[00:01:39.240 --> 00:01:42.640]  懼怕 有些建制派議員提出
[00:01:42.640 --> 00:01:44.920]  如果真的有奇蹟發生
[00:01:44.920 --> 00:01:48.600]  譬如說有泛民突然轉軚
[00:01:48.600 --> 00:01:52.080]  那「發哥」的票就很重要
[00:01:52.080 --> 00:01:56.720]  他強調建制派真的想多一票 得一票
[00:01:56.720 --> 00:01:59.640]  有人害怕 害怕如果少了這一票
[00:01:59.640 --> 00:02:04.560]  政改就過不了 責任就會很大
[00:02:04.560 --> 00:02:06.760]  有人會疑惑
[00:02:06.760 --> 00:02:10.560]  當有人提出集體離場 拉隊出去的時候
[00:02:10.560 --> 00:02:13.560]  因為之前沒有事先溝通好
[00:02:13.560 --> 00:02:18.280]  有議員在疑惑到底自己有沒有聽錯
[00:02:18.280 --> 00:02:23.120]  是不是應該跟著一起出去
[00:02:23.120 --> 00:02:25.720]  另外有限制
[00:02:25.720 --> 00:02:28.120]  有議員按照自己的良心
[00:02:28.120 --> 00:02:29.960]  他有自己的選擇
[00:02:29.960 --> 00:02:32.600]  但礙於他所屬的黨派
[00:02:32.600 --> 00:02:35.520]  所代表的一個選民的利益
[00:02:35.520 --> 00:02:37.520]  或者還有一些其他的原因
[00:02:37.520 --> 00:02:40.000]  出於這些所謂的限制
[00:02:40.000 --> 00:02:42.920]  可能他最終做出的選擇
[00:02:42.920 --> 00:02:46.640]  是和他良心的選擇是不一樣的
[00:02:46.640 --> 00:02:49.040]  同樣在信仰的道路上
[00:02:49.040 --> 00:02:51.240]  我們都要不斷去面對
[00:02:51.240 --> 00:02:55.960]  懼怕 疑惑和限制這三個朋友
[00:02:55.960 --> 00:02:59.240]  今晚在聖經裏面所提到的門徒
[00:02:59.240 --> 00:03:01.880]  他們在耶穌復活之後
[00:03:01.880 --> 00:03:04.920]  都要面對這三個朋友
[00:03:04.920 --> 00:03:10.160]  一年多前香港有「等埋發叔」這件事發生
[00:03:10.160 --> 00:03:13.080]  而兩千多年前在耶路撒冷
[00:03:13.080 --> 00:03:16.720]  發生了一件「等埋托馬斯」的事件
[00:03:16.720 --> 00:03:24.760]  托馬斯就是使徒多瑪
[00:03:24.760 --> 00:03:28.480]  耶穌釘死三日之後復活
[00:03:28.480 --> 00:03:32.440]  在那個星期日的早上發生了很多的事
[00:03:32.440 --> 00:03:35.320]  我們綜合四本的福音書
[00:03:35.320 --> 00:03:38.520]  我們看到清早的時候
[00:03:38.520 --> 00:03:40.080]  有兩位瑪利亞
[00:03:40.080 --> 00:03:44.480]  原本想拿香膏去供耶穌基督的屍體
[00:03:44.480 --> 00:03:45.600]  誰知去到的時候
[00:03:45.600 --> 00:03:48.240]  發覺墳墓是空的
[00:03:48.240 --> 00:03:51.280]  終於被他們見到天使
[00:03:51.280 --> 00:03:56.480]  然後約翰彼得就跟著再去墳墓看看
[00:03:56.480 --> 00:03:59.240]  是否他們不相信墳墓真是空的
[00:03:59.240 --> 00:04:02.400]  誰知他們看到原來真是空的
[00:04:02.400 --> 00:04:06.080]  接著大半天的時間發生了很多事
[00:04:06.080 --> 00:04:08.040]  耶穌向了不同的人
[00:04:08.040 --> 00:04:11.720]  在不同的地方向他們顯現
[00:04:11.720 --> 00:04:13.800]  包括有婦人
[00:04:13.800 --> 00:04:15.320]  包括有彼得
[00:04:15.320 --> 00:04:21.160]  還有兩個走到以馬五師路上的門徒
[00:04:21.160 --> 00:04:24.040]  過了大半天到晚上的時間
[00:04:24.040 --> 00:04:29.480]  耶穌就去到眾門徒當中向他們顯現
[00:04:29.480 --> 00:04:33.360]  今天我們的經文就會講到這個部分
