
[00:00:00.000 --> 00:00:03.060]  羅馬書第27講
[00:00:03.060 --> 00:00:06.100]  今天我們要講羅馬書第十章
[00:00:06.100 --> 00:00:08.800]  九至二十一節
[00:00:08.800 --> 00:00:13.640]  今天要講的又是保羅另外一句很出名的話
[00:00:13.640 --> 00:00:17.240]  就是他說 你們要口裏面承認
[00:00:17.240 --> 00:00:19.060]  心裏面相信
[00:00:19.060 --> 00:00:21.700]  你就一定能夠得救
[00:00:21.700 --> 00:00:26.340]  這句話是給很多人都有誤解
[00:00:26.340 --> 00:00:28.760]  很多人 很多基督徒都說
[00:00:28.760 --> 00:00:31.060]  我真是心裏面相信
[00:00:31.060 --> 00:00:33.480]  我真是口裏面承認
[00:00:33.480 --> 00:00:36.160]  但究竟我們心裏面相信
[00:00:36.160 --> 00:00:37.860]  是相信什麼呢
[00:00:37.860 --> 00:00:40.440]  我們口裏面承認
[00:00:40.440 --> 00:00:42.420]  又是承認什麼呢
[00:00:42.420 --> 00:00:44.660]  我們今天一起來看看
[00:00:44.660 --> 00:00:46.860]  先一些回溫
[00:00:46.860 --> 00:00:49.900]  就是我們說羅馬書第九章
[00:00:49.900 --> 00:00:51.980]  是講到神的主權
[00:00:51.980 --> 00:00:56.280]  是神將以色列人現在暫時放在一旁
[00:00:56.280 --> 00:00:59.580]  是祂的主權 是祂的揀選
[00:00:59.580 --> 00:01:01.120]  但另一方面
[00:01:01.120 --> 00:01:04.880]  以色列人亦都不可以逃避責任
[00:01:04.880 --> 00:01:08.960]  第十章講到以色列人的無知 他們的不信
[00:01:08.960 --> 00:01:09.820]  有沒有看到
[00:01:09.820 --> 00:01:13.080]  給我們看到神的主權和人的責任
[00:01:13.080 --> 00:01:15.880]  永遠都是相輔相成
[00:01:15.880 --> 00:01:19.140]  第十章我們在書一至八節
[00:01:19.140 --> 00:01:22.140]  講到以色列人他們的無知
[00:01:22.140 --> 00:01:23.940]  在哪三方面
[00:01:23.940 --> 00:01:27.300]  第一就是他們不認識神的屬性
[00:01:27.300 --> 00:01:30.800]  他們不知道神原來是無限的聖潔
[00:01:30.800 --> 00:01:33.800]  有非常之高的標準
[00:01:33.800 --> 00:01:35.720]  所以他們亦都不明白
[00:01:35.720 --> 00:01:37.240]  第二點
[00:01:37.240 --> 00:01:40.420]  就是他們不認識耶穌基督的救贖
[00:01:40.420 --> 00:01:43.220]  當我們知道神有多聖潔
[00:01:43.220 --> 00:01:45.320]  祂的標準有多完美
[00:01:45.320 --> 00:01:48.440]  我們就知道沒有辦法靠我們自己做得到
[00:01:48.440 --> 00:01:50.660]  我們要接受耶穌基督
[00:01:50.660 --> 00:01:53.380]  但這就是因為以色列人不知道
[00:01:53.380 --> 00:01:55.100]  所以他們亦都不明白
[00:01:55.100 --> 00:01:58.340]  為何一定要耶穌基督的義義
[00:01:58.340 --> 00:01:59.900]  披在他們身上
[00:01:59.900 --> 00:02:02.520]  他們才能夠與神和好
[00:02:02.520 --> 00:02:04.000]  而第三點
[00:02:04.000 --> 00:02:07.000]  就是他們根本不認識自己的信仰
[00:02:07.000 --> 00:02:10.560]  原來在舊約聖經神一早告訴他們
[00:02:10.560 --> 00:02:12.820]  是要靠信心來得救
[00:02:12.820 --> 00:02:15.020]  不是靠他們的行為
[00:02:15.020 --> 00:02:18.240]  今天我們來到羅馬書的第十章
[00:02:18.240 --> 00:02:20.860]  第九至第十節
[00:02:20.860 --> 00:02:24.560]  讓我們看到甚麼才是真正的信心
[00:02:24.560 --> 00:02:27.560]  甚麼才是真正得救的信心
[00:02:27.560 --> 00:02:31.440]  這就是猶太人所缺乏
[00:02:31.440 --> 00:02:35.760]  你會見到羅馬書第十章九至十節
[00:02:35.760 --> 00:02:38.300]  有兩個字重複出現
[00:02:38.300 --> 00:02:40.200]  第一個是信
[00:02:40.200 --> 00:02:42.080]  心裡相信
[00:02:42.080 --> 00:02:44.520]  第二個是承認
[00:02:44.520 --> 00:02:46.720]  口裡要承認
[00:02:46.720 --> 00:02:49.120]  你就必得救
[00:02:49.120 --> 00:02:50.640]  但很可惜
[00:02:50.640 --> 00:02:52.280]  一般的基督徒
[00:02:52.280 --> 00:02:55.080]  我們都只記得這兩節的經文
[00:02:55.080 --> 00:02:56.920]  就是說心裡相信
[00:02:56.920 --> 00:02:57.920]  口裡承認
[00:02:57.920 --> 00:02:59.480]  就必得救
[00:02:59.480 --> 00:03:02.080]  你走去問一般的基督徒
[00:03:02.080 --> 00:03:03.880]  你承不承認
[00:03:03.880 --> 00:03:06.360]  他會說 我當然承認
[00:03:06.360 --> 00:03:09.000]  然後你問他 你承認甚麼
[00:03:09.000 --> 00:03:11.880]  他就會說 欸 欸
[00:03:11.880 --> 00:03:13.280]  他說不出
[00:03:13.280 --> 00:03:14.760]  接著你又問他
[00:03:14.760 --> 00:03:16.880]  你的心是否真正相信
[00:03:16.880 --> 00:03:18.760]  他說 我當然相信
[00:03:18.760 --> 00:03:21.280]  你又問他 你相信甚麼
[00:03:21.280 --> 00:03:22.480]  他又望著你
[00:03:22.480 --> 00:03:24.600]  睜大眼睛 張大嘴巴
[00:03:24.600 --> 00:03:28.680]  他也不知道他真正心裡相信甚麼
[00:03:28.680 --> 00:03:31.760]  但我們看看今天的經文說甚麼
[00:03:31.760 --> 00:03:32.720]  經文說
[00:03:32.720 --> 00:03:36.080]  你若口裡認耶穌為主
[00:03:36.080 --> 00:03:37.600]  心裡信神
[00:03:37.600 --> 00:03:39.640]  叫他從死裡復活
[00:03:39.640 --> 00:03:40.960]  就必得救
[00:03:40.960 --> 00:03:43.080]  因為人心裡相信
[00:03:43.080 --> 00:03:44.960]  就可以清義
[00:03:44.960 --> 00:03:49.240]  口裡承認就可以得救
