
[00:00:00.000 --> 00:00:02.800]  各位弟兄姊妹、各位朋友,平安
[00:00:02.800 --> 00:00:04.840]  很歡迎你能夠在此
[00:00:04.840 --> 00:00:09.420]  我陪大家一起來學聖經、讀聖經
[00:00:09.420 --> 00:00:12.420]  最近由於這個疫情
[00:00:12.420 --> 00:00:15.080]  大家都要stay home
[00:00:15.080 --> 00:00:17.080]  留在家中
[00:00:17.080 --> 00:00:19.200]  不要到處亂走
[00:00:19.200 --> 00:00:22.600]  我想這是很多的宣傳
[00:00:22.600 --> 00:00:24.600]  留在家中
[00:00:24.600 --> 00:00:31.720]  即是你很多很多很多時間都要陪著家人
[00:00:31.720 --> 00:00:37.440]  有子女的子女是最開心的
[00:00:37.440 --> 00:00:40.440]  因為以往父母都上班
[00:00:40.440 --> 00:00:42.440]  或者其中一個上班
[00:00:42.440 --> 00:00:45.760]  所以父母都沒什麼時間陪他們
[00:00:45.760 --> 00:00:47.960]  現在日見夜見
[00:00:47.960 --> 00:00:50.240]  媽媽又天天煮飯
[00:00:50.240 --> 00:00:53.520]  子女真的開心到不得了
[00:00:53.520 --> 00:00:55.520]  又沒什麼功課做
[00:00:55.520 --> 00:00:58.080]  雖然可能老師也會有功課
[00:00:58.080 --> 00:01:01.080]  但是搞幾搞就做好了
[00:01:01.080 --> 00:01:03.080]  第一件事就是玩
[00:01:03.080 --> 00:01:06.600]  或者是父母教他要學習
[00:01:06.600 --> 00:01:10.000]  於是很自然大條道理
[00:01:10.000 --> 00:01:12.280]  要拿著手機
[00:01:12.280 --> 00:01:15.000]  以往限定時間的
[00:01:15.000 --> 00:01:17.560]  手機只能夠做什麼做什麼
[00:01:17.560 --> 00:01:19.920]  現在子女都兇了
[00:01:19.920 --> 00:01:21.480]  子女都大了
[00:01:21.480 --> 00:01:23.640]  但是更加慘的是
[00:01:23.640 --> 00:01:27.360]  夫妻兩個人要相對
[00:01:27.360 --> 00:01:30.440]  以往各有各上班
[00:01:30.440 --> 00:01:34.080]  回到家裡大家都累死了
[00:01:34.080 --> 00:01:35.880]  一是各有各忙
[00:01:35.880 --> 00:01:39.840]  有些還帶了公司的東西回來要在家裡做
[00:01:39.840 --> 00:01:45.320]  但是現在長長時間彼此面對
[00:01:45.320 --> 00:01:47.320]  於是第一個問題就是
[00:01:47.320 --> 00:01:49.720]  我怎麼跟那個人相處
[00:01:49.720 --> 00:01:51.720]  整天對著他
[00:01:51.720 --> 00:01:53.720]  真的受不了
[00:01:53.720 --> 00:01:55.320]  那怎麼辦呢?
[00:01:55.320 --> 00:01:57.720]  所以我想很多家庭
[00:01:57.720 --> 00:02:01.800]  都出現了一些張力
[00:02:01.800 --> 00:02:03.800]  不知道怎麼辦
[00:02:03.800 --> 00:02:07.000]  但相反我又看到有些家庭
[00:02:07.000 --> 00:02:09.240]  很開心
[00:02:09.240 --> 00:02:12.200]  因為大家很相親相愛
[00:02:12.200 --> 00:02:14.680]  現在真的多難得
[00:02:14.680 --> 00:02:16.000]  特準
[00:02:16.000 --> 00:02:18.640]  大家都Work at home
[00:02:18.640 --> 00:02:20.640]  在家裡上班
[00:02:20.640 --> 00:02:24.760]  當然一定有很多公司的東西要做
[00:02:24.760 --> 00:02:27.080]  你也要規規矩矩
[00:02:27.080 --> 00:02:30.040]  真的做好公司的東西
[00:02:30.040 --> 00:02:33.160]  你知道你的上司、老闆
[00:02:33.160 --> 00:02:34.720]  是不會放過你的
[00:02:34.720 --> 00:02:36.720]  怎麼會讓你這麼輕鬆呢?
[00:02:36.720 --> 00:02:39.040]  一定很多assignment給你
[00:02:39.040 --> 00:02:41.040]  一定很多東西要求你
[00:02:41.040 --> 00:02:43.400]  有什麼時間deadline
[00:02:43.400 --> 00:02:45.080]  你就要交貨
[00:02:45.080 --> 00:02:49.160]  所以我知道大家仍然是有壓力的
[00:02:49.160 --> 00:02:53.200]  特別是現在的international conference call
[00:02:53.200 --> 00:02:56.280]  連外國的客人都追你的
[00:02:56.280 --> 00:02:57.920]  追受你
[00:02:57.920 --> 00:03:00.080]  想要你多點時間工作
[00:03:00.080 --> 00:03:02.080]  我的產品不行
[00:03:02.080 --> 00:03:04.080]  你快點幫我搞定
[00:03:04.080 --> 00:03:07.200]  所以我想我們實在是面對
[00:03:07.200 --> 00:03:10.520]  很大各方面不同的張力
[00:03:10.520 --> 00:03:12.520]  一個家庭
[00:03:12.520 --> 00:03:14.520]  相不相親相愛
[00:03:14.520 --> 00:03:17.200]  一個家庭穩不穩固
[00:03:17.200 --> 00:03:20.840]  就面對最大的考驗
[00:03:20.840 --> 00:03:24.760]  所以今天很想跟大家讀兩篇詩篇
[00:03:24.760 --> 00:03:29.360]  第一篇是詩篇128篇
[00:03:29.360 --> 00:03:32.320]  這篇詩是講到家庭
[00:03:32.320 --> 00:03:36.120]  一篇非常重要的詩篇
[00:03:36.120 --> 00:03:39.960]  這篇詩是屬於上行之詩
[00:03:39.960 --> 00:03:44.160]  那十五首詩裡面其中的一首
[00:03:44.160 --> 00:03:46.640]  上行之詩
[00:03:46.640 --> 00:03:48.640]  就是猶太人
[00:03:48.640 --> 00:03:50.640]  他們每年三次
[00:03:50.640 --> 00:03:52.640]  都要離開家
[00:03:52.640 --> 00:03:55.280]  無論你住哪個城市
[00:03:55.280 --> 00:03:57.280]  要帶你的家人
[00:03:57.280 --> 00:03:58.920]  如果他夠十二歲的
[00:03:58.920 --> 00:04:01.240]  就大家一起上聖殿
