
[00:00:00.000 --> 00:00:03.000]  我們會繼續在崇拜的講道系列當中
[00:00:03.000 --> 00:00:06.000]  去到馬克福音的第四章
[00:00:06.000 --> 00:00:08.600]  去到第四章的時候
[00:00:08.600 --> 00:00:12.000]  我們的題目就是為主結果的心田
[00:00:12.000 --> 00:00:14.000]  如果大家有機會的話
[00:00:14.000 --> 00:00:15.400]  可能都要請大家回家旅遊
[00:00:15.400 --> 00:00:19.600]  可以繼續看多些馬克福音
[00:00:19.600 --> 00:00:23.200]  這段經文其實是講到天國的比喻
[00:00:23.200 --> 00:00:25.400]  亦是一個如果大家在教會裏面
[00:00:25.400 --> 00:00:27.000]  久一點的弟兄姊妹
[00:00:27.000 --> 00:00:29.200]  可能你都已經在不同的場合
[00:00:29.200 --> 00:00:31.200]  會聽過這個比喻
[00:00:31.200 --> 00:00:34.000]  叫做習種的比喻
[00:00:34.000 --> 00:00:36.000]  可能是崇拜講道也可以
[00:00:36.000 --> 00:00:38.000]  可能是一些周會
[00:00:38.000 --> 00:00:39.600]  或者你在查經
[00:00:39.600 --> 00:00:41.200]  甚至可能你靈修讀經的時候
[00:00:41.200 --> 00:00:43.200]  都讀過這段經文
[00:00:43.200 --> 00:00:45.600]  一段對回教會久一點的弟兄姊妹
[00:00:45.600 --> 00:00:47.200]  都比較熟悉
[00:00:47.200 --> 00:00:48.800]  但是我想亦是一段
[00:00:48.800 --> 00:00:50.600]  我們其實有時都覺得
[00:00:50.600 --> 00:00:54.200]  都希望可以多些認識的聖經
[00:00:54.200 --> 00:00:55.800]  所以我想這段經文
[00:00:55.800 --> 00:00:57.800]  對可能有些弟兄姊妹熟悉
[00:00:57.800 --> 00:00:59.800]  我都想和大家讀一部份
[00:00:59.800 --> 00:01:01.800]  但是因為時間不夠
[00:01:01.800 --> 00:01:04.800]  大家可以回去慢慢再將整個經文
[00:01:04.800 --> 00:01:05.800]  讀多幾次
[00:01:05.800 --> 00:01:08.600]  你會有更多的認識和體會
[00:01:08.600 --> 00:01:11.400]  今天我只是想先和大家看
[00:01:11.400 --> 00:01:15.200]  馬克福音的四章三到九節
