
[00:00:00.000 --> 00:00:01.600]  那今天是福音主日
[00:00:01.600 --> 00:00:02.440]  其實很開心
[00:00:02.440 --> 00:00:03.940]  今天真的很開心
[00:00:03.940 --> 00:00:05.040]  很開心很開心
[00:00:05.040 --> 00:00:08.340]  可以跟大家分享這個福音的信息
[00:00:08.340 --> 00:00:10.240]  今天講到的題目是
[00:00:10.240 --> 00:00:12.740]  信是可以勝過死亡的
[00:00:12.740 --> 00:00:14.740]  那這個好消息在講什麼呢?
[00:00:14.740 --> 00:00:17.040]  原來這個好消息在講的就是
[00:00:17.040 --> 00:00:19.840]  如果我們可以認識這位上帝
[00:00:19.840 --> 00:00:22.740]  這位創造天地萬物的上帝
[00:00:22.740 --> 00:00:24.540]  我們不僅可以認識他
[00:00:24.540 --> 00:00:27.940]  我們可以跟他建立一個很親密的關係的時候
[00:00:27.940 --> 00:00:31.840]  這位上帝不僅可以幫助我們勝過死亡
[00:00:31.840 --> 00:00:33.440]  不僅勝過死亡
[00:00:33.440 --> 00:00:35.840]  我們相信他的那一刻
[00:00:35.840 --> 00:00:40.640]  現在立刻立刻就可以享受一個更加豐盛的人生
[00:00:40.640 --> 00:00:43.040]  何謂一個更加豐盛的人生呢?
[00:00:43.040 --> 00:00:47.040]  原來我們的信仰不是叫我們離虎得落
[00:00:47.040 --> 00:00:49.440]  我們這個信仰不是叫我們離虎得落
[00:00:49.440 --> 00:00:53.340]  我們這個信仰是叫我們知虎都可以得落
[00:00:53.340 --> 00:00:57.840]  可以在無論人生是開心不開心的過程當中
[00:00:57.840 --> 00:01:00.440]  我都依然覺得這個人生是豐盛的
[00:01:00.440 --> 00:01:02.140]  這個是不是一個很好的消息呢?
[00:01:02.140 --> 00:01:04.340]  非常非常好的消息,是不是?
[00:01:04.340 --> 00:01:06.940]  那我們在這裡分享這個好消息之前
[00:01:06.940 --> 00:01:10.240]  我們一起去面對一下死亡這個問題,好嗎?
[00:01:10.240 --> 00:01:12.740]  面對一下死亡這個問題
[00:01:12.740 --> 00:01:15.840]  有一些不是那麼好的消息跟大家分享一下
[00:01:15.840 --> 00:01:17.740]  那我問我這個助手
[00:01:17.740 --> 00:01:19.340]  我助手叫GPT
[00:01:19.340 --> 00:01:23.040]  那我叫他幫我去計算一下
[00:01:23.040 --> 00:01:28.440]  究竟一個小時之內,這個全球來說
[00:01:28.440 --> 00:01:30.840]  有多少個人是面對著死亡呢?
[00:01:30.840 --> 00:01:32.240]  那他就幫我計算到
[00:01:32.240 --> 00:01:37.740]  原來每一個小時有6800個人是面對著死亡的
[00:01:37.740 --> 00:01:40.840]  那我們除去60分鐘,是不是?
[00:01:40.840 --> 00:01:43.040]  意思就是平均每一分鐘
[00:01:43.040 --> 00:01:48.140]  弟兄姊妹,每一分鐘就已經有100個人是面對著死亡
[00:01:48.140 --> 00:01:52.340]  就是說,今天我跟大家分享這個信息的這一刻
[00:01:52.340 --> 00:01:54.940]  就已經有人在病床上面
[00:01:54.940 --> 00:01:58.740]  或者在意外當中離開這個世界
[00:01:58.740 --> 00:02:03.340]  所以我們說其實死亡是一個現實來的
[00:02:03.340 --> 00:02:06.140]  是一個現實,它不是一些虛無縹緲的東西
[00:02:06.140 --> 00:02:09.740]  它是我們每一個人都要面對的一個現實
[00:02:09.740 --> 00:02:11.440]  那你看看聖經怎麼說
[00:02:11.440 --> 00:02:13.340]  聖經提及得最多的就是
[00:02:13.340 --> 00:02:15.940]  當然是約翰福音三章十六節
[00:02:15.940 --> 00:02:18.440]  那裡這樣說,他說神愛世人
[00:02:18.440 --> 00:02:21.740]  神真的很愛我們,很愛這個世界
[00:02:21.740 --> 00:02:24.040]  甚至將他的獨生子
[00:02:24.040 --> 00:02:25.840]  獨生子是什麼意思呢?
[00:02:25.840 --> 00:02:28.940]  我不知道當中有沒有一些還沒認識主耶穌的朋友
[00:02:28.940 --> 00:02:32.840]  獨生子的意思就是神是一個靈
[00:02:32.840 --> 00:02:34.740]  我們看不到神
