
[00:00:00.000 --> 00:00:01.320]  各位定智妹早晨
[00:00:01.320 --> 00:00:07.220]  再一次邀請大家跟我一起低頭祈禱
[00:00:07.220 --> 00:00:10.700]  親切感謝你
[00:00:10.700 --> 00:00:13.960]  感謝你自己的吸引
[00:00:13.960 --> 00:00:16.500]  讓我們能夠在電影裏面
[00:00:16.500 --> 00:00:19.920]  或在不同的地方以直播的理由參與崇拜
[00:00:19.920 --> 00:00:22.140]  去崇敬上主你自己
[00:00:22.140 --> 00:00:25.680]  我們懇求上主你賜我們有悟性
[00:00:25.680 --> 00:00:29.260]  以致我們能夠明白你懷疑中的奧秘
[00:00:29.260 --> 00:00:32.100]  可以成為我們生命的力量和方向
[00:00:32.100 --> 00:00:34.580]  主愛你 屬你
[00:00:34.580 --> 00:00:36.760]  願意我們在我們的行為
[00:00:36.760 --> 00:00:40.660]  在我們的心中能夠活出你的美事
[00:00:40.660 --> 00:00:43.260]  但不是靠著你的能力
[00:00:43.260 --> 00:00:44.900]  我們不可能做到
[00:00:44.900 --> 00:00:48.100]  總是知道在這一刻
[00:00:48.100 --> 00:00:50.120]  你要為我們每一個人
[00:00:50.120 --> 00:00:51.960]  來講出你的說話
[00:00:51.960 --> 00:00:54.900]  求你幫助我們用開放的心靈
[00:00:54.900 --> 00:00:58.040]  去領受上主的吩咐
[00:00:58.360 --> 00:01:01.740]  有願講解和聽的都同夢離的願
[00:01:01.740 --> 00:01:04.000]  祈禱奉主耶穌 祈禱個名求
[00:01:04.000 --> 00:01:05.280]  阿門
[00:01:05.280 --> 00:01:11.020]  今天跟大家看《貼薩羅尼加前書》
[00:01:11.020 --> 00:01:14.240]  《貼薩羅尼加前後書》是保羅寫給
[00:01:14.240 --> 00:01:16.400]  當地教會的一封家書
[00:01:16.400 --> 00:01:19.540]  保羅看他們是家人
[00:01:19.540 --> 00:01:24.000]  這間教會是早前保羅在當地傳道的時候所建立的
[00:01:24.000 --> 00:01:28.020]  不過因為當地的猶太人妒忌保羅
[00:01:28.360 --> 00:01:31.020]  妒忌保羅在當地傳道的成績
[00:01:31.020 --> 00:01:37.100]  因為保羅成功地將外邦人對耶穌很有興趣
[00:01:37.100 --> 00:01:40.340]  帶領了很多非猶太裔的人去信耶穌
[00:01:40.340 --> 00:01:43.100]  這群猶太人很妒忌
[00:01:43.100 --> 00:01:45.300]  所以他們起來反對保羅
[00:01:45.300 --> 00:01:47.460]  被要情勢的緣故
[00:01:47.460 --> 00:01:49.760]  保羅只好離開《貼薩羅尼加》
[00:01:49.760 --> 00:01:53.800]  不過他的心很掛念當地的信徒
[00:01:53.800 --> 00:01:57.900]  特別是在迫不及待和困難的環境
[00:01:58.100 --> 00:02:01.720]  《貼薩羅尼加》信徒的信仰成長得怎樣呢?
[00:02:01.720 --> 00:02:04.460]  保羅也知道他們有一些疑問
[00:02:04.460 --> 00:02:05.860]  在信仰上的疑問
[00:02:05.860 --> 00:02:07.860]  於是寫信一一解答
[00:02:07.860 --> 00:02:09.860]  也兼顧他們的信心
[00:02:09.860 --> 00:02:13.260]  保羅一開始的時候
[00:02:13.260 --> 00:02:14.760]  在第二節就說
[00:02:14.760 --> 00:02:18.420]  他說他時時為信徒禱告
[00:02:18.420 --> 00:02:19.860]  當然不單只是他
[00:02:19.860 --> 00:02:21.600]  也是他的同宮下
[00:02:21.600 --> 00:02:23.600]  西拉和提摩泰
[00:02:23.600 --> 00:02:26.160]  他們時時為信徒禱告
[00:02:26.160 --> 00:02:27.900]  為他們感謝上帝
[00:02:27.900 --> 00:02:29.220]  特別是為他們能夠
[00:02:29.220 --> 00:02:33.160]  持守信、望、愛、不處的禱告
[00:02:33.160 --> 00:02:35.860]  然後中文譯本的翻譯是
[00:02:35.860 --> 00:02:37.860]  「不斷地禱告」
[00:02:37.860 --> 00:02:39.560]  英文聖經就說
[00:02:39.560 --> 00:02:43.860]  「Day and night, you are in our prayers」
[00:02:43.860 --> 00:02:47.260]  「日以繼夜,我們為你祈禱」
[00:02:47.260 --> 00:02:49.260]  各位靈姐妹
[00:02:49.260 --> 00:02:53.460]  你以為保羅這番話是很禮貌地說的
[00:02:53.460 --> 00:02:55.660]  因為他真的不斷地
[00:02:55.660 --> 00:02:57.260]  日以繼夜地
[00:02:57.260 --> 00:02:59.260]  為信徒祈禱
[00:02:59.260 --> 00:03:03.060]  我們生活在一個很忙碌的社會
[00:03:03.060 --> 00:03:06.560]  也受著各樣的困擾、壓迫
[00:03:06.560 --> 00:03:08.560]  有時也很難想像
[00:03:08.560 --> 00:03:10.560]  如何日以繼夜
[00:03:10.560 --> 00:03:11.560]  坦白說
[00:03:11.560 --> 00:03:14.560]  我們連每一天安靜、靈修
[00:03:14.560 --> 00:03:16.060]  也抽不到時間
[00:03:16.060 --> 00:03:17.760]  真的可以日以繼夜
[00:03:17.760 --> 00:03:19.760]  不斷地向上帝祈禱
[00:03:19.760 --> 00:03:22.060]  撇除一些沒有靈魂
[00:03:22.060 --> 00:03:24.060]  只有機械式的祈禱方式
[00:03:24.060 --> 00:03:26.060]  我們暫時不要說
[00:03:27.060 --> 00:03:28.060]  我了解到
[00:03:28.060 --> 00:03:29.060]  原來伊斯蘭信徒
[00:03:29.060 --> 00:03:32.060]  每一天有五次的固定祈禱
[00:03:32.060 --> 00:03:35.060]  而猶太人也每天有三次的祈禱
[00:03:35.060 --> 00:03:37.060]  在分別不同的時間
[00:03:37.060 --> 00:03:39.060]  早上、下午和晚上
[00:03:39.060 --> 00:03:41.060]  他們的祈禱是幫助自己
[00:03:41.060 --> 00:03:45.060]  在生活中不要記得他們的上帝
[00:03:45.060 --> 00:03:48.060]  記得自己的身份
[00:03:48.060 --> 00:03:51.060]  或許我們不太認同他們的信仰
[00:03:51.060 --> 00:03:57.060]  但他們對於自己所信仰的對象
[00:03:57.060 --> 00:04:00.060]  那份敬虔的程度
[00:04:00.060 --> 00:04:05.060]  實在令我們滴汗和慚愧
[00:04:05.060 --> 00:04:08.060]  最近我也開始學習這個行動
[00:04:08.060 --> 00:04:11.060]  要學習不斷祈禱的功課
[00:04:11.060 --> 00:04:13.060]  於是在上班前
[00:04:13.060 --> 00:04:15.060]  我會有安靜靈修的時間
[00:04:15.060 --> 00:04:17.060]  回到教會
[00:04:17.060 --> 00:04:19.060]  首先給自己一段安靜
[00:04:19.060 --> 00:04:22.060]  然後為教會和教育祈禱
[00:04:22.060 --> 00:04:24.060]  下午吃完飯回來
[00:04:24.060 --> 00:04:25.060]  也是第一件事
[00:04:25.060 --> 00:04:26.060]  叫自己安靜
[00:04:26.060 --> 00:04:29.060]  再為對有需要的教育祈禱
[00:04:29.060 --> 00:04:32.060]  晚上睡前會做意識醒察
[00:04:32.060 --> 00:04:35.060]  和上主一起反省那一天的言行
[00:04:35.060 --> 00:04:39.060]  是否符合上帝的心意
[00:04:39.060 --> 00:04:41.060]  不過我需要坦白
[00:04:41.060 --> 00:04:43.060]  其實真的不容易
[00:04:43.060 --> 00:04:45.060]  特別當我回到教會的時候
[00:04:45.060 --> 00:04:46.060]  腦海裡第一件事就是
[00:04:46.060 --> 00:04:49.060]  還有很多事情沒做
[00:04:49.060 --> 00:04:51.060]  容易擾亂自己的心神
[00:04:51.060 --> 00:04:52.060]  很難安靜下來
[00:04:52.060 --> 00:04:55.060]  其次就是心裡有很多聲音
[00:04:55.060 --> 00:04:58.060]  喂,打個電話給教友吧
[00:04:58.060 --> 00:04:59.060]  只是祈禱
[00:04:59.060 --> 00:05:02.060]  別人怎麼知道你做了什麼
[00:05:02.060 --> 00:05:04.060]  求主赦免
[00:05:04.060 --> 00:05:06.060]  我們也很在意別人有沒有知道
[00:05:06.060 --> 00:05:08.060]  我們有沒有做了什麼
[00:05:08.060 --> 00:05:09.060]  另一聲音又說
[00:05:09.060 --> 00:05:11.060]  這天沒做,那天沒做
[00:05:11.060 --> 00:05:13.060]  做完這些再祈禱
[00:05:13.060 --> 00:05:14.060]  一會兒再祈禱
[00:05:14.060 --> 00:05:16.060]  不是叫你不要祈禱
[00:05:16.060 --> 00:05:18.060]  是一會兒再祈禱
[00:05:18.060 --> 00:05:20.060]  不過大家都會知道結果
[00:05:20.060 --> 00:05:22.060]  不是一會兒不記得
[00:05:22.060 --> 00:05:25.060]  就是忙到更加沒機會
[00:05:25.060 --> 00:05:28.060]  這些聲音都是一個很大的誘惑
[00:05:28.060 --> 00:05:30.060]  很多時候我會跟隨著這些聲音
[00:05:30.060 --> 00:05:35.060]  做了很多看來很急和很重要的事
[00:05:35.060 --> 00:05:38.060]  將祈禱、將安靜放在一邊
[00:05:38.060 --> 00:05:40.060]  等一會兒再祈禱
[00:05:40.060 --> 00:05:41.060]  不過其實我們都知道
[00:05:41.060 --> 00:05:43.060]  這是本末倒置
[00:05:43.060 --> 00:05:47.060]  我們將最重要的事放在最後的時候
[00:05:47.060 --> 00:05:49.060]  最終十之八九
[00:05:49.060 --> 00:05:52.060]  做不到自己認為最重要的事
[00:05:52.060 --> 00:05:55.060]  不知道你有沒有聽過這番話
[00:05:55.060 --> 00:05:58.060]  錢,解決到的問題
[00:05:58.060 --> 00:06:00.060]  就不是問題了
[00:06:00.060 --> 00:06:02.060]  那你現在最大的問題是什麼
[00:06:02.060 --> 00:06:04.060]  你沒錢或者不夠錢
[00:06:04.060 --> 00:06:05.060]  所以有一大堆問題
[00:06:05.060 --> 00:06:08.060]  你解決不了或者還沒解決
[00:06:08.060 --> 00:06:10.060]  很多人相信這句話
[00:06:10.060 --> 00:06:13.060]  所以拼命去賺錢
[00:06:13.060 --> 00:06:16.060]  因為有錢,有越多的錢
[00:06:16.060 --> 00:06:20.060]  所面對的問題將會越來越少
[00:06:20.060 --> 00:06:22.060]  我們都知道答案當然不是
[00:06:22.060 --> 00:06:24.060]  用鹽去解渴
[00:06:24.060 --> 00:06:27.060]  只會越來越減渴
[00:06:27.060 --> 00:06:29.060]  你相不相信這句話
[00:06:29.060 --> 00:06:31.060]  祈禱解決到的問題
[00:06:31.060 --> 00:06:33.060]  就不是問題了
[00:06:33.060 --> 00:06:35.060]  最大的問題是什麼
[00:06:35.060 --> 00:06:36.060]  你沒祈禱
[00:06:36.060 --> 00:06:38.060]  或者你不夠祈禱
[00:06:38.060 --> 00:06:40.060]  所以有一大堆問題你還沒解決
[00:06:40.060 --> 00:06:42.060]  令你很煩惱
[00:06:42.060 --> 00:06:43.060]  當你拼命祈禱
[00:06:43.060 --> 00:06:44.060]  狠切祈禱的時候
[00:06:44.060 --> 00:06:45.060]  你會發現
[00:06:45.060 --> 00:06:48.060]  你的心靈會越來越強壯
[00:06:48.060 --> 00:06:50.060]  也會越來越輕散
[00:06:50.060 --> 00:06:53.060]  也會看到你以前認為是問題的
